Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,0.190,0.432,0.680,0.934,1.194,1.460,1.750,2.089,2.449,2.838,3.267,3.750,4.253,4.791,5.354,5.947,6.571,7.225,7.908,9.387,10.161,10.935,11.750,12.595,13.485,14.380,15.305,16.278,17.264,18.280,19.326
BLYTB1,0.047,0.107,0.169,0.232,0.297,0.363,0.435,0.519,0.609,0.705,0.812,0.932,1.057,1.191,1.331,1.478,1.633,1.795,1.965,2.333,2.525,2.718,2.920,3.130,3.351,3.574,3.804,4.046,4.290,4.543,4.803
BLYTH132,0.014,0.031,0.048,0.066,0.085,0.104,0.124,0.149,0.174,0.202,0.232,0.267,0.302,0.341,0.381,0.423,0.467,0.514,0.562,0.667,0.723,0.778,0.836,0.896,0.959,1.023,1.088,1.158,1.228,1.300,1.374
BOAG_P,0.005,0.011,0.017,0.024,0.030,0.037,0.044,0.053,0.062,0.072,0.083,0.095,0.108,0.122,0.136,0.151,0.167,0.183,0.201,0.238,0.258,0.278,0.298,0.320,0.342,0.365,0.388,0.413,0.438,0.464,0.491
BOLN_1,0.126,0.285,0.449,0.616,0.788,0.963,1.154,1.378,1.615,1.872,2.155,2.474,2.805,3.160,3.532,3.923,4.334,4.765,5.217,6.192,6.703,7.213,7.751,8.308,8.895,9.485,10.096,10.738,11.388,12.058,12.748
BONN,0.007,0.016,0.026,0.035,0.045,0.055,0.066,0.078,0.092,0.107,0.123,0.141,0.160,0.180,0.201,0.224,0.247,0.272,0.297,0.353,0.382,0.411,0.442,0.473,0.507,0.540,0.575,0.612,0.649,0.687,0.726
BOTW_1,0.030,0.069,0.108,0.149,0.190,0.233,0.279,0.333,0.390,0.452,0.521,0.597,0.678,0.763,0.853,0.947,1.047,1.151,1.260,1.495,1.619,1.742,1.872,2.006,2.148,2.291,2.438,2.593,2.750,2.912,3.079
BRAC_P,0.012,0.028,0.044,0.060,0.076,0.093,0.112,0.134,0.157,0.182,0.209,0.240,0.272,0.307,0.343,0.381,0.421,0.463,0.506,0.601,0.651,0.700,0.752,0.807,0.864,0.921,0.980,1.042,1.106,1.171,1.238
BRAI_1,0.046,0.104,0.164,0.225,0.288,0.352,0.422,0.503,0.590,0.684,0.788,0.904,1.025,1.155,1.291,1.434,1.584,1.742,1.907,2.263,2.450,2.636,2.833,3.036,3.251,3.467,3.690,3.924,4.162,4.407,4.659
BRAP,0.004,0.008,0.013,0.018,0.022,0.027,0.033,0.039,0.046,0.053,0.061,0.071,0.080,0.090,0.101,0.112,0.124,0.136,0.149,0.177,0.191,0.206,0.221,0.237,0.254,0.271,0.288,0.306,0.325,0.344,0.364
