Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,144.929,139.590,137.841,137.201,136.408,136.449,136.435,136.225,136.101,135.888,135.509,135.345,135.918,136.487,137.292,138.162,140.179,141.717,143.044,143.199,141.759,142.910,143.698,143.661,143.791,143.508,143.668,144.071,144.473,144.736,144.510
BLYTB1,152.678,147.053,145.211,144.536,143.701,143.744,143.729,143.508,143.377,143.153,142.754,142.582,143.184,143.785,144.632,145.549,147.674,149.294,150.691,150.855,149.338,150.550,151.381,151.342,151.479,151.181,151.350,151.773,152.198,152.474,152.237
BLYTH132,22.793,21.954,21.679,21.578,21.453,21.460,21.457,21.424,21.405,21.371,21.312,21.286,21.376,21.466,21.592,21.729,22.046,22.288,22.497,22.521,22.295,22.476,22.600,22.594,22.614,22.570,22.595,22.658,22.722,22.763,22.728
BOAG_P,9.486,9.137,9.022,8.980,8.929,8.931,8.930,8.917,8.908,8.895,8.870,8.859,8.896,8.934,8.986,9.043,9.175,9.276,9.363,9.373,9.279,9.354,9.406,9.403,9.412,9.393,9.404,9.430,9.456,9.474,9.459
BOLN_1,274.869,264.742,261.426,260.211,258.707,258.785,258.758,258.360,258.124,257.721,257.003,256.692,257.777,258.858,260.383,262.034,265.859,268.777,271.292,271.586,268.857,271.038,272.534,272.463,272.711,272.173,272.477,273.240,274.004,274.502,274.074
BONN,18.663,17.975,17.750,17.667,17.565,17.571,17.569,17.542,17.526,17.498,17.450,17.428,17.502,17.576,17.679,17.791,18.051,18.249,18.420,18.440,18.254,18.403,18.504,18.499,18.516,18.480,18.500,18.552,18.604,18.638,18.609
BOTW_1,48.219,46.442,45.860,45.647,45.384,45.397,45.392,45.323,45.281,45.211,45.085,45.030,45.220,45.410,45.678,45.967,46.638,47.150,47.591,47.643,47.164,47.547,47.809,47.797,47.840,47.746,47.799,47.933,48.067,48.154,48.079
BRAC_P,8.096,7.798,7.700,7.664,7.620,7.622,7.622,7.610,7.603,7.591,7.570,7.561,7.593,7.624,7.669,7.718,7.831,7.917,7.991,7.999,7.919,7.983,8.027,8.025,8.033,8.017,8.026,8.048,8.071,8.085,8.073
BRAI_1,74.202,71.468,70.573,70.245,69.839,69.860,69.853,69.745,69.682,69.573,69.379,69.295,69.588,69.880,70.291,70.737,71.770,72.557,73.236,73.316,72.579,73.168,73.571,73.552,73.619,73.474,73.556,73.762,73.968,74.103,73.987
BRAP,10.975,10.571,10.438,10.390,10.330,10.333,10.332,10.316,10.307,10.291,10.262,10.249,10.293,10.336,10.397,10.463,10.615,10.732,10.832,10.844,10.735,10.822,10.882,10.879,10.889,10.868,10.880,10.910,10.941,10.961,10.943
BRAW_1,129.529,124.756,123.194,122.621,121.912,121.949,121.937,121.749,121.638,121.448,121.110,120.963,121.474,121.984,122.702,123.480,125.283,126.658,127.843,127.982,126.695,127.723,128.428,128.395,128.512,128.258,128.402,128.761,129.121,129.356,129.154
BRED_1,79.677,76.742,75.780,75.428,74.992,75.015,75.007,74.892,74.823,74.707,74.498,74.408,74.723,75.036,75.478,75.957,77.066,77.911,78.640,78.726,77.934,78.567,79.000,78.980,79.052,78.896,78.984,79.205,79.427,79.571,79.447
BRFO_1;CLT03,247.354,238.240,235.257,234.164,232.810,232.880,232.856,232.497,232.286,231.923,231.276,230.997,231.974,232.946,234.318,235.804,239.246,241.872,244.135,244.400,241.944,243.906,245.253,245.189,245.412,244.927,245.202,245.888,246.575,247.023,246.639
BRID_P,8.004,7.709,7.612,7.577,7.533,7.535,7.534,7.523,7.516,7.504,7.483,7.474,7.506,7.537,7.582,7.630,7.741,7.826,7.899,7.908,7.828,7.892,7.936,7.933,7.941,7.925,7.934,7.956,7.978,7.993,7.980
BRIM_1,96.367,92.816,91.654,91.228,90.701,90.728,90.719,90.579,90.496,90.355,90.103,89.994,90.375,90.754,91.288,91.867,93.208,94.231,95.113,95.216,94.259,95.024,95.548,95.523,95.610,95.422,95.529,95.796,96.064,96.238,96.088
BROA_P,4.245,4.089,4.037,4.019,3.995,3.997,3.996,3.990,3.986,3.980,3.969,3.964,3.981,3.998,4.021,4.047,4.106,4.151,4.190,4.194,4.152,4.186,4.209,4.208,4.212,4.203,4.208,4.220,4.232,4.239,4.233
BROR_P,2.595,2.499,2.468,2.456,2.442,2.443,2.443,2.439,2.437,2.433,2.426,2.423,2.433,2.443,2.458,2.473,2.510,2.537,2.561,2.564,2.538,2.558,2.573,2.572,2.574,2.569,2.572,2.579,2.586,2.591,2.587
BROX,16.421,15.816,15.618,15.545,15.455,15.460,15.459,15.435,15.421,15.397,15.354,15.335,15.400,15.464,15.556,15.654,15.883,16.057,16.207,16.225,16.062,16.192,16.282,16.277,16.292,16.260,16.278,16.324,16.369,16.399,16.374
BRWA1,74.221,71.486,70.591,70.263,69.857,69.878,69.871,69.763,69.699,69.591,69.397,69.313,69.606,69.898,70.309,70.755,71.788,72.576,73.255,73.334,72.597,73.186,73.590,73.571,73.638,73.493,73.575,73.781,73.987,74.122,74.006
BUMU_P,15.054,14.499,14.318,14.251,14.169,14.173,14.172,14.150,14.137,14.115,14.075,14.058,14.118,14.177,14.261,14.351,14.560,14.720,14.858,14.874,14.725,14.844,14.926,14.922,14.936,14.906,14.923,14.965,15.007,15.034,15.010
BURM_1,132.511,127.629,126.030,125.445,124.720,124.757,124.744,124.552,124.439,124.244,123.898,123.748,124.272,124.793,125.528,126.324,128.168,129.574,130.787,130.929,129.613,130.664,131.386,131.351,131.471,131.212,131.358,131.726,132.094,132.334,132.128
BUSH_1,45.527,43.849,43.300,43.099,42.850,42.862,42.858,42.792,42.753,42.686,42.567,42.516,42.696,42.875,43.127,43.401,44.034,44.518,44.934,44.983,44.531,44.892,45.140,45.128,45.169,45.080,45.130,45.257,45.383,45.466,45.395
BUST_1,75.409,72.631,71.721,71.388,70.975,70.996,70.989,70.880,70.815,70.705,70.508,70.422,70.720,71.016,71.435,71.888,72.937,73.738,74.428,74.508,73.760,74.358,74.768,74.749,74.817,74.669,74.753,74.962,75.172,75.308,75.191
CAAD_P,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.017,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
CAMB_01,8.934,8.605,8.497,8.457,8.408,8.411,8.410,8.397,8.389,8.376,8.353,8.343,8.378,8.413,8.463,8.517,8.641,8.736,8.817,8.827,8.738,8.809,8.858,8.855,8.864,8.846,8.856,8.881,8.906,8.922,8.908
