Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,66.881,66.153,65.496,64.604,63.957,63.178,62.385,61.557,60.722,59.882,59.032,58.423,58.302,58.239,58.237,58.305,58.438,58.664,58.991,59.395,59.894,60.566,61.554,62.709,64.002,65.489,67.055,68.542,70.204,72.039,74.141,75.841
ABNE_P,9.911,9.813,9.716,9.588,9.492,9.378,9.261,9.139,9.017,8.893,8.768,8.678,8.660,8.651,8.650,8.660,8.680,8.713,8.761,8.820,8.894,8.993,9.138,9.308,9.498,9.716,9.947,10.166,10.410,10.680,10.989,11.239
ABTH_1,80.575,79.698,78.906,77.832,77.052,76.113,75.159,74.161,73.154,72.143,71.119,70.385,70.240,70.163,70.161,70.243,70.403,70.675,71.069,71.557,72.158,72.967,74.157,75.549,77.107,78.898,80.784,82.577,84.578,86.790,89.322,91.370
ACTL_2;CBNK_H;GREE_H;PERI_H,35.671,35.281,34.932,34.457,34.111,33.696,33.273,32.831,32.386,31.939,31.485,31.159,31.095,31.062,31.061,31.097,31.168,31.287,31.463,31.678,31.944,32.303,32.831,33.446,34.136,34.928,35.764,36.556,37.443,38.421,39.543,40.450
ALNE_P,9.341,9.248,9.156,9.036,8.946,8.838,8.728,8.613,8.497,8.381,8.263,8.178,8.161,8.153,8.152,8.162,8.180,8.212,8.256,8.313,8.382,8.475,8.612,8.772,8.951,9.157,9.374,9.581,9.811,10.066,10.357,10.592
ALVE1,66.370,65.648,64.995,64.110,63.468,62.695,61.909,61.087,60.258,59.424,58.581,57.976,57.857,57.794,57.792,57.860,57.992,58.216,58.540,58.942,59.437,60.103,61.084,62.230,63.513,64.988,66.542,68.019,69.667,71.489,73.575,75.262
AMEM_1,19.294,19.084,18.894,18.637,18.450,18.226,17.997,17.758,17.517,17.275,17.030,16.854,16.819,16.801,16.800,16.820,16.858,16.923,17.018,17.134,17.278,17.472,17.757,18.090,18.463,18.892,19.344,19.773,20.252,20.782,21.388,21.879
ARBR_P,9.662,9.566,9.472,9.347,9.254,9.142,9.028,8.910,8.790,8.669,8.548,8.460,8.442,8.434,8.433,8.443,8.462,8.494,8.541,8.599,8.670,8.767,8.908,9.074,9.259,9.472,9.697,9.911,10.148,10.412,10.713,10.957
ARDK_P;CLAC_P,1.053,1.042,1.032,1.018,1.008,0.996,0.984,0.971,0.958,0.944,0.931,0.922,0.920,0.919,0.919,0.920,0.922,0.925,0.930,0.937,0.945,0.955,0.971,0.989,1.009,1.032,1.056,1.080,1.106,1.134,1.167,1.194
ARMO_P,8.609,8.523,8.439,8.328,8.245,8.145,8.044,7.938,7.832,7.724,7.616,7.537,7.522,7.514,7.514,7.522,7.539,7.568,7.610,7.661,7.725,7.811,7.937,8.084,8.250,8.440,8.640,8.830,9.042,9.277,9.545,9.762
AXMI1,49.148,48.613,48.130,47.474,46.999,46.426,45.844,45.236,44.621,44.005,43.380,42.932,42.844,42.797,42.796,42.846,42.944,43.109,43.350,43.647,44.014,44.507,45.233,46.082,47.032,48.125,49.275,50.369,51.589,52.938,54.483,55.732
AYRR,15.108,14.958,14.810,14.615,14.470,14.295,14.117,13.932,13.744,13.556,13.365,13.228,13.201,13.187,13.186,13.202,13.231,13.282,13.355,13.446,13.557,13.708,13.929,14.188,14.478,14.811,15.163,15.497,15.869,16.281,16.752,17.133
BAGA,13.682,13.546,13.412,13.235,13.104,12.945,12.784,12.616,12.447,12.276,12.103,11.979,11.954,11.942,11.941,11.955,11.982,12.028,12.094,12.176,12.277,12.414,12.614,12.849,13.111,13.413,13.731,14.034,14.370,14.744,15.170,15.515
BAIN,8.010,7.930,7.852,7.749,7.672,7.579,7.485,7.386,7.287,7.187,7.086,7.013,6.999,6.991,6.991,6.999,7.015,7.042,7.080,7.129,7.188,7.268,7.385,7.522,7.676,7.853,8.039,8.216,8.413,8.632,8.881,9.083
BARKC1;BARKW3,107.086,105.921,104.868,103.440,102.404,101.156,99.887,98.563,97.224,95.880,94.519,93.542,93.350,93.248,93.245,93.354,93.568,93.929,94.453,95.101,95.899,96.974,98.557,100.406,102.477,104.856,107.364,109.746,112.406,115.346,118.710,121.433
BEAU_P;ORRI_P,8.901,8.812,8.725,8.610,8.525,8.422,8.317,8.208,8.097,7.986,7.874,7.793,7.777,7.769,7.768,7.777,7.795,7.825,7.868,7.921,7.987,8.076,8.206,8.359,8.529,8.726,8.933,9.129,9.349,9.591,9.869,10.093
BEDDT1,34.192,33.820,33.484,33.028,32.697,32.299,31.894,31.471,31.043,30.614,30.180,29.868,29.806,29.774,29.773,29.808,29.876,29.991,30.159,30.365,30.620,30.964,31.469,32.059,32.721,33.480,34.281,35.042,35.891,36.829,37.904,38.773
BEDD_1,127.305,125.920,124.668,122.970,121.739,120.256,118.747,117.171,115.580,113.982,112.365,111.204,110.975,110.854,110.851,110.981,111.234,111.663,112.286,113.056,114.006,115.284,117.165,119.363,121.825,124.654,127.635,130.467,133.629,137.123,141.124,144.360
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,17.591,17.417,17.245,17.017,16.848,16.645,16.438,16.222,16.004,15.784,15.562,15.402,15.370,15.355,15.354,15.372,15.406,15.465,15.550,15.656,15.785,15.961,16.219,16.520,16.858,17.246,17.655,18.044,18.477,18.957,19.505,19.949
BERW,10.209,10.108,10.008,9.876,9.778,9.660,9.540,9.414,9.288,9.160,9.031,8.939,8.920,8.911,8.911,8.921,8.941,8.975,9.024,9.086,9.161,9.263,9.413,9.588,9.783,10.009,10.246,10.472,10.723,11.002,11.320,11.577
BESW_1,102.952,101.832,100.820,99.447,98.451,97.252,96.032,94.757,93.471,92.178,90.870,89.932,89.746,89.649,89.646,89.751,89.956,90.303,90.807,91.429,92.197,93.231,94.752,96.530,98.521,100.809,103.219,105.510,108.067,110.893,114.128,116.745
BICF_1,60.912,60.250,59.651,58.838,58.249,57.540,56.818,56.064,55.303,54.538,53.764,53.209,53.099,53.041,53.040,53.102,53.223,53.428,53.726,54.095,54.549,55.161,56.061,57.113,58.291,59.644,61.071,62.426,63.938,65.610,67.525,69.073
BIRK_1,71.240,70.465,69.765,68.815,68.126,67.296,66.452,65.570,64.679,63.785,62.880,62.230,62.102,62.035,62.033,62.105,62.247,62.487,62.836,63.267,63.798,64.514,65.566,66.796,68.174,69.757,71.425,73.010,74.780,76.735,78.974,80.785
BISW_1,126.995,125.613,124.364,122.671,121.442,119.963,118.458,116.886,115.299,113.705,112.091,110.933,110.705,110.584,110.581,110.710,110.963,111.391,112.013,112.781,113.728,115.003,116.880,119.073,121.528,124.351,127.324,130.149,133.304,136.789,140.780,144.009
BLYTB1,48.022,47.499,47.027,46.387,45.922,45.363,44.794,44.199,43.599,42.996,42.386,41.948,41.862,41.816,41.815,41.864,41.960,42.121,42.356,42.647,43.005,43.487,44.197,45.026,45.955,47.022,48.146,49.215,50.407,51.725,53.234,54.455
BLYTH132,20.778,20.552,20.348,20.070,19.869,19.627,19.381,19.124,18.864,18.604,18.340,18.150,18.113,18.093,18.092,18.114,18.155,18.225,18.327,18.452,18.607,18.816,19.123,19.482,19.884,20.345,20.832,21.294,21.810,22.380,23.033,23.562
BOAG_P,6.940,6.871,6.803,6.713,6.647,6.566,6.485,6.399,6.313,6.227,6.139,6.076,6.064,6.057,6.057,6.064,6.078,6.101,6.134,6.176,6.227,6.297,6.398,6.517,6.650,6.803,6.965,7.118,7.289,7.478,7.695,7.870
BOLN_1,258.143,255.335,252.796,249.354,246.857,243.849,240.791,237.595,234.369,231.129,227.849,225.495,225.031,224.786,224.779,225.042,225.556,226.426,227.689,229.250,231.177,233.768,237.583,242.040,247.032,252.769,258.813,264.556,270.967,278.053,286.165,292.728
BONN,16.017,15.858,15.702,15.495,15.341,15.155,14.967,14.770,14.572,14.371,14.170,14.024,13.995,13.981,13.980,13.996,14.028,14.081,14.158,14.255,14.373,14.533,14.768,15.042,15.349,15.703,16.075,16.429,16.824,17.261,17.760,18.164
BOTW_1,44.553,44.069,43.630,43.036,42.605,42.086,41.558,41.007,40.450,39.891,39.325,38.918,38.838,38.796,38.795,38.840,38.929,39.079,39.297,39.567,39.899,40.346,41.005,41.774,42.635,43.626,44.669,45.660,46.767,47.989,49.390,50.522
BRAC_P,12.596,12.471,12.348,12.185,12.064,11.919,11.770,11.616,11.460,11.302,11.143,11.029,11.006,10.995,10.994,11.007,11.032,11.074,11.134,11.210,11.303,11.429,11.614,11.829,12.071,12.349,12.642,12.920,13.231,13.574,13.967,14.285
BRAI_1,76.690,75.855,75.101,74.079,73.337,72.443,71.535,70.585,69.627,68.664,67.690,66.991,66.853,66.780,66.778,66.856,67.009,67.267,67.642,68.106,68.678,69.448,70.582,71.906,73.389,75.093,76.889,78.595,80.500,82.605,85.015,86.964
BRAP,9.927,9.828,9.731,9.603,9.507,9.393,9.276,9.154,9.031,8.907,8.782,8.691,8.673,8.665,8.664,8.674,8.694,8.727,8.775,8.834,8.908,9.007,9.152,9.322,9.513,9.732,9.963,10.182,10.426,10.697,11.007,11.257
BRAW_1,123.325,121.984,120.771,119.126,117.933,116.497,115.036,113.509,111.968,110.419,108.853,107.728,107.506,107.389,107.386,107.512,107.757,108.173,108.776,109.522,110.442,111.681,113.503,115.632,118.017,120.758,123.646,126.389,129.452,132.837,136.713,139.848
