Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,7.589,9.535,12.172,14.636,17.498,20.717,24.450,28.718,33.683,39.487,46.284,52.906,63.160,74.492,86.678,99.413,113.410,127.258,140.302,151.984,161.360,168.444,174.478,179.038,182.477,184.970,187.897,190.526,192.943,195.246,197.504
BLYTB1,0.520,0.801,1.151,1.594,2.171,2.896,3.810,4.931,6.294,7.924,9.833,12.120,14.469,17.065,19.856,22.774,25.980,29.152,32.141,34.817,36.964,38.587,39.970,41.014,41.802,42.373,43.044,43.646,44.200,44.727,45.244
BLYTH132,0.314,0.430,0.579,0.747,0.957,1.212,1.525,1.901,2.353,2.890,3.518,4.234,5.054,5.961,6.936,7.955,9.076,10.184,11.228,12.162,12.913,13.480,13.962,14.327,14.603,14.802,15.036,15.247,15.440,15.624,15.805
BOAG_P,0.040,0.060,0.088,0.123,0.170,0.228,0.303,0.394,0.505,0.638,0.794,0.983,1.173,1.383,1.610,1.846,2.106,2.363,2.605,2.822,2.997,3.128,3.240,3.325,3.389,3.435,3.489,3.538,3.583,3.626,3.668
BOLN_1,6.167,8.231,10.926,13.826,17.398,21.667,26.853,33.032,40.416,49.165,59.411,70.792,84.513,99.676,115.982,133.023,151.752,170.281,187.736,203.367,215.912,225.392,233.466,239.568,244.170,247.505,251.422,254.939,258.174,261.254,264.277
BONN,0.290,0.394,0.525,0.668,0.845,1.057,1.315,1.624,1.993,2.431,2.944,3.518,4.200,4.954,5.764,6.611,7.542,8.462,9.330,10.107,10.730,11.201,11.602,11.906,12.134,12.300,12.495,12.669,12.830,12.983,13.134
BOTW_1,0.477,0.809,1.213,1.756,2.475,3.391,4.557,5.997,7.757,9.865,12.333,15.343,18.317,21.604,25.138,28.831,32.890,36.906,40.689,44.077,46.796,48.851,50.601,51.923,52.920,53.643,54.492,55.255,55.956,56.623,57.278
BRAC_P,0.100,0.178,0.271,0.398,0.568,0.784,1.060,1.402,1.820,2.322,2.909,3.628,4.331,5.108,5.944,6.817,7.777,8.726,9.621,10.422,11.065,11.551,11.964,12.277,12.513,12.684,12.885,13.065,13.231,13.389,13.543
BRAI_1,0.644,1.278,2.038,3.120,4.574,6.454,8.863,11.860,15.536,19.949,25.116,31.510,37.617,44.367,51.625,59.210,67.546,75.794,83.563,90.520,96.104,100.323,103.917,106.633,108.682,110.166,111.910,113.475,114.915,116.286,117.631
BRAP,0.500,0.605,0.757,0.884,1.025,1.173,1.337,1.514,1.714,1.942,2.210,2.418,2.887,3.405,3.962,4.544,5.184,5.817,6.414,6.948,7.376,7.700,7.976,8.184,8.341,8.455,8.589,8.709,8.820,8.925,9.028
BRAW_1,1.217,1.964,2.885,4.090,5.673,7.680,10.221,13.350,17.167,21.737,27.086,33.561,40.066,47.254,54.985,63.064,71.943,80.727,89.002,96.412,102.360,106.854,110.682,113.574,115.756,117.337,119.194,120.862,122.395,123.856,125.288
BRED_1,0.883,1.974,3.268,5.162,7.727,11.060,15.348,20.698,27.271,35.168,44.413,55.926,66.765,78.744,91.626,105.089,119.884,134.523,148.312,160.660,170.571,178.060,184.438,189.259,192.894,195.529,198.624,201.402,203.958,206.391,208.779
BRFO_1;CLT03,3.025,4.455,6.254,8.454,11.285,14.809,19.217,24.594,31.114,38.898,48.011,58.788,70.181,82.774,96.315,110.466,126.019,141.406,155.901,168.881,179.299,187.171,193.876,198.943,202.764,205.534,208.787,211.708,214.394,216.952,219.462
BRID_P,0.040,0.104,0.177,0.285,0.432,0.624,0.872,1.181,1.561,2.019,2.554,3.223,3.847,4.537,5.279,6.055,6.908,7.751,8.546,9.257,9.828,10.260,10.627,10.905,11.114,11.266,11.444,11.605,11.752,11.892,12.030
BRIM_1,3.120,3.786,4.717,5.481,6.311,7.175,8.112,9.113,10.224,11.490,12.972,14.027,16.746,19.751,22.982,26.358,30.069,33.741,37.199,40.297,42.783,44.661,46.261,47.470,48.381,49.042,49.819,50.516,51.157,51.767,52.366
BROA_P,0.020,0.044,0.074,0.118,0.179,0.257,0.358,0.485,0.641,0.828,1.046,1.320,1.575,1.858,2.162,2.480,2.829,3.174,3.500,3.791,4.025,4.202,4.352,4.466,4.552,4.614,4.687,4.753,4.813,4.870,4.927
BROR_P,0.010,0.025,0.039,0.059,0.086,0.121,0.166,0.221,0.290,0.371,0.467,0.585,0.699,0.824,0.959,1.100,1.255,1.408,1.552,1.681,1.785,1.864,1.930,1.981,2.019,2.046,2.079,2.108,2.135,2.160,2.185
BROX,0.220,0.292,0.388,0.492,0.621,0.775,0.962,1.185,1.452,1.769,2.140,2.553,3.047,3.594,4.182,4.797,5.472,6.140,6.769,7.333,7.785,8.127,8.418,8.638,8.804,8.925,9.066,9.193,9.309,9.420,9.529
BRWA1,0.000,0.428,0.916,1.711,2.814,4.276,6.181,8.581,11.544,15.114,19.293,24.604,29.373,34.643,40.310,46.232,52.742,59.182,65.248,70.680,75.041,78.335,81.141,83.262,84.862,86.020,87.382,88.605,89.729,90.799,91.850
BUMU_P,0.060,0.172,0.305,0.506,0.781,1.142,1.608,2.192,2.910,3.775,4.786,6.056,7.230,8.527,9.922,11.380,12.982,14.568,16.061,17.398,18.471,19.282,19.973,20.495,20.889,21.174,21.509,21.810,22.087,22.350,22.609
BURM_1,1.663,2.400,3.332,4.450,5.878,7.646,9.847,12.525,15.766,19.630,24.155,29.463,35.174,41.484,48.271,55.363,63.158,70.870,78.134,84.640,89.861,93.806,97.167,99.706,101.622,103.010,104.640,106.104,107.450,108.732,109.990
BUSH_1,2.656,3.324,4.232,5.070,6.037,7.118,8.366,9.786,11.432,13.352,15.602,17.756,21.197,25.000,29.090,33.364,38.061,42.709,47.086,51.007,54.153,56.531,58.556,60.086,61.240,62.077,63.059,63.941,64.753,65.526,66.283
BUST_1,3.726,4.642,5.892,7.029,8.334,9.780,11.439,13.316,15.483,18.006,20.962,23.728,28.326,33.409,38.874,44.586,50.863,57.074,62.924,68.163,72.368,75.546,78.252,80.297,81.839,82.957,84.270,85.449,86.533,87.566,88.579
CAAD_P,0.020,0.050,0.084,0.133,0.200,0.287,0.399,0.538,0.710,0.916,1.158,1.459,1.741,2.054,2.390,2.741,3.127,3.508,3.868,4.190,4.449,4.644,4.810,4.936,5.031,5.100,5.180,5.253,5.320,5.383,5.445
CAMB_01,0.144,0.231,0.339,0.479,0.663,0.896,1.191,1.553,1.995,2.525,3.145,3.894,4.649,5.483,6.380,7.317,8.347,9.366,10.326,11.186,11.876,12.398,12.842,13.177,13.430,13.614,13.829,14.023,14.201,14.370,14.536
CANTN1;RICH1;RICH_J,1.830,2.563,3.499,4.582,5.951,7.627,9.698,12.202,15.223,18.818,23.027,27.890,33.295,39.270,45.693,52.407,59.786,67.085,73.962,80.120,85.062,88.796,91.978,94.382,96.195,97.509,99.052,100.438,101.712,102.925,104.116
CAPEA1,0.919,1.330,1.849,2.473,3.271,4.259,5.491,6.989,8.803,10.967,13.500,16.475,19.668,23.197,26.992,30.957,35.316,39.628,43.690,47.328,50.248,52.454,54.333,55.753,56.824,57.600,58.512,59.330,60.083,60.800,61.503
CARE_1,0.655,0.972,1.369,1.858,2.489,3.276,4.261,5.464,6.924,8.667,10.707,13.127,15.671,18.482,21.506,24.666,28.139,31.574,34.811,37.709,40.035,41.793,43.290,44.422,45.275,45.893,46.620,47.272,47.872,48.443,49.003
CARR_1,0.640,1.117,1.696,2.484,3.532,4.872,6.579,8.692,11.276,14.374,18.001,22.439,26.788,31.595,36.763,42.165,48.101,53.975,59.507,64.462,68.438,71.443,74.002,75.937,77.395,78.452,79.694,80.809,81.834,82.811,83.769
CASS_P,0.000,0.009,0.016,0.027,0.041,0.061,0.086,0.117,0.155,0.201,0.255,0.323,0.386,0.455,0.530,0.607,0.693,0.777,0.857,0.928,0.986,1.029,1.066,1.094,1.115,1.130,1.148,1.164,1.179,1.193,1.206
CATY,0.050,0.175,0.323,0.550,0.863,1.274,1.806,2.473,3.296,4.285,5.444,6.903,8.240,9.719,11.309,12.970,14.797,16.603,18.305,19.829,21.052,21.977,22.764,23.359,23.808,24.133,24.515,24.858,25.173,25.474,25.768
CEAN_P,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.010,0.013,0.017,0.022,0.028,0.033,0.039,0.046,0.052,0.060,0.067,0.074,0.080,0.085,0.089,0.092,0.094,0.096,0.097,0.099,0.100,0.101,0.103,0.104
CELL_1,8.112,9.868,12.318,14.350,16.574,18.908,21.456,24.203,27.267,30.769,34.871,37.930,45.281,53.406,62.142,71.273,81.307,91.235,100.587,108.962,115.684,120.763,125.089,128.358,130.824,132.611,134.710,136.594,138.327,139.978,141.597
CHAP,0.190,0.264,0.361,0.472,0.613,0.785,0.998,1.255,1.566,1.935,2.367,2.867,3.422,4.036,4.697,5.387,6.145,6.896,7.602,8.235,8.743,9.127,9.454,9.701,9.888,10.023,10.181,10.324,10.455,10.580,10.702
CHAR_P,0.040,0.086,0.142,0.223,0.332,0.474,0.657,0.885,1.165,1.501,1.895,2.384,2.847,3.357,3.907,4.480,5.111,5.735,6.323,6.850,7.272,7.592,7.864,8.069,8.224,8.336,8.468,8.587,8.696,8.800,8.901
CHAS,0.070,0.081,0.098,0.110,0.121,0.131,0.139,0.145,0.150,0.154,0.160,0.148,0.176,0.208,0.242,0.278,0.317,0.355,0.392,0.424,0.451,0.470,0.487,0.500,0.509,0.516,0.525,0.532,0.539,0.545,0.551
CHIC_1,0.311,0.524,0.785,1.135,1.597,2.187,2.936,3.862,4.992,6.347,7.933,9.866,11.779,13.892,16.164,18.540,21.150,23.732,26.165,28.343,30.092,31.413,32.538,33.389,34.030,34.495,35.041,35.531,35.982,36.411,36.832
CHSI_1,2.506,3.480,4.730,6.159,7.959,10.155,12.864,16.133,20.069,24.752,30.235,36.536,43.618,51.444,59.859,68.654,78.321,87.884,96.892,104.959,111.434,116.326,120.494,123.643,126.018,127.739,129.761,131.576,133.246,134.835,136.395
CHTE_1,4.280,5.684,7.523,9.483,11.890,14.756,18.231,22.361,27.291,33.129,39.966,47.517,56.726,66.904,77.848,89.287,101.858,114.295,126.010,136.502,144.922,151.285,156.705,160.800,163.889,166.128,168.757,171.118,173.289,175.357,177.385
CITR_1,0.820,1.098,1.461,1.853,2.337,2.916,3.621,4.462,5.468,6.660,8.056,9.612,11.475,13.533,15.747,18.061,20.604,23.120,25.489,27.612,29.315,30.602,31.698,32.527,33.152,33.604,34.136,34.614,35.053,35.471,35.882
CLAY_P,0.040,0.075,0.122,0.191,0.283,0.404,0.558,0.751,0.987,1.271,1.603,2.016,2.407,2.839,3.304,3.789,4.323,4.850,5.348,5.793,6.150,6.420,6.650,6.824,6.955,7.050,7.162,7.262,7.354,7.442,7.528
CLYM,0.340,0.480,0.654,0.854,1.106,1.415,1.796,2.257,2.811,3.471,4.245,5.135,6.131,7.231,8.413,9.650,11.008,12.352,13.618,14.752,15.662,16.350,16.936,17.378,17.712,17.954,18.238,18.493,18.728,18.951,19.171
COAT,0.220,0.321,0.445,0.593,0.783,1.017,1.309,1.663,2.093,2.604,3.203,3.905,4.662,5.499,6.398,7.339,8.372,9.394,10.357,11.219,11.911,12.434,12.880,13.216,13.470,13.654,13.870,14.064,14.243,14.413,14.579
COCK,0.280,0.395,0.539,0.705,0.915,1.171,1.488,1.872,2.334,2.884,3.528,4.271,5.099,6.013,6.997,8.025,9.155,10.273,11.326,12.269,13.026,13.598,14.085,14.453,14.731,14.932,15.168,15.381,15.576,15.762,15.944
CONQA1;SASA,0.000,0.315,0.675,1.261,2.074,3.152,4.557,6.326,8.510,11.142,14.223,18.138,21.653,25.538,29.716,34.081,38.880,43.627,48.099,52.104,55.318,57.747,59.816,61.379,62.558,63.412,64.416,65.317,66.146,66.935,67.710
COUA_P,0.070,0.108,0.160,0.230,0.321,0.437,0.585,0.767,0.989,1.255,1.566,1.945,2.322,2.738,3.186,3.654,4.169,4.678,5.157,5.586,5.931,6.192,6.413,6.581,6.707,6.799,6.907,7.003,7.092,7.177,7.260
COVE_1,3.442,4.614,6.142,7.798,9.844,12.296,15.281,18.844,23.106,28.159,34.076,40.681,48.566,57.280,66.650,76.443,87.205,97.854,107.884,116.866,124.076,129.523,134.163,137.670,140.314,142.231,144.482,146.503,148.362,150.132,151.869
COWL_1;ECLA_H,2.027,3.144,4.530,6.297,8.601,11.503,15.159,19.648,25.111,31.644,39.293,48.474,57.869,68.252,79.417,91.085,103.910,116.597,128.549,139.252,147.842,154.333,159.862,164.040,167.191,169.475,172.157,174.566,176.780,178.890,180.959
COYL,0.220,0.316,0.433,0.569,0.741,0.952,1.213,1.529,1.910,2.364,2.895,3.510,4.191,4.943,5.751,6.596,7.525,8.444,9.309,10.084,10.706,11.176,11.577,11.879,12.108,12.273,12.467,12.642,12.802,12.955,13.105
CRAI_P,0.090,0.154,0.236,0.346,0.494,0.683,0.924,1.222,1.588,2.025,2.538,3.166,3.779,4.457,5.186,5.948,6.786,7.614,8.395,9.094,9.655,10.079,10.440,10.712,10.918,11.067,11.242,11.400,11.544,11.682,11.817
CREB_1,2.061,2.943,4.064,5.392,7.084,9.171,11.764,14.911,18.717,23.252,28.563,34.763,41.501,48.947,56.954,65.322,74.519,83.618,92.190,99.865,106.026,110.681,114.646,117.642,119.902,121.540,123.463,125.191,126.779,128.292,129.776
CROO,0.360,0.409,0.485,0.521,0.543,0.548,0.530,0.488,0.420,0.332,0.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CUMB,0.170,0.253,0.354,0.476,0.633,0.827,1.070,1.366,1.725,2.153,2.654,3.244,3.873,4.568,5.316,6.097,6.955,7.804,8.604,9.320,9.895,10.330,10.700,10.979,11.190,11.343,11.523,11.684,11.832,11.973,12.112
