Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,0.190,0.434,0.695,0.980,1.297,1.685,2.143,2.699,3.345,4.063,4.854,5.733,6.706,7.758,8.888,10.097,11.389,12.754,14.198,15.720,17.321,19.010,20.768,22.604,24.519,26.512,28.583,30.733,32.961,35.268,37.654
BLYTB1,0.047,0.108,0.173,0.244,0.322,0.419,0.533,0.671,0.831,1.010,1.206,1.425,1.667,1.928,2.209,2.509,2.830,3.170,3.528,3.907,4.305,4.724,5.161,5.618,6.093,6.589,7.103,7.638,8.192,8.765,9.358
BLYTH132,0.014,0.031,0.049,0.070,0.092,0.120,0.152,0.192,0.238,0.289,0.345,0.408,0.477,0.552,0.632,0.718,0.810,0.907,1.010,1.118,1.232,1.352,1.477,1.607,1.743,1.885,2.032,2.185,2.344,2.508,2.677
BOAG_P,0.005,0.011,0.018,0.025,0.033,0.043,0.054,0.069,0.085,0.103,0.123,0.146,0.170,0.197,0.226,0.256,0.289,0.324,0.360,0.399,0.440,0.483,0.527,0.574,0.622,0.673,0.726,0.780,0.837,0.895,0.956
BOLN_1,0.126,0.287,0.459,0.647,0.855,1.111,1.414,1.780,2.206,2.680,3.202,3.782,4.424,5.117,5.863,6.660,7.512,8.413,9.365,10.370,11.425,12.540,13.699,14.910,16.173,17.488,18.854,20.272,21.742,23.264,24.837
BONN,0.007,0.016,0.026,0.037,0.049,0.063,0.081,0.101,0.126,0.153,0.182,0.215,0.252,0.292,0.334,0.379,0.428,0.479,0.534,0.591,0.651,0.714,0.780,0.850,0.921,0.996,1.074,1.155,1.239,1.325,1.415
BOTW_1,0.030,0.069,0.111,0.156,0.207,0.268,0.341,0.430,0.533,0.647,0.773,0.913,1.068,1.236,1.416,1.608,1.814,2.032,2.262,2.504,2.759,3.029,3.309,3.601,3.906,4.224,4.554,4.896,5.251,5.619,5.999
BRAC_P,0.012,0.028,0.045,0.063,0.083,0.108,0.137,0.173,0.214,0.260,0.311,0.367,0.429,0.497,0.569,0.647,0.729,0.817,0.909,1.007,1.109,1.217,1.330,1.448,1.570,1.698,1.830,1.968,2.111,2.259,2.411
BRAI_1,0.046,0.105,0.168,0.236,0.313,0.406,0.517,0.651,0.806,0.979,1.170,1.382,1.617,1.870,2.143,2.434,2.746,3.075,3.423,3.790,4.176,4.583,5.007,5.449,5.911,6.391,6.891,7.409,7.946,8.502,9.077
BRAP,0.004,0.008,0.013,0.018,0.024,0.032,0.040,0.051,0.063,0.076,0.091,0.108,0.126,0.146,0.167,0.190,0.214,0.240,0.267,0.296,0.326,0.358,0.391,0.425,0.461,0.499,0.538,0.578,0.620,0.664,0.708
BRAW_1,0.055,0.126,0.202,0.285,0.377,0.490,0.624,0.785,0.973,1.182,1.412,1.668,1.951,2.257,2.586,2.938,3.314,3.711,4.131,4.574,5.039,5.531,6.042,6.577,7.134,7.714,8.316,8.942,9.590,10.261,10.955
BRED_1,0.037,0.083,0.133,0.188,0.249,0.323,0.411,0.518,0.641,0.779,0.931,1.100,1.286,1.488,1.705,1.937,2.184,2.446,2.723,3.015,3.322,3.646,3.983,4.336,4.703,5.085,5.482,5.895,6.322,6.765,7.222
BRFO_1;CLT03,0.239,0.546,0.874,1.232,1.630,2.118,2.695,3.393,4.204,5.107,6.101,7.207,8.431,9.753,11.173,12.692,14.317,16.033,17.848,19.762,21.774,23.898,26.107,28.416,30.823,33.328,35.932,38.635,41.436,44.336,47.335
BRID_P,0.009,0.021,0.034,0.047,0.063,0.081,0.103,0.130,0.161,0.196,0.234,0.277,0.323,0.374,0.429,0.487,0.549,0.615,0.685,0.758,0.835,0.917,1.002,1.090,1.183,1.279,1.379,1.482,1.590,1.701,1.816
BRIM_1,0.023,0.051,0.082,0.116,0.154,0.200,0.254,0.320,0.396,0.482,0.575,0.680,0.795,0.920,1.053,1.197,1.350,1.512,1.683,1.863,2.053,2.253,2.462,2.679,2.906,3.142,3.388,3.643,3.907,4.180,4.463
BROA_P,0.002,0.005,0.008,0.011,0.014,0.019,0.024,0.030,0.037,0.045,0.054,0.064,0.075,0.087,0.099,0.113,0.127,0.142,0.158,0.175,0.193,0.212,0.232,0.252,0.274,0.296,0.319,0.343,0.368,0.394,0.420
BROR_P,0.002,0.004,0.006,0.009,0.011,0.015,0.019,0.023,0.029,0.035,0.042,0.050,0.058,0.067,0.077,0.088,0.099,0.111,0.123,0.137,0.151,0.165,0.181,0.197,0.213,0.231,0.249,0.267,0.287,0.307,0.327
BROX,0.004,0.010,0.016,0.023,0.030,0.039,0.049,0.062,0.077,0.093,0.111,0.132,0.154,0.178,0.204,0.232,0.262,0.293,0.326,0.361,0.398,0.437,0.477,0.519,0.563,0.609,0.657,0.706,0.757,0.810,0.865
BRWA1,0.103,0.235,0.375,0.529,0.700,0.909,1.157,1.457,1.805,2.193,2.620,3.094,3.620,4.187,4.797,5.449,6.147,6.884,7.663,8.485,9.349,10.260,11.209,12.200,13.234,14.309,15.427,16.588,17.790,19.035,20.323
BUMU_P,0.006,0.014,0.023,0.032,0.043,0.056,0.071,0.089,0.110,0.134,0.160,0.189,0.222,0.256,0.294,0.334,0.376,0.421,0.469,0.519,0.572,0.628,0.686,0.747,0.810,0.876,0.944,1.015,1.089,1.165,1.244
BURM_1,0.084,0.191,0.305,0.430,0.569,0.739,0.940,1.184,1.467,1.782,2.129,2.515,2.941,3.403,3.898,4.428,4.995,5.594,6.227,6.895,7.597,8.338,9.109,9.914,10.754,11.628,12.536,13.479,14.457,15.468,16.515
BUSH_1,0.037,0.083,0.133,0.188,0.249,0.323,0.412,0.518,0.642,0.780,0.932,1.101,1.288,1.490,1.707,1.939,2.187,2.449,2.726,3.019,3.326,3.650,3.988,4.341,4.708,5.091,5.489,5.902,6.329,6.772,7.230
BUST_1,0.027,0.061,0.097,0.137,0.182,0.236,0.300,0.378,0.468,0.569,0.680,0.803,0.939,1.087,1.245,1.414,1.595,1.786,1.989,2.202,2.426,2.663,2.909,3.166,3.434,3.714,4.004,4.305,4.617,4.940,5.274
CAAD_P,0.003,0.006,0.010,0.013,0.018,0.023,0.029,0.037,0.046,0.056,0.066,0.078,0.092,0.106,0.122,0.138,0.156,0.174,0.194,0.215,0.237,0.260,0.284,0.309,0.335,0.363,0.391,0.420,0.451,0.482,0.515
CANTN1;RICH1;RICH_J,0.076,0.174,0.279,0.394,0.520,0.676,0.860,1.084,1.342,1.631,1.948,2.301,2.691,3.114,3.567,4.052,4.571,5.119,5.698,6.310,6.952,7.630,8.336,9.072,9.840,10.641,11.472,12.335,13.229,14.156,15.113
CAPEA1,0.025,0.057,0.091,0.129,0.171,0.222,0.282,0.355,0.440,0.534,0.638,0.754,0.882,1.021,1.169,1.328,1.498,1.678,1.868,2.068,2.279,2.501,2.732,2.973,3.225,3.488,3.760,4.043,4.336,4.639,4.953
CARE_1,0.026,0.060,0.095,0.135,0.178,0.231,0.294,0.370,0.459,0.558,0.666,0.787,0.921,1.065,1.220,1.386,1.563,1.751,1.949,2.158,2.378,2.610,2.851,3.103,3.366,3.640,3.924,4.219,4.525,4.842,5.169
CARR_1,0.018,0.041,0.066,0.093,0.123,0.160,0.203,0.256,0.317,0.386,0.461,0.544,0.636,0.736,0.843,0.958,1.081,1.210,1.347,1.492,1.644,1.804,1.971,2.145,2.327,2.516,2.712,2.916,3.128,3.347,3.573
CATY,0.000,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.008,0.009,0.011,0.013,0.016,0.018,0.021,0.023,0.026,0.030,0.033,0.036,0.040,0.044,0.048,0.052,0.057,0.062,0.066,0.071,0.077,0.082,0.087
CELL_1,0.110,0.252,0.403,0.569,0.752,0.977,1.243,1.565,1.940,2.357,2.815,3.325,3.890,4.500,5.155,5.856,6.606,7.398,8.235,9.118,10.047,11.026,12.046,13.111,14.221,15.377,16.579,17.826,19.118,20.456,21.840
