Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,254.338,251.369,247.020,243.484,241.655,240.354,240.227,241.492,243.735,246.503,249.870,254.153,259.968,266.093,272.655,279.435,286.626,293.847,301.442,307.574,312.682,316.793,321.799,329.183,333.567,335.263,338.155,342.256,345.434,346.665,346.339,347.292
BISW_1,433.501,429.230,422.734,417.628,415.317,413.895,414.446,417.355,421.999,427.721,434.670,443.494,454.922,467.899,482.006,496.818,512.123,527.625,543.568,556.664,567.528,576.305,585.991,599.112,607.089,610.180,615.223,621.960,627.144,629.287,628.609,629.912
BLYTB1,181.417,179.525,176.349,173.873,172.514,171.445,171.136,171.723,172.862,174.186,175.749,177.768,180.237,183.717,187.367,191.054,195.114,199.135,203.494,206.937,209.816,212.121,215.286,220.376,223.327,224.458,226.479,229.505,231.862,232.722,232.528,233.330
BLYTH132,68.429,67.842,66.836,66.031,65.579,65.201,65.047,65.160,65.441,65.779,66.187,66.774,67.496,68.641,69.859,71.105,72.459,73.821,75.300,76.469,77.444,78.254,79.325,81.012,82.024,82.453,83.159,84.152,84.937,85.243,85.190,85.439
BOAG_P,19.980,19.802,19.533,19.298,19.158,19.035,18.967,18.962,19.004,19.068,19.155,19.302,19.531,19.788,20.061,20.344,20.652,20.968,21.317,21.589,21.817,22.015,22.277,22.693,22.952,23.077,23.263,23.511,23.710,23.793,23.782,23.843
BOLN_1,875.561,868.480,855.755,845.981,840.909,836.914,836.045,838.933,844.193,850.428,857.874,867.914,879.629,898.125,917.951,938.450,960.254,982.230,1005.519,1024.235,1039.814,1052.535,1068.240,1091.682,1105.732,1111.456,1120.911,1134.102,1144.415,1148.480,1147.549,1150.634
BONN,54.931,54.327,53.401,52.641,52.210,51.873,51.756,51.898,52.217,52.612,53.097,53.743,54.644,55.631,56.673,57.736,58.894,60.054,61.312,62.305,63.134,63.810,64.721,66.166,67.017,67.365,67.955,68.808,69.476,69.730,69.676,69.893
BOTW_1,157.882,156.050,153.385,151.220,150.117,149.348,149.314,150.153,151.610,153.413,155.611,158.401,162.187,166.149,170.406,174.821,179.476,184.159,189.062,193.036,196.343,199.005,202.188,206.808,209.564,210.630,212.433,214.966,216.928,217.696,217.483,218.057
BRAC_P,39.316,38.935,38.368,37.896,37.650,37.471,37.442,37.594,37.882,38.251,38.709,39.320,40.172,41.071,42.046,43.067,44.134,45.217,46.352,47.271,48.037,48.668,49.395,50.428,51.060,51.327,51.748,52.303,52.737,52.919,52.875,52.989
BRAI_1,257.591,255.011,251.180,248.128,246.733,245.871,246.167,247.854,250.578,253.959,258.077,263.330,270.229,277.853,286.152,294.873,303.874,313.002,322.389,330.100,336.498,341.677,347.374,355.068,359.763,361.601,364.575,368.515,371.552,372.817,372.424,373.176
BRAP,30.135,29.845,29.422,29.060,28.864,28.714,28.670,28.749,28.925,29.155,29.447,29.848,30.422,31.025,31.677,32.360,33.077,33.807,34.582,35.203,35.721,36.151,36.662,37.402,37.859,38.058,38.369,38.776,39.094,39.230,39.202,39.287
BRAW_1,410.003,406.589,400.695,396.085,393.688,391.807,391.384,392.713,395.183,398.160,401.750,406.611,412.511,421.162,430.456,440.093,450.304,460.625,471.541,480.328,487.637,493.630,500.944,511.778,518.308,521.003,525.397,531.454,536.197,538.090,537.664,539.055
BRED_1,275.393,272.975,268.581,265.277,263.566,262.253,262.038,263.134,265.036,267.231,269.816,273.165,276.976,283.041,289.494,296.112,303.220,310.324,317.872,323.921,328.966,333.021,338.171,346.018,350.633,352.414,355.504,359.981,363.458,364.773,364.444,365.544
BRFO_1;CLT03,722.662,716.592,705.867,697.605,693.310,689.961,689.265,691.748,696.262,701.616,708.017,716.572,726.689,742.100,758.601,775.651,793.800,812.072,831.439,847.001,859.954,870.512,883.576,903.122,914.808,919.532,927.383,938.393,946.994,950.365,949.581,952.173
BRID_P,24.684,24.529,24.224,24.005,23.916,23.867,23.911,24.073,24.318,24.618,24.981,25.453,26.024,26.788,27.626,28.512,29.416,30.340,31.283,32.063,32.709,33.235,33.792,34.519,34.969,35.151,35.435,35.795,36.070,36.192,36.152,36.213
BRIM_1,314.287,311.832,306.838,303.099,300.933,299.030,298.144,298.475,299.415,300.353,301.377,302.923,304.083,308.585,313.222,317.816,323.066,328.237,334.051,338.523,342.280,345.331,349.997,357.991,362.610,364.476,367.770,372.749,376.667,378.084,377.843,379.240
BROA_P,10.920,10.817,10.673,10.552,10.495,10.460,10.469,10.531,10.637,10.772,10.941,11.163,11.469,11.780,12.122,12.482,12.853,13.230,13.617,13.935,14.201,14.418,14.648,14.947,15.137,15.216,15.336,15.484,15.600,15.653,15.636,15.661
BROR_P,6.979,6.915,6.822,6.742,6.698,6.667,6.656,6.674,6.712,6.763,6.829,6.922,7.054,7.194,7.346,7.506,7.672,7.841,8.021,8.167,8.287,8.389,8.504,8.671,8.775,8.823,8.892,8.984,9.053,9.083,9.078,9.097
BROX,48.304,47.815,47.071,46.441,46.073,45.765,45.623,45.675,45.858,46.097,46.401,46.842,47.487,48.203,48.962,49.736,50.585,51.443,52.386,53.124,53.740,54.256,54.964,56.103,56.786,57.087,57.575,58.257,58.798,59.009,58.976,59.149
BRWA1,200.225,198.035,194.979,192.479,191.320,190.607,190.832,192.175,194.371,197.132,200.519,204.828,210.674,216.642,223.144,229.981,237.029,244.181,251.531,257.572,262.583,266.644,271.091,277.069,280.724,282.160,284.474,287.522,289.872,290.859,290.552,291.126
BUMU_P,42.755,42.462,41.966,41.591,41.449,41.379,41.483,41.788,42.257,42.840,43.556,44.486,45.664,47.081,48.641,50.304,51.987,53.710,55.459,56.909,58.111,59.091,60.095,61.349,62.141,62.465,62.954,63.548,64.004,64.213,64.143,64.225
BURM_1,441.369,437.761,431.663,426.727,424.011,421.731,420.833,421.590,423.417,425.686,428.469,432.527,437.619,445.325,453.586,462.133,471.274,480.547,490.507,498.444,505.048,510.566,517.557,528.216,534.689,537.525,542.016,548.143,552.995,554.951,554.607,556.056
BUSH_1,154.113,152.237,149.516,147.350,146.306,145.648,145.792,146.893,148.681,150.868,153.519,156.801,161.180,165.718,170.601,175.676,180.998,186.338,191.876,196.392,200.148,203.144,206.614,211.526,214.440,215.512,217.368,219.989,221.999,222.783,222.528,223.101
BUST_1,305.711,301.938,295.833,291.134,288.626,286.801,286.543,288.136,290.887,294.069,297.822,302.375,308.069,315.056,322.362,329.722,337.818,345.771,354.310,361.088,366.768,371.197,377.235,386.884,392.372,394.294,397.956,403.638,408.012,409.550,409.119,410.642
CAAD_P,19.362,19.181,18.917,18.687,18.562,18.461,18.424,18.464,18.563,18.692,18.857,19.093,19.433,19.792,20.182,20.590,21.019,21.457,21.922,22.297,22.606,22.869,23.182,23.641,23.924,24.051,24.246,24.502,24.703,24.787,24.772,24.826
CAMB_01,34.120,33.779,33.263,32.852,32.658,32.532,32.556,32.761,33.097,33.513,34.018,34.665,35.511,36.465,37.501,38.586,39.712,40.852,42.031,42.996,43.795,44.444,45.173,46.177,46.788,47.027,47.417,47.943,48.348,48.516,48.465,48.572
