Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,0.000,0.000,0.784,2.162,4.239,6.945,10.314,14.216,18.297,22.540,27.001,31.312,35.077,37.925,39.693,40.395,40.237,39.804,39.432,39.364,39.587,38.554,38.765,38.877,38.881,38.796,38.593,38.255,37.781,37.109,35.948,34.651
BISW_1,1.378,2.307,4.454,7.677,12.145,17.674,24.517,32.600,41.490,51.112,61.227,71.004,79.540,85.999,90.008,91.599,91.240,90.259,89.416,89.262,89.768,87.424,87.904,88.156,88.166,87.973,87.512,86.747,85.671,84.148,81.515,78.574
BLYTB1,0.770,1.288,1.897,2.659,3.589,4.639,5.922,7.497,9.387,11.564,13.853,16.065,17.996,19.458,20.365,20.725,20.644,20.422,20.231,20.196,20.310,19.780,19.889,19.946,19.948,19.904,19.800,19.627,19.383,19.039,18.443,17.778
BLYTH132,0.359,0.602,0.839,1.112,1.422,1.749,2.146,2.647,3.285,4.047,4.847,5.622,6.297,6.809,7.126,7.252,7.224,7.146,7.079,7.067,7.107,6.922,6.960,6.980,6.980,6.965,6.929,6.868,6.783,6.662,6.454,6.221
BOAG_P,0.000,0.000,0.033,0.091,0.179,0.293,0.435,0.599,0.771,0.950,1.138,1.320,1.478,1.599,1.673,1.703,1.696,1.678,1.662,1.659,1.669,1.625,1.634,1.639,1.639,1.635,1.627,1.612,1.592,1.564,1.515,1.461
BOLN_1,6.272,10.496,14.550,19.169,24.355,29.784,36.361,44.692,55.386,68.230,81.733,94.784,106.179,114.802,120.154,122.277,121.798,120.489,119.362,119.157,119.833,116.704,117.344,117.682,117.694,117.437,116.822,115.800,114.364,112.331,108.816,104.890
BONN,0.000,0.000,0.118,0.326,0.640,1.049,1.557,2.146,2.763,3.403,4.077,4.728,5.296,5.726,5.993,6.099,6.075,6.010,5.954,5.943,5.977,5.821,5.853,5.870,5.870,5.857,5.827,5.776,5.704,5.603,5.427,5.232
BOTW_1,0.000,0.000,0.514,1.418,2.781,4.556,6.766,9.325,12.002,14.785,17.711,20.540,23.009,24.878,26.037,26.497,26.394,26.110,25.866,25.821,25.968,25.290,25.429,25.502,25.504,25.449,25.315,25.094,24.783,24.342,23.580,22.730
BRAC_P,0.010,0.020,0.150,0.365,0.687,1.102,1.619,2.219,2.851,3.513,4.208,4.880,5.466,5.910,6.186,6.295,6.270,6.203,6.145,6.134,6.169,6.008,6.041,6.058,6.059,6.046,6.014,5.962,5.887,5.783,5.602,5.400
BRAI_1,0.614,1.028,2.242,4.130,6.803,10.154,14.308,19.190,24.490,30.169,36.140,41.911,46.950,50.763,53.129,54.068,53.856,53.277,52.779,52.688,52.987,51.604,51.887,52.036,52.041,51.928,51.656,51.204,50.569,49.670,48.116,46.380
