Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,168.825,167.027,170.584,170.895,170.261,168.940,165.464,162.490,159.976,157.611,155.890,155.562,155.250,154.950,154.661,154.323,154.107,154.124,154.179,154.193,154.227,154.702,155.172,155.621,156.042,156.410,156.755,157.029,157.227,157.360,157.436
BLYTB1,223.369,220.990,225.696,226.108,225.269,223.520,218.921,214.987,211.660,208.532,206.255,205.821,205.408,205.011,204.628,204.181,203.895,203.917,203.991,204.009,204.054,204.683,205.304,205.899,206.456,206.943,207.400,207.761,208.023,208.199,208.301
BLYTH132,24.152,23.895,24.404,24.448,24.357,24.168,23.671,23.246,22.886,22.548,22.301,22.254,22.210,22.167,22.126,22.077,22.046,22.049,22.057,22.059,22.063,22.132,22.199,22.263,22.323,22.376,22.425,22.464,22.493,22.512,22.523
BOAG_P,7.434,7.355,7.512,7.525,7.498,7.439,7.286,7.156,7.045,6.941,6.865,6.851,6.837,6.824,6.811,6.796,6.787,6.787,6.790,6.790,6.792,6.813,6.833,6.853,6.872,6.888,6.903,6.915,6.924,6.930,6.933
BOLN_1,312.523,309.194,315.779,316.355,315.181,312.735,306.300,300.796,296.141,291.764,288.578,287.971,287.393,286.838,286.302,285.676,285.277,285.308,285.411,285.436,285.498,286.380,287.248,288.080,288.859,289.541,290.180,290.686,291.052,291.299,291.440
BONN,24.017,23.761,24.267,24.312,24.221,24.033,23.539,23.116,22.758,22.422,22.177,22.130,22.086,22.043,22.002,21.954,21.923,21.926,21.934,21.935,21.940,22.008,22.075,22.139,22.198,22.251,22.300,22.339,22.367,22.386,22.397
BOTW_1,61.768,61.110,62.411,62.525,62.293,61.809,60.538,59.450,58.530,57.665,57.035,56.915,56.801,56.691,56.585,56.462,56.383,56.389,56.409,56.414,56.426,56.601,56.772,56.937,57.091,57.225,57.352,57.452,57.524,57.573,57.601
BRAC_P,8.041,7.955,8.124,8.139,8.109,8.046,7.881,7.739,7.619,7.507,7.425,7.409,7.395,7.380,7.366,7.350,7.340,7.341,7.344,7.344,7.346,7.368,7.391,7.412,7.432,7.450,7.466,7.479,7.489,7.495,7.499
BRAI_1,83.198,82.311,84.065,84.218,83.905,83.254,81.541,80.076,78.837,77.671,76.823,76.662,76.508,76.360,76.217,76.051,75.944,75.953,75.980,75.987,76.003,76.238,76.469,76.691,76.898,77.080,77.250,77.384,77.482,77.547,77.585
BRAP,9.889,9.783,9.992,10.010,9.973,9.895,9.692,9.518,9.370,9.232,9.131,9.112,9.093,9.076,9.059,9.039,9.027,9.028,9.031,9.032,9.034,9.061,9.089,9.115,9.140,9.161,9.182,9.198,9.209,9.217,9.222
BRAW_1,140.363,138.868,141.825,142.084,141.557,140.458,137.568,135.096,133.005,131.039,129.608,129.336,129.076,128.827,128.586,128.305,128.126,128.140,128.186,128.197,128.225,128.621,129.011,129.385,129.735,130.041,130.328,130.555,130.720,130.830,130.894
BRED_1,108.724,107.566,109.857,110.057,109.649,108.798,106.559,104.644,103.025,101.502,100.394,100.182,99.981,99.788,99.602,99.384,99.245,99.256,99.292,99.300,99.322,99.629,99.931,100.220,100.491,100.729,100.951,101.127,101.254,101.340,101.389
BRFO_1;CLT03,288.304,285.233,291.308,291.839,290.756,288.499,282.562,277.485,273.191,269.152,266.214,265.654,265.121,264.609,264.114,263.537,263.169,263.198,263.292,263.315,263.373,264.186,264.987,265.754,266.474,267.102,267.692,268.158,268.496,268.724,268.855
BRID_P,8.275,8.187,8.361,8.377,8.345,8.281,8.110,7.965,7.842,7.726,7.641,7.625,7.610,7.595,7.581,7.565,7.554,7.555,7.558,7.558,7.560,7.583,7.606,7.628,7.649,7.667,7.684,7.697,7.707,7.713,7.717
BRIM_1,129.268,127.891,130.615,130.853,130.367,129.355,126.694,124.417,122.492,120.681,119.363,119.112,118.873,118.644,118.422,118.163,117.998,118.011,118.053,118.064,118.090,118.454,118.813,119.157,119.480,119.762,120.026,120.235,120.387,120.489,120.547
BROA_P,3.828,3.787,3.868,3.875,3.860,3.830,3.752,3.684,3.627,3.574,3.535,3.527,3.520,3.513,3.507,3.499,3.494,3.495,3.496,3.496,3.497,3.508,3.518,3.529,3.538,3.546,3.554,3.560,3.565,3.568,3.570
BROR_P,2.150,2.128,2.173,2.177,2.169,2.152,2.108,2.070,2.038,2.008,1.986,1.982,1.978,1.974,1.970,1.966,1.963,1.963,1.964,1.964,1.965,1.971,1.977,1.982,1.988,1.992,1.997,2.000,2.003,2.005,2.006
BROX,17.119,16.937,17.298,17.329,17.265,17.131,16.778,16.477,16.222,15.982,15.808,15.774,15.743,15.712,15.683,15.649,15.627,15.628,15.634,15.635,15.639,15.687,15.735,15.780,15.823,15.860,15.895,15.923,15.943,15.957,15.964
BRWA1,81.879,81.007,82.732,82.883,82.576,81.935,80.249,78.807,77.587,76.440,75.606,75.447,75.295,75.150,75.009,74.845,74.741,74.749,74.776,74.782,74.799,75.030,75.257,75.475,75.679,75.858,76.025,76.158,76.254,76.318,76.356
BUMU_P,13.671,13.526,13.814,13.839,13.788,13.681,13.399,13.159,12.955,12.764,12.625,12.598,12.573,12.549,12.525,12.498,12.480,12.482,12.486,12.487,12.490,12.529,12.566,12.603,12.637,12.667,12.695,12.717,12.733,12.744,12.750
BURM_1,126.131,124.787,127.445,127.677,127.203,126.216,123.619,121.398,119.519,117.752,116.467,116.222,115.988,115.764,115.548,115.296,115.134,115.147,115.188,115.198,115.224,115.579,115.930,116.266,116.580,116.855,117.113,117.317,117.465,117.565,117.622
BUSH_1,66.220,65.514,66.910,67.032,66.783,66.265,64.901,63.735,62.749,61.821,61.146,61.017,60.895,60.777,60.664,60.531,60.447,60.453,60.475,60.480,60.494,60.680,60.864,61.041,61.206,61.350,61.486,61.593,61.670,61.723,61.753
BUST_1,144.101,142.566,145.602,145.868,145.326,144.198,141.231,138.693,136.547,134.529,133.060,132.780,132.513,132.257,132.010,131.722,131.538,131.552,131.599,131.611,131.640,132.046,132.447,132.830,133.189,133.504,133.798,134.032,134.201,134.314,134.380
CAAD_P,-0.065,-0.065,-0.064,-0.064,-0.064,-0.065,-0.066,-0.067,-0.068,-0.069,-0.070,-0.070,-0.070,-0.070,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.071,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070,-0.069,-0.069,-0.069
CAMB_01,10.261,10.152,10.368,10.387,10.349,10.268,10.057,9.876,9.723,9.580,9.475,9.455,9.436,9.418,9.400,9.380,9.367,9.368,9.371,9.372,9.374,9.403,9.431,9.459,9.484,9.507,9.528,9.544,9.556,9.564,9.569
CANTN1;RICH1;RICH_J,96.248,95.222,97.250,97.427,97.066,96.313,94.331,92.636,91.202,89.854,88.873,88.686,88.508,88.337,88.172,87.979,87.857,87.866,87.898,87.906,87.924,88.196,88.463,88.720,88.959,89.170,89.366,89.522,89.635,89.711,89.755
CAPEA1,118.375,117.114,119.609,119.827,119.382,118.455,116.018,113.933,112.170,110.512,109.306,109.075,108.857,108.646,108.443,108.206,108.055,108.067,108.106,108.115,108.139,108.473,108.802,109.117,109.412,109.670,109.912,110.104,110.243,110.336,110.390
CARE_1,46.378,45.884,46.862,46.947,46.773,46.410,45.455,44.638,43.947,43.298,42.825,42.735,42.649,42.567,42.487,42.394,42.335,42.340,42.355,42.359,42.368,42.499,42.628,42.751,42.867,42.968,43.063,43.138,43.192,43.229,43.250
CARR_1,133.034,131.617,134.420,134.665,134.165,133.124,130.385,128.042,126.060,124.197,122.841,122.582,122.336,122.100,121.872,121.606,121.436,121.449,121.493,121.503,121.530,121.905,122.275,122.629,122.960,123.251,123.523,123.738,123.894,123.999,124.059
CASS_P,0.083,0.082,0.084,0.084,0.084,0.083,0.082,0.080,0.079,0.078,0.077,0.077,0.077,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.077,0.077,0.077,0.077,0.077,0.077,0.078,0.078,0.078
CATY,8.697,8.604,8.788,8.804,8.771,8.703,8.524,8.371,8.241,8.119,8.031,8.014,7.998,7.982,7.967,7.950,7.939,7.940,7.943,7.943,7.945,7.970,7.994,8.017,8.039,8.057,8.075,8.089,8.100,8.106,8.110
CEAN_P,1.821,1.802,1.840,1.844,1.837,1.823,1.785,1.753,1.726,1.701,1.682,1.678,1.675,1.672,1.669,1.665,1.663,1.663,1.664,1.664,1.664,1.669,1.674,1.679,1.684,1.688,1.691,1.694,1.696,1.698,1.699
