Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.334,1.399,1.381,1.468,1.551,1.629,1.719,1.812,1.868,1.936,2.016,2.088,2.350,2.963,3.483,4.076,4.713,5.237,5.716,6.183,6.613,8.336,9.963,11.498,12.938,14.296,15.551,17.006,18.362,19.622,20.811,21.937
ABNE_P,0.262,0.275,0.272,0.289,0.305,0.320,0.338,0.357,0.367,0.381,0.397,0.411,0.462,0.583,0.685,0.802,0.927,1.030,1.124,1.216,1.301,1.640,1.960,2.262,2.545,2.812,3.059,3.345,3.612,3.860,4.094,4.315
ABTH_1,1.816,1.905,1.881,1.999,2.112,2.218,2.341,2.468,2.544,2.637,2.745,2.844,3.200,4.036,4.743,5.551,6.419,7.132,7.785,8.421,9.007,11.353,13.570,15.659,17.621,19.470,21.180,23.161,25.009,26.724,28.344,29.877
ACTL_2;CBNK_H;GREE_H;PERI_H,0.634,0.664,0.657,0.698,0.737,0.774,0.817,0.862,0.888,0.920,0.957,0.992,1.117,1.409,1.656,1.937,2.240,2.489,2.717,2.939,3.143,3.962,4.736,5.465,6.149,6.794,7.390,8.083,8.728,9.327,9.891,10.426
ALNE_P,0.161,0.169,0.167,0.178,0.188,0.197,0.208,0.219,0.226,0.234,0.244,0.253,0.284,0.359,0.422,0.494,0.571,0.634,0.692,0.749,0.801,1.009,1.206,1.392,1.567,1.731,1.883,2.059,2.223,2.376,2.520,2.656
ALVE1,1.196,1.255,1.239,1.316,1.391,1.461,1.542,1.626,1.675,1.736,1.808,1.872,2.107,2.658,3.124,3.656,4.227,4.697,5.127,5.545,5.931,7.476,8.936,10.312,11.604,12.821,13.947,15.252,16.468,17.598,18.664,19.675
AMEM_1,0.412,0.432,0.427,0.453,0.479,0.503,0.531,0.560,0.577,0.598,0.623,0.645,0.726,0.915,1.076,1.259,1.456,1.618,1.766,1.910,2.043,2.575,3.078,3.552,3.997,4.416,4.804,5.253,5.672,6.061,6.428,6.776
ARBR_P,0.161,0.168,0.166,0.177,0.187,0.196,0.207,0.218,0.225,0.233,0.243,0.251,0.283,0.357,0.420,0.491,0.568,0.631,0.689,0.745,0.797,1.004,1.200,1.385,1.559,1.722,1.873,2.048,2.212,2.364,2.507,2.643
ARDK_P;CLAC_P,0.017,0.018,0.018,0.019,0.020,0.021,0.022,0.024,0.024,0.025,0.026,0.027,0.031,0.039,0.045,0.053,0.061,0.068,0.074,0.080,0.086,0.108,0.130,0.150,0.168,0.186,0.202,0.221,0.239,0.255,0.271,0.285
ARMO_P,0.210,0.221,0.218,0.231,0.245,0.257,0.271,0.286,0.295,0.305,0.318,0.329,0.371,0.467,0.549,0.643,0.743,0.826,0.902,0.975,1.043,1.315,1.572,1.814,2.041,2.255,2.453,2.682,2.896,3.095,3.283,3.460
AXMI1,1.027,1.077,1.064,1.130,1.194,1.254,1.324,1.396,1.439,1.491,1.553,1.608,1.810,2.282,2.682,3.139,3.630,4.033,4.403,4.762,5.093,6.420,7.674,8.855,9.965,11.010,11.977,13.098,14.143,15.113,16.028,16.896
