Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.796,1.172,1.932,2.876,4.176,5.841,7.973,10.681,14.041,18.176,23.172,29.091,36.375,43.998,52.598,61.968,70.988,80.261,89.092,96.770,103.084,108.076,111.830,114.637,116.591,117.099,117.758,117.991,118.016,118.253,117.827,117.303
ABNE_P,0.000,0.000,0.016,0.035,0.066,0.110,0.169,0.246,0.344,0.466,0.615,0.792,1.019,1.233,1.474,1.736,1.989,2.249,2.496,2.711,2.888,3.028,3.133,3.212,3.267,3.281,3.300,3.306,3.307,3.313,3.301,3.287
ABTH_1,0.371,0.546,0.862,1.255,1.782,2.449,3.297,4.367,5.689,7.313,9.271,11.592,14.420,17.443,20.852,24.567,28.143,31.819,35.320,38.364,40.867,42.846,44.334,45.447,46.222,46.423,46.684,46.776,46.787,46.880,46.711,46.504
ACTL_2;CBNK_H;GREE_H;PERI_H,0.159,0.234,0.337,0.468,0.630,0.827,1.071,1.374,1.743,2.192,2.731,3.370,4.124,4.988,5.963,7.025,8.047,9.099,10.100,10.970,11.686,12.252,12.677,12.996,13.217,13.275,13.350,13.376,13.379,13.405,13.357,13.298
ALNE_P,0.000,0.000,0.023,0.049,0.094,0.157,0.240,0.350,0.490,0.664,0.875,1.126,1.450,1.754,2.097,2.471,2.830,3.200,3.552,3.858,4.110,4.309,4.458,4.570,4.648,4.669,4.695,4.704,4.705,4.715,4.698,4.677
ALVE1,0.000,0.000,0.315,0.685,1.315,2.185,3.354,4.887,6.834,9.263,12.219,15.722,20.245,24.487,29.274,34.488,39.509,44.670,49.585,53.858,57.372,60.150,62.239,63.802,64.890,65.172,65.539,65.668,65.683,65.814,65.577,65.285
AMEM_1,0.450,0.661,1.119,1.684,2.474,3.491,4.798,6.463,8.533,11.083,14.166,17.818,22.332,27.012,32.291,38.044,43.582,49.275,54.697,59.410,63.287,66.351,68.656,70.379,71.579,71.891,72.296,72.439,72.454,72.599,72.338,72.016
ARBR_P,0.000,0.000,0.044,0.096,0.185,0.307,0.471,0.686,0.959,1.300,1.715,2.207,2.842,3.437,4.109,4.841,5.546,6.271,6.960,7.560,8.054,8.444,8.737,8.956,9.109,9.149,9.200,9.218,9.220,9.239,9.206,9.165
ARDK_P;CLAC_P,0.000,0.000,0.005,0.010,0.019,0.032,0.048,0.070,0.098,0.133,0.177,0.226,0.292,0.353,0.422,0.497,0.569,0.644,0.715,0.776,0.827,0.867,0.897,0.920,0.935,0.940,0.945,0.947,0.947,0.949,0.945,0.941
ARMO_P,0.030,0.040,0.081,0.131,0.206,0.305,0.434,0.601,0.810,1.070,1.384,1.756,2.224,2.691,3.216,3.790,4.341,4.908,5.448,5.918,6.304,6.609,6.839,7.010,7.130,7.161,7.201,7.216,7.217,7.232,7.206,7.173
