Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,0.000,0.815,1.695,2.633,3.633,4.700,5.139,5.611,6.306,7.207,8.325,9.055,10.126,11.390,12.860,14.500,14.300,15.875,17.418,18.894,20.244,21.786,23.186,24.352,25.316,26.081,25.990,26.569,27.047,27.428,27.741
BLYTB1,0.000,0.445,0.925,1.437,1.983,2.565,2.619,2.860,3.214,3.673,4.243,4.587,5.130,5.770,6.515,7.346,6.979,7.748,8.501,9.221,9.880,10.570,11.249,11.815,12.283,12.654,12.423,12.700,12.928,13.111,13.260
BLYTH132,0.000,0.294,0.611,0.949,1.310,1.695,1.731,1.890,2.124,2.427,2.803,3.031,3.389,3.812,4.305,4.854,4.611,5.119,5.617,6.093,6.528,6.984,7.433,7.806,8.116,8.361,8.208,8.391,8.542,8.662,8.761
BOAG_P,0.000,0.023,0.048,0.075,0.103,0.134,0.220,0.240,0.270,0.309,0.357,0.543,0.607,0.683,0.771,0.869,1.234,1.370,1.503,1.630,1.747,2.028,2.159,2.267,2.357,2.428,2.808,2.871,2.922,2.964,2.997
BOLN_1,0.000,0.850,1.768,2.746,3.790,4.903,5.033,5.495,6.176,7.058,8.152,8.773,9.810,11.035,12.459,14.048,13.858,15.384,16.879,18.310,19.618,20.999,22.348,23.472,24.402,25.139,25.077,25.635,26.096,26.464,26.766
BONN,0.000,0.082,0.171,0.265,0.366,0.474,0.893,0.975,1.096,1.252,1.447,2.417,2.702,3.040,3.432,3.870,5.821,6.462,7.090,7.691,8.240,9.747,10.374,10.895,11.327,11.669,13.607,13.910,14.161,14.360,14.524
BOTW_1,0.000,0.568,1.180,1.833,2.530,3.273,3.477,3.796,4.266,4.875,5.632,6.087,6.806,7.656,8.644,9.746,9.582,10.637,11.671,12.660,13.565,14.518,15.451,16.228,16.871,17.380,17.323,17.709,18.028,18.282,18.490
BRAC_P,0.000,0.051,0.106,0.165,0.228,0.295,0.548,0.598,0.673,0.769,0.888,1.478,1.653,1.860,2.100,2.367,3.553,3.944,4.328,4.695,5.030,5.949,6.331,6.649,6.912,7.121,8.305,8.490,8.643,8.764,8.864
BRAI_1,0.000,0.748,1.556,2.417,3.336,4.315,4.581,5.002,5.622,6.425,7.421,8.010,8.958,10.076,11.376,12.827,12.564,13.948,15.304,16.601,17.787,19.006,20.227,21.244,22.086,22.753,22.668,23.173,23.590,23.922,24.195
BRAP,0.000,0.039,0.081,0.127,0.175,0.226,0.409,0.446,0.501,0.573,0.662,1.082,1.210,1.362,1.537,1.733,2.570,2.853,3.130,3.395,3.638,4.292,4.568,4.797,4.987,5.138,5.970,6.103,6.212,6.300,6.372
BRAW_1,0.000,0.501,1.042,1.618,2.233,2.889,3.014,3.291,3.698,4.227,4.882,5.327,5.957,6.701,7.566,8.531,8.305,9.220,10.116,10.973,11.757,12.557,13.364,14.036,14.592,15.032,14.803,15.133,15.405,15.622,15.801
BRED_1,0.000,0.528,1.099,1.706,2.354,3.046,3.075,3.358,3.774,4.313,4.982,5.401,6.040,6.794,7.671,8.649,8.311,9.227,10.124,10.982,11.766,12.628,13.439,14.115,14.674,15.118,14.880,15.211,15.485,15.703,15.882
BRFO_1;CLT03,0.000,0.799,1.660,2.578,3.557,4.602,4.787,5.227,5.873,6.713,7.753,8.363,9.352,10.519,11.877,13.391,13.188,14.641,16.064,17.426,18.670,19.967,21.249,22.318,23.202,23.903,23.834,24.365,24.803,25.153,25.440
BRID_P,0.000,0.051,0.107,0.166,0.228,0.296,0.549,0.599,0.673,0.770,0.889,1.480,1.655,1.862,2.102,2.370,3.558,3.949,4.333,4.701,5.036,5.956,6.339,6.657,6.921,7.130,8.315,8.501,8.653,8.775,8.875
BRIM_1,0.000,1.100,2.287,3.551,4.901,6.340,6.482,7.077,7.954,9.091,10.501,10.608,11.862,13.342,15.065,16.986,15.579,17.295,18.976,20.584,22.055,22.156,23.580,24.766,25.747,26.525,26.096,26.677,27.157,27.540,27.854
BROA_P,0.000,0.014,0.029,0.045,0.062,0.081,0.133,0.145,0.163,0.186,0.215,0.327,0.366,0.412,0.465,0.524,0.744,0.826,0.906,0.983,1.053,1.223,1.302,1.367,1.422,1.465,1.694,1.731,1.763,1.787,1.808
BROR_P,0.000,0.013,0.028,0.043,0.059,0.077,0.123,0.134,0.151,0.172,0.199,0.308,0.344,0.387,0.437,0.493,0.706,0.784,0.860,0.933,1.000,1.168,1.244,1.306,1.358,1.399,1.623,1.660,1.689,1.713,1.733
