Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
CARE_1,129.509,128.813,126.159,124.714,126.1,128.03,129.961,132.097,135.943,139.609,143.093,146.466,150.64,154.489,159.947,163.898,167.196,169.968,172.396,174.586,177.711,180.145,182.691,185.212,187.65,189.908,194.596,197.908,200.494,202.615,206.683,208.758,,,,
CARR_1,304.636,300.403,291.829,287.155,291.274,297.268,303.332,309.657,319.767,328.396,336.412,343.942,353.394,362.176,375.985,385.898,394.241,401.317,407.471,412.883,420.893,426.76,432.667,438.54,444.187,449.34,461.467,469.767,475.961,480.746,491.031,495.82,,,,
CASS_P,1.344,1.332,1.32,1.321,1.348,1.386,1.432,1.483,1.543,1.599,1.657,1.715,1.781,1.839,1.9,1.947,1.984,2.014,2.039,2.064,2.097,2.126,2.159,2.192,2.224,2.252,2.296,2.328,2.357,2.385,2.422,2.447,,,,
CATY,17.291,17.072,16.817,16.917,17.615,18.573,19.686,20.912,22.35,23.718,25.097,26.441,27.876,29.159,30.537,31.535,32.329,32.952,33.488,33.997,34.647,35.208,35.793,36.333,36.853,37.321,38.133,38.72,39.183,39.563,40.216,40.553,,,,
CBNK_H,26.561,26.222,25.471,24.972,25.116,25.355,25.554,25.739,26.213,26.569,26.864,27.136,27.581,28.014,28.89,29.519,30.067,30.549,30.973,31.341,31.909,32.312,32.725,33.152,33.565,33.949,34.882,35.524,36.01,36.396,37.217,37.613,,,,
CEAN_P,1.471,1.454,1.415,1.39,1.4,1.415,1.429,1.444,1.473,1.497,1.516,1.535,1.564,1.591,1.642,1.678,1.707,1.736,1.76,1.781,1.812,1.836,1.86,1.885,1.909,1.931,1.982,2.018,2.045,2.067,2.112,2.133,,,,
CELL_1,700.792,692.443,672.653,661.167,669.092,680.567,691.561,702.985,723.837,741.78,758.187,773.457,793.174,811.616,842.174,864.084,882.625,898.469,912.259,924.274,942.328,955.314,968.31,981.321,993.828,1005.234,1032.947,1051.804,1065.777,1076.478,1100.022,1110.837,,,,
CHAP,45.547,45.086,44.128,43.551,25.47128,25.79028,26.12436,26.47062,27.04308,27.52506,27.9705,28.4142,29.02842,29.60552,30.47784,31.11526,31.6564,32.11982,32.53278,32.90746,33.44454,33.87258,34.33484,34.80348,35.2582,35.68856,36.53884,37.15248,37.64664,38.0712,38.83796,39.25324,,,,
CHAR_P,20.551,20.23,19.596,19.301,19.722,20.316,20.928,21.576,22.534,23.372,24.166,24.907,25.773,26.568,27.752,28.597,29.3,29.888,30.394,30.836,31.487,31.957,32.417,32.865,33.291,33.672,34.612,35.246,35.701,36.034,36.803,37.132,,,,
CHAS,63.408,64.859,64.774,64.242,63.45,62.15,60.494,58.859,58.229,58.166,58.039,58.019,58.422,58.849,59.686,60.339,60.933,61.491,62.025,62.54,63.268,63.933,64.752,65.627,66.491,67.358,68.724,69.796,70.769,71.722,73.117,74.032,,,,
CHIC_1,103.947,102.762,100.46,99.236,100.473,102.288,104.227,106.28,109.345,112.028,114.567,117.048,120.185,123.087,127.22,130.221,132.731,134.85,136.715,138.406,140.812,142.708,144.718,146.715,148.653,150.458,154.108,156.708,158.768,160.484,163.689,165.364,,,,
CHSI_1,266.582,264.498,258.182,255.307,259.839,266.058,272.451,279.458,290.595,301.06,311.104,320.662,331.816,342.024,356.214,366.407,374.842,381.848,387.907,393.326,401.065,406.939,412.873,418.638,424.173,429.184,440.334,448.023,453.786,458.242,467.534,471.88,,,,
CHTE_1,536.462,529.511,515.801,508.543,515.775,526.288,537.233,548.748,566.36,581.608,595.939,609.626,626.688,642.482,666.03,683.011,697.244,709.264,719.758,729.109,742.688,752.959,763.514,773.982,784.077,793.359,813.823,828.056,838.929,847.595,865.148,873.701,,,,
CITR_1,694.292,689.494,678.383,669.366,668.671,668.723,668.625,668.115,671.066,672.837,673.807,675.757,682.404,689.058,700.819,709.798,717.767,725.027,731.849,738.289,747.461,755.51,765.142,775.35,785.45,795.484,812.11,824.932,836.336,847.221,863.874,874.569,,,,
CLAC_P,3.28,3.241,3.156,3.101,3.121,3.156,3.186,3.215,3.278,3.326,3.369,3.41,3.472,3.532,3.641,3.72,3.788,3.846,3.899,3.945,4.015,4.066,4.12,4.174,4.226,4.277,4.388,4.468,4.528,4.576,4.677,4.726,,,,
CLAY_P,26.999,27.031,26.776,26.576,26.612,26.664,26.722,26.798,27.078,27.389,27.683,28.018,28.53,29.01,29.616,30.074,30.465,30.8,31.108,31.411,31.811,32.185,32.629,33.083,33.53,33.969,34.631,35.15,35.619,36.073,36.722,37.151,,,,
CLT03,34.201,33.766,32.8,32.156,32.346,32.655,32.914,33.155,33.769,34.233,34.615,34.966,35.544,36.105,37.238,38.052,38.76,39.382,39.932,40.406,41.141,41.662,42.195,42.746,43.279,43.774,44.98,45.809,46.434,46.931,47.993,48.503,,,,
CLYM,66.289,65.536,63.998,63.138,63.852,64.905,66.007,67.16,68.967,70.52,71.972,73.379,75.211,76.916,79.463,81.314,82.868,84.191,85.356,86.405,87.915,89.086,90.32,91.553,92.748,93.863,96.19,97.837,99.127,100.195,102.239,103.287,,,,
COAT,54.641,54.011,52.709,51.978,52.568,53.438,54.336,55.274,56.769,58.047,59.234,60.382,61.878,63.273,65.399,66.939,68.238,69.342,70.315,71.184,72.449,73.419,74.432,75.447,76.429,77.343,79.291,80.661,81.728,82.601,84.304,85.163,,,,
COCK,42.023,41.512,40.498,39.986,40.585,41.447,42.357,43.321,44.75,46.001,47.184,48.322,49.723,51.018,52.885,54.231,55.356,56.303,57.129,57.874,58.938,59.758,60.605,61.443,62.251,62.994,64.586,65.699,66.557,67.248,68.614,69.287,,,,
CONQA1,262.495,259.274,252.201,248.237,251.422,256.046,260.655,265.479,273.583,280.579,287.057,293.165,300.931,308.162,319.587,327.8,334.723,340.608,345.74,350.256,356.941,361.862,366.849,371.823,376.61,380.997,391.185,398.186,403.451,407.561,416.257,420.367,,,,
COUA_P,24.252,23.976,23.414,23.105,23.38,23.782,24.203,24.645,25.331,25.921,26.475,27.011,27.702,28.346,29.3,29.99,30.572,31.066,31.5,31.89,32.453,32.889,33.348,33.805,34.247,34.659,35.521,36.129,36.605,36.997,37.751,38.136,,,,
COVE_1,496.459,490.727,477.633,470.53,477.025,486.331,495.692,505.588,521.942,536.338,549.792,562.506,578.328,592.998,615.503,631.677,645.258,656.746,666.744,675.576,688.548,698.159,707.894,717.551,726.843,735.333,754.879,768.324,778.425,786.298,802.908,810.741,,,,
COWL_1,523.914,517.226,504.193,497.352,504.213,514.306,524.926,536.145,553.052,567.766,581.657,595.006,611.629,626.995,649.445,665.665,679.239,690.682,700.689,709.652,722.58,732.476,742.734,752.913,762.751,771.835,791.324,804.984,815.536,824.067,840.909,849.33,,,,
COYL,35.761,35.343,34.518,34.091,34.563,35.249,35.976,36.746,37.89,38.888,39.834,40.75,41.89,42.944,44.456,45.551,46.468,47.24,47.914,48.524,49.395,50.074,50.78,51.483,52.16,52.789,54.098,55.021,55.742,56.331,57.465,58.038,,,,
CRAI_P,22.75,22.405,21.746,21.463,21.954,22.647,23.376,24.154,25.261,26.243,27.182,28.065,29.086,30.021,31.345,32.294,33.077,33.729,34.289,34.785,35.504,36.034,36.56,37.07,37.556,37.993,39.019,39.714,40.223,40.602,41.443,41.815,,,,
CREB_1,479.176,474.237,462.227,455.395,460.554,468.076,475.543,483.446,497.251,509.466,520.821,531.632,545.456,558.315,578.189,592.521,604.589,614.844,623.81,631.759,643.425,652.158,661.132,670.095,678.753,686.734,704.581,716.978,726.449,734.009,749.416,756.96,,,,
CUMB,45.77,45.33,44.434,43.898,44.26,44.807,45.396,46.009,46.985,47.82,48.598,49.382,50.463,51.473,52.946,54.023,54.937,55.719,56.415,57.054,57.96,58.698,59.504,60.319,61.114,61.867,63.3,64.342,65.198,65.944,67.245,67.969,,,,
CUPA,47.541,47.024,45.977,45.388,45.88,46.605,47.372,48.174,49.424,50.498,51.506,52.491,53.78,54.981,56.753,58.04,59.123,60.045,60.858,61.596,62.65,63.479,64.36,65.242,66.098,66.9,68.526,69.688,70.609,71.379,72.82,73.574,,,,
CURR,10.812,10.651,10.38,10.312,10.635,11.079,11.57,12.103,12.793,13.425,14.047,14.638,15.293,15.884,16.628,17.16,17.595,17.947,18.251,18.525,18.904,19.199,19.498,19.778,20.046,20.287,20.801,21.155,21.416,21.617,22.031,22.219,,,,
DALL_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DALM3,27.448,27.125,26.487,26.16,26.523,27.053,27.613,28.211,29.092,29.863,30.594,31.3,32.179,32.992,34.157,35,35.707,36.299,36.818,37.287,37.957,38.479,39.022,39.562,40.081,40.564,41.572,42.281,42.834,43.285,44.158,44.597,,,,
DEVM,24.785,24.562,24.12,23.859,24.055,24.351,24.679,25.026,25.552,26.006,26.436,26.876,27.475,28.033,28.807,29.378,29.859,30.269,30.636,30.977,31.452,31.849,32.29,32.736,33.172,33.588,34.334,34.887,35.348,35.761,36.449,36.844,,,,
DEVO,53.823,53.129,51.692,50.907,51.594,52.593,53.605,54.662,56.353,57.796,59.134,60.402,62.008,63.506,65.844,67.528,68.944,70.148,71.199,72.126,73.493,74.507,75.539,76.565,77.557,78.463,80.541,81.976,83.056,83.905,85.681,86.524,,,,
DEWP,57.103,57.321,56.603,55.93,55.75,55.474,55.059,54.643,54.839,55.149,55.379,55.666,56.331,56.989,58.155,59.03,59.796,60.486,61.121,61.708,62.558,63.268,64.087,64.947,65.79,66.615,68.098,69.206,70.157,71.03,72.459,73.314,,,,
DOUN_P,6.546,6.464,6.282,6.162,6.199,6.26,6.311,6.359,6.479,6.569,6.643,6.714,6.825,6.934,7.151,7.308,7.444,7.565,7.671,7.761,7.904,8.003,8.107,8.213,8.314,8.409,8.64,8.8,8.92,9.015,9.218,9.315,,,,
DRAK_1,214.329,211.659,206.307,203.323,205.81,209.472,213.249,217.194,223.446,228.798,233.783,238.567,244.709,250.424,259.145,265.446,270.752,275.261,279.212,282.735,287.871,291.766,295.804,299.837,303.736,307.343,315.206,320.703,324.942,328.368,335.189,338.578,,,,
DRAX_1,119.384,117.925,114.58,112.511,113.552,115.114,116.56,118.018,120.933,123.346,125.488,127.482,130.245,132.86,137.488,140.814,143.653,146.109,148.258,150.123,152.961,154.998,157.053,159.139,161.152,163.003,167.478,170.538,172.83,174.616,178.481,180.297,,,,
DRCR,17.838,17.62,17.191,16.978,17.239,17.615,18.014,18.437,19.057,19.602,20.119,20.617,21.225,21.787,22.59,23.169,23.652,24.059,24.412,24.732,25.186,25.54,25.903,26.261,26.607,26.924,27.603,28.08,28.445,28.739,29.321,29.608,,,,
DRUM,59.671,58.654,56.563,55.515,56.7,58.374,60.044,61.788,64.527,66.875,69.065,71.063,73.43,75.617,79.127,81.621,83.709,85.468,86.976,88.272,90.23,91.586,92.874,94.134,95.333,96.387,99.257,101.145,102.462,103.378,105.697,106.625,,,,
DUBE_P,0.003,0.003,0.01,0.021,0.038,0.059,0.086,0.116,0.146,0.178,0.209,0.241,0.272,0.299,0.321,0.336,0.348,0.356,0.363,0.37,0.377,0.386,0.394,0.401,0.408,0.414,0.42,0.424,0.428,0.432,0.435,0.437,,,,
DUDH_P,41.982,41.996,41.388,40.947,41.057,41.198,41.294,41.418,41.993,42.588,43.133,43.697,44.533,45.325,46.503,47.373,48.115,48.758,49.334,49.869,50.624,51.249,51.948,52.659,53.354,54.02,55.243,56.143,56.896,57.566,58.7,59.348,,,,
DUGR_P,5.02,4.957,4.841,4.793,4.886,5.019,5.163,5.317,5.529,5.72,5.903,6.08,6.29,6.478,6.733,6.916,7.069,7.194,7.303,7.401,7.541,7.649,7.761,7.872,7.977,8.073,8.272,8.414,8.522,8.607,8.776,8.859,,,,
DUNB,21.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
DUNB_A,0,14.74386,14.42507,14.27597,14.49891,14.81983,15.16773,15.54048,16.06375,16.52951,16.97681,17.41488,17.94383,18.4316,19.08835,19.56547,19.95952,20.29109,20.58077,20.84418,21.21409,21.50945,21.81901,22.1236,22.41825,22.69302,23.23688,23.62525,23.93339,24.18615,24.6583,24.90112,,,,
DUNB_B,0,6.02214,5.89193,5.83103,5.92209,6.05317,6.19527,6.34752,6.56125,6.75149,6.93419,7.11312,7.32917,7.5284,7.79665,7.99153,8.15248,8.28791,8.40623,8.51382,8.66491,8.78555,8.91199,9.0364,9.15675,9.26898,9.49112,9.64975,9.77561,9.87885,10.0717,10.17088,,,,
DUNF,32.736,32.259,31.284,30.782,31.315,32.074,32.844,33.649,34.907,35.989,37,37.941,39.086,40.147,41.8,42.982,43.974,44.811,45.534,46.168,47.106,47.785,48.456,49.117,49.748,50.319,51.715,52.66,53.349,53.864,55.026,55.54,,,,
DUNO_P,11.481,11.36,11.128,11.015,11.163,11.378,11.613,11.865,12.222,12.538,12.844,13.142,13.512,13.855,14.317,14.654,14.934,15.169,15.376,15.567,15.831,16.045,16.275,16.503,16.721,16.929,17.324,17.61,17.84,18.035,18.385,18.571,,,,
DYCE_P,31.758,31.645,31.086,30.813,31.2,31.721,32.261,32.864,33.872,34.843,35.782,36.699,37.813,38.835,40.206,41.201,42.028,42.716,43.32,43.874,44.645,45.266,45.923,46.566,47.191,47.77,48.907,49.722,50.366,50.903,51.891,52.404,,,,
EALI_6,202.611,200.165,195.226,192.386,194.472,197.588,200.789,204.118,209.52,214.112,218.366,222.467,227.863,232.899,240.67,246.296,251.048,255.1,258.665,261.849,266.494,270.039,273.743,277.463,281.065,284.414,291.608,296.665,300.604,303.825,310.128,313.322,,,,
EASO_1,300.271,297.647,291.616,289.61,295.779,304.296,313.607,323.833,338.052,351.45,364.576,377.285,391.753,404.894,421.443,433.396,443.174,451.179,458.113,464.469,473.196,480.192,487.445,494.412,501.123,507.242,519.441,528.07,534.759,540.153,550.387,555.499,,,,
EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ECCL,23.829,23.538,22.957,22.656,22.98,23.445,23.936,24.452,25.23,25.907,26.547,27.16,27.924,28.63,29.665,30.414,31.039,31.567,32.03,32.442,33.038,33.495,33.967,34.435,34.886,35.301,36.199,36.825,37.307,37.695,38.465,38.845,,,,
ECLA_1,380.157,377.246,368.591,364.807,371.42,380.495,389.936,400.305,416.412,431.592,446.225,460.206,476.46,491.31,511.548,526.103,538.126,548.085,556.704,564.451,575.431,583.859,592.431,600.74,608.729,615.972,631.715,642.63,650.875,657.317,670.468,676.708,,,,
EERH,69.335,68.45,66.633,65.645,66.539,67.837,69.166,70.55,72.743,74.622,76.372,78.033,80.133,82.082,85.089,87.255,89.075,90.622,91.97,93.165,94.917,96.227,97.562,98.892,100.172,101.348,104.008,105.847,107.241,108.341,110.618,111.709,,,,
EKIL,42.833,42.273,41.176,40.653,41.366,42.378,43.451,44.587,46.244,47.7,49.087,50.409,51.996,53.456,55.546,57.051,58.305,59.353,60.263,61.077,62.247,63.137,64.042,64.929,65.782,66.561,68.283,69.474,70.374,71.083,72.536,73.226,,,,
EKIS,35.393,34.868,33.687,32.948,33.279,33.773,34.197,34.609,35.512,36.216,36.818,37.349,38.11,38.841,40.317,41.367,42.271,43.061,43.747,44.325,45.238,45.852,46.444,47.048,47.627,48.149,49.599,50.558,51.244,51.742,52.964,53.485,,,,
ELDE,32.981,32.494,31.423,30.814,31.268,31.921,32.54,33.176,34.304,35.247,36.103,36.881,37.869,38.794,40.4,41.543,42.513,43.341,44.057,44.671,45.609,46.259,46.887,47.513,48.111,48.646,50.077,51.027,51.705,52.194,53.379,53.881,,,,
ELGI_P,44.654,44.123,43.05,42.467,43.01,43.801,44.625,45.49,46.828,47.982,49.063,50.104,51.429,52.659,54.495,55.821,56.937,57.884,58.711,59.453,60.528,61.352,62.207,63.06,63.883,64.647,66.279,67.426,68.312,69.034,70.45,71.159,,,,
ELLA_1,330.901,327.951,319.749,315.224,319.205,324.814,330.338,336.263,346.734,356.239,365.133,373.567,384.066,393.794,408.591,419.237,428.17,435.724,442.303,448.129,456.661,463.016,469.484,475.899,482.074,487.727,500.579,509.447,516.141,521.395,532.345,537.556,,,,
ELST_1,432.599,429.152,417.657,410.808,415.134,421.186,426.628,432.426,444.781,455.983,466.242,475.788,488.056,499.522,518.46,532.033,543.515,553.316,561.842,569.27,580.428,588.449,596.467,604.485,612.193,619.212,636.308,647.93,656.53,663.102,677.602,684.244,,,,
ENDE_1,487.468,483.987,473.52,467.63,472.581,479.616,486.672,494.329,507.958,520.568,532.449,543.953,558.509,571.99,591.668,605.921,617.869,627.969,636.833,644.809,656.27,665.147,674.448,683.707,692.668,700.984,718.4,730.698,740.307,748.198,763.385,771.138,,,,
ERSK,20.325,20.037,19.457,19.163,19.496,19.97,20.457,20.969,21.752,22.428,23.064,23.661,24.385,25.053,26.07,26.797,27.407,27.921,28.364,28.756,29.332,29.752,30.173,30.587,30.981,31.34,32.193,32.773,33.2,33.526,34.238,34.558,,,,
EXET1,319.028,315.867,308.205,304.117,308.175,313.95,319.84,326.139,336.454,345.729,354.475,362.84,373.192,382.766,396.872,407.048,415.561,422.743,429.006,434.597,442.691,448.836,455.154,461.409,467.442,472.988,485.135,493.594,500.061,505.223,515.631,520.716,,,,
FASN_P,0.685,0.677,0.658,0.645,0.649,0.654,0.66,0.665,0.677,0.686,0.694,0.701,0.713,0.724,0.747,0.762,0.777,0.79,0.8,0.81,0.824,0.834,0.845,0.857,0.867,0.878,0.901,0.918,0.931,0.94,0.962,0.972,,,,
FAUG_P,4.318,4.276,4.179,4.11,4.126,4.151,4.176,4.196,4.252,4.295,4.329,4.364,4.428,4.49,4.605,4.69,4.764,4.828,4.887,4.94,5.019,5.077,5.145,5.212,5.278,5.341,5.472,5.567,5.643,5.708,5.829,5.896,,,,
FAWL_1,308.536,304.557,296.235,291.241,294.213,298.675,303.038,307.485,315.383,321.919,327.824,333.4,340.961,348.079,360.021,368.626,375.943,382.24,387.759,392.604,399.858,405.178,410.626,416.13,421.446,426.357,437.718,445.563,451.523,456.257,466.113,470.877,,,,
FECK_6,329.436,325.035,316.683,312.727,318.23,326.104,334.481,343.396,356.24,367.579,378.404,388.753,401.133,412.504,428.568,440.139,449.756,457.788,464.771,471.028,479.982,486.824,493.824,500.681,507.284,513.314,526.451,535.584,542.529,548.018,559.14,564.502,,,,
FERRA2,91.196,90.083,87.337,85.887,87.304,89.299,91.25,93.318,96.836,99.957,102.869,105.563,108.819,111.834,116.588,119.983,122.829,125.231,127.303,129.104,131.794,133.707,135.578,137.419,139.179,140.755,144.748,147.424,149.355,150.769,154.066,155.492,,,,
FERRB1,290.869,287.653,279.36,274.603,278.063,282.999,287.673,292.578,301.719,309.737,317.1,323.931,332.59,340.67,353.96,363.472,371.505,378.351,384.292,389.457,397.224,402.774,408.284,413.778,419.049,423.832,435.656,443.661,449.534,453.97,463.936,468.424,,,,
FETT_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
FIDD_P,17.779,17.6,17.24,17.034,17.204,17.455,17.726,18.01,18.446,18.822,19.178,19.53,19.996,20.431,21.054,21.509,21.893,22.22,22.507,22.772,23.146,23.446,23.773,24.101,24.417,24.718,25.298,25.72,26.059,26.35,26.871,27.154,,,,
FIDF_1,337.128,334.295,326.504,321.762,324.573,328.662,332.585,336.726,344.842,352.068,358.703,365.085,373.62,381.611,394.252,403.402,411.15,417.785,423.621,428.816,436.446,442.223,448.248,454.317,460.192,465.66,477.55,485.886,492.358,497.638,508.06,513.309,,,,
FINN,25.861,25.647,25.212,24.936,25.079,25.308,25.562,25.83,26.257,26.623,26.961,27.322,27.85,28.346,29.043,29.563,30.002,30.382,30.725,31.045,31.493,31.874,32.309,32.752,33.185,33.606,34.329,34.873,35.339,35.766,36.449,36.861,,,,
FLEE_1,761.537,751.113,732.334,724.899,740.703,763.033,787.287,813.367,848.934,880.933,911.932,941.645,975.921,1007.176,1048.812,1078.787,1103.475,1123.845,1141.477,1157.402,1179.786,1197.15,1214.883,1232.018,1248.495,1263.448,1295.274,1317.439,1334.271,1347.507,1374.084,1386.829,,,,
FOUR_1,33.531,33.257,32.587,32.151,32.341,32.635,32.929,33.231,33.835,34.359,34.835,35.314,36.01,36.668,37.69,38.439,39.078,39.631,40.123,40.57,41.216,41.732,42.295,42.868,43.427,43.959,45,45.753,46.37,46.9,47.851,48.375,,,,
FRAS_P,17.866,17.668,17.352,17.278,17.678,18.237,18.873,19.567,20.44,21.246,22.048,22.832,23.722,24.527,25.484,26.176,26.742,27.201,27.599,27.972,28.469,28.887,29.33,29.755,30.165,30.543,31.231,31.729,32.128,32.462,33.047,33.358,,,,
FROD_1,329.308,325.101,316.684,312.378,317.167,324.066,331.275,338.904,350.442,360.546,370.095,379.206,390.372,400.676,415.782,426.663,435.758,443.407,450.071,456.013,464.613,471.12,477.782,484.359,490.697,496.503,509.33,518.233,525.008,530.372,541.306,546.588,,,,
FWIL_P,27.064,26.791,26.197,25.814,25.977,26.23,26.483,26.736,27.219,27.61,27.958,28.305,28.829,29.33,30.152,30.751,31.265,31.715,32.114,32.473,33,33.412,33.856,34.311,34.754,35.174,36.03,36.643,37.136,37.56,38.335,38.753,,,,
G_EXTRA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
G_EXTRA_10,30.212,29.666,28.45,27.729,28.144,28.745,29.272,29.791,30.84,31.675,32.406,33.032,33.852,34.631,36.205,37.316,38.266,39.087,39.79,40.375,41.31,41.907,42.452,43.002,43.523,43.975,45.421,46.346,46.97,47.378,48.55,48.99,,,,
G_EXTRA_11,21.644,21.253,20.382,19.863,20.161,20.592,20.97,21.342,22.094,22.693,23.215,23.664,24.252,24.809,25.937,26.732,27.411,28.001,28.506,28.924,29.595,30.023,30.412,30.806,31.178,31.503,32.538,33.202,33.649,33.942,34.781,35.095,,,,
G_EXTRA_13,0,0,14.46463554,14.28779781,14.44363302,14.67073695,14.9107278,15.16370124,15.56147634,15.90962037,16.23711216,16.55838213,16.97433318,17.36142765,17.9229468,18.33165501,18.67486401,18.96601083,19.22302905,19.45619589,19.78879548,20.05184046,20.33118198,20.61106617,20.88241914,21.13603944,21.64687143,22.01199288,22.30230843,22.54567224,22.99741287,23.23485516,,,,
G_EXTRA_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
G_EXTRA_15,0,0,0,0,0,0,6.91535,7.07655,7.31913,7.52986,7.72915,7.91882,8.15126,8.36602,8.68296,8.91124,9.10208,9.26263,9.40238,9.52705,9.70749,9.8436,9.98296,10.12011,10.25232,10.37348,10.64271,10.82926,10.97057,11.08211,11.3113,11.42076,,,,
G_EXTRA_16,0,0,0,0,18.44472,18.67572,18.91764,19.16838,19.58292,19.93194,20.2545,20.5758,21.02058,21.43848,22.07016,22.53174,22.9236,23.25918,23.55822,23.82954,24.21846,24.52842,24.86316,25.20252,25.5318,25.84344,26.45916,26.90352,27.26136,27.5688,28.12404,28.42476,,,,
G_EXTRA_2,48.598,48.088,46.714,45.798,46.087,46.519,46.853,47.167,48.104,48.854,49.484,50.051,50.938,51.798,53.532,54.776,55.852,56.799,57.627,58.338,59.446,60.219,60.994,61.79,62.559,63.266,65.06,66.278,67.18,67.877,69.432,70.147,,,,
G_EXTRA_3,8.231,8.124,7.879,7.721,7.778,7.864,7.938,8.007,8.173,8.301,8.406,8.503,8.654,8.799,9.094,9.305,9.487,9.647,9.787,9.908,10.095,10.227,10.358,10.493,10.623,10.744,11.049,11.254,11.408,11.526,11.791,11.912,,,,
G_EXTRA_4,34.284,33.824,32.782,32.112,32.362,32.748,33.076,33.388,34.121,34.682,35.155,35.58,36.23,36.857,38.126,39.035,39.818,40.507,41.11,41.623,42.427,42.983,43.535,44.103,44.649,45.15,46.448,47.322,47.966,48.458,49.574,50.081,,,,
G_EXTRA_5,24.769,24.437,23.684,23.199,23.38,23.66,23.897,24.122,24.651,25.058,25.398,25.706,26.176,26.629,27.545,28.201,28.769,29.266,29.7,30.072,30.652,31.055,31.453,31.863,32.257,32.62,33.558,34.19,34.654,35.009,35.816,36.183,,,,
G_EXTRA_6,7.781,7.663,7.396,7.23,7.309,7.422,7.52,7.615,7.823,7.985,8.126,8.247,8.421,8.585,8.92,9.158,9.363,9.54,9.695,9.825,10.031,10.168,10.3,10.434,10.561,10.677,11.002,11.217,11.368,11.476,11.75,11.864,,,,
G_EXTRA_7,18.595,18.312,17.676,17.28,17.464,17.737,17.973,18.202,18.699,19.086,19.419,19.711,20.123,20.52,21.319,21.887,22.377,22.802,23.171,23.482,23.975,24.302,24.617,24.937,25.243,25.518,26.294,26.807,27.171,27.431,28.082,28.357,,,,
G_EXTRA_8,16.494,16.249,15.699,15.354,15.508,15.739,15.938,16.129,16.55,16.878,17.159,17.406,17.762,18.101,18.79,19.28,19.701,20.07,20.39,20.658,21.084,21.372,21.647,21.927,22.199,22.44,23.117,23.564,23.884,24.116,24.686,24.928,,,,
G_EXTRA_9,29.304,28.867,27.889,27.277,27.551,27.96,28.313,28.654,29.402,29.985,30.485,30.924,31.555,32.159,33.383,34.252,35.002,35.655,36.223,36.702,37.459,37.967,38.458,38.958,39.437,39.869,41.069,41.866,42.433,42.844,43.856,44.288,,,,
GALA,33.454,33.276,32.688,32.36,32.677,33.115,33.573,34.074,34.938,35.751,36.526,37.293,38.273,39.177,40.432,41.347,42.11,42.756,43.327,43.851,44.585,45.179,45.82,46.456,47.074,47.655,48.771,49.577,50.229,50.784,51.774,52.31,,,,
GIFF,54.044,53.176,51.41,50.529,51.551,53,54.461,55.993,58.363,60.406,62.317,64.081,66.176,68.111,71.146,73.308,75.116,76.639,77.947,79.081,80.776,81.974,83.133,84.265,85.345,86.307,88.796,90.451,91.629,92.473,94.503,95.352,,,,
GLEF_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
GLLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
GLLU,16.938,16.766,16.412,16.205,16.352,16.569,16.801,17.041,17.426,17.754,18.06,18.365,18.778,19.163,19.737,20.155,20.509,20.813,21.08,21.327,21.677,21.954,22.257,22.561,22.857,23.137,23.685,24.082,24.402,24.675,25.169,25.438,,,,
GLNI,20.278,19.999,19.393,19.036,19.259,19.586,19.899,20.215,20.792,21.263,21.687,22.078,22.6,23.09,23.95,24.565,25.09,25.541,25.934,26.275,26.79,27.157,27.521,27.888,28.239,28.561,29.365,29.907,30.308,30.612,31.295,31.602,,,,
GLRO,31.507,31.083,30.263,29.885,30.45,31.249,32.097,32.999,34.294,35.439,36.534,37.573,38.806,39.939,41.547,42.704,43.666,44.467,45.16,45.781,46.673,47.348,48.03,48.698,49.34,49.922,51.222,52.118,52.792,53.314,54.405,54.915,,,,
GORG,27.709,27.348,26.616,26.227,26.605,27.152,27.716,28.307,29.226,30.017,30.755,31.458,32.335,33.148,34.385,35.274,36.02,36.651,37.202,37.691,38.404,38.937,39.48,40.019,40.538,41.013,42.09,42.834,43.396,43.839,44.756,45.193,,,,
