Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,87.102,83.330,75.891,71.336,67.855,65.996,64.252,62.669,61.090,59.762,58.673,57.687,57.251,56.831,56.324,55.919,55.498,55.001,54.413,53.717,53.216,52.464,51.747,51.212,50.856,50.473,50.756,50.418,50.163,50.365,50.464,50.221
ABNE_P,16.817,16.088,14.652,13.773,13.101,12.742,12.405,12.099,11.794,11.538,11.328,11.137,11.053,10.972,10.874,10.796,10.715,10.619,10.505,10.371,10.274,10.129,9.991,9.887,9.819,9.745,9.799,9.734,9.685,9.724,9.743,9.696
ABTH_1,118.630,113.493,103.362,97.157,92.417,89.884,87.510,85.353,83.202,81.395,79.911,78.568,77.975,77.402,76.711,76.160,75.586,74.909,74.109,73.162,72.479,71.454,70.478,69.749,69.264,68.743,69.128,68.668,68.321,68.596,68.731,68.399
ACTL_2;CBNK_H;GREE_H;PERI_H,41.400,39.607,36.071,33.906,32.251,31.368,30.538,29.786,29.036,28.405,27.887,27.419,27.212,27.011,26.770,26.578,26.378,26.142,25.863,25.533,25.293,24.936,24.594,24.341,24.172,23.989,24.124,23.963,23.843,23.939,23.986,23.869
ALNE_P,10.351,9.903,9.019,8.477,8.064,7.843,7.636,7.447,7.260,7.102,6.973,6.855,6.804,6.754,6.693,6.645,6.595,6.536,6.466,6.384,6.324,6.235,6.150,6.086,6.044,5.998,6.032,5.992,5.961,5.985,5.997,5.968
ALVE1,78.119,74.736,68.065,63.979,60.858,59.190,57.626,56.206,54.790,53.599,52.622,51.738,51.347,50.970,50.515,50.152,49.774,49.329,48.801,48.178,47.728,47.053,46.411,45.930,45.611,45.268,45.522,45.218,44.990,45.171,45.260,45.042
AMEM_1,26.906,25.741,23.443,22.036,20.961,20.386,19.848,19.358,18.871,18.461,18.124,17.820,17.685,17.555,17.399,17.274,17.143,16.990,16.808,16.593,16.439,16.206,15.985,15.819,15.709,15.591,15.679,15.574,15.496,15.558,15.589,15.513
ARBR_P,10.298,9.852,8.972,8.434,8.022,7.803,7.596,7.409,7.222,7.066,6.937,6.820,6.769,6.719,6.659,6.611,6.561,6.503,6.433,6.351,6.292,6.203,6.118,6.055,6.013,5.967,6.001,5.961,5.931,5.955,5.966,5.937
ARDK_P;CLAC_P,1.112,1.064,0.969,0.910,0.866,0.842,0.820,0.800,0.780,0.763,0.749,0.736,0.731,0.725,0.719,0.714,0.708,0.702,0.694,0.686,0.679,0.670,0.660,0.654,0.649,0.644,0.648,0.643,0.640,0.643,0.644,0.641
ARMO_P,13.462,12.879,11.729,11.025,10.487,10.200,9.930,9.686,9.441,9.236,9.068,8.916,8.848,8.783,8.705,8.642,8.577,8.500,8.410,8.302,8.225,8.108,7.998,7.915,7.860,7.801,7.844,7.792,7.753,7.784,7.799,7.762
AXMI1,67.086,64.181,58.452,54.943,52.262,50.830,49.487,48.267,47.051,46.029,45.190,44.430,44.095,43.771,43.381,43.069,42.744,42.362,41.909,41.373,40.987,40.408,39.856,39.443,39.169,38.875,39.092,38.832,38.636,38.792,38.868,38.680
AYRR,13.387,12.807,11.664,10.964,10.429,10.143,9.875,9.632,9.389,9.185,9.018,8.866,8.799,8.735,8.657,8.595,8.530,8.453,8.363,8.256,8.179,8.063,7.953,7.871,7.816,7.758,7.801,7.749,7.710,7.741,7.756,7.719
BAGA,13.151,12.581,11.458,10.770,10.245,9.964,9.701,9.462,9.223,9.023,8.859,8.710,8.644,8.580,8.504,8.443,8.379,8.304,8.215,8.110,8.035,7.921,7.813,7.732,7.678,7.621,7.663,7.612,7.574,7.604,7.619,7.582
BAIN,8.794,8.413,7.662,7.202,6.850,6.663,6.487,6.327,6.167,6.033,5.923,5.824,5.780,5.737,5.686,5.645,5.603,5.553,5.493,5.423,5.373,5.297,5.224,5.170,5.134,5.096,5.124,5.090,5.064,5.085,5.095,5.070
