Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
HAWI,0.012,0.014,0.017,0.020,0.024,0.028,0.033,0.039,0.046,0.053,0.067,0.075,0.086,0.097,0.115,0.135,0.158,0.185,0.216,0.250,0.290,0.335,0.386,0.445,0.512,0.585,0.665,0.753,0.847,0.950,1.063,1.226
HAWP_6,0.083,0.102,0.124,0.148,0.176,0.207,0.237,0.281,0.332,0.386,0.483,0.547,0.622,0.707,0.834,0.978,1.149,1.344,1.566,1.818,2.106,2.434,2.806,3.233,3.718,4.250,4.831,5.464,6.151,6.898,7.720,8.904
HELE,0.013,0.016,0.019,0.023,0.027,0.032,0.037,0.043,0.051,0.059,0.074,0.084,0.096,0.109,0.129,0.151,0.177,0.207,0.242,0.280,0.325,0.375,0.433,0.499,0.573,0.656,0.745,0.843,0.949,1.064,1.191,1.373
HEYS_1;HEYS1;ORMO,0.061,0.075,0.091,0.109,0.130,0.152,0.175,0.208,0.246,0.286,0.357,0.405,0.460,0.523,0.617,0.723,0.850,0.995,1.158,1.345,1.557,1.800,2.075,2.391,2.750,3.145,3.574,4.042,4.550,5.103,5.710,6.587
HUER,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.010,0.011,0.014,0.016,0.019,0.021,0.025,0.029,0.034,0.040,0.047,0.054,0.063,0.072,0.083,0.096,0.111,0.126,0.144,0.163,0.183,0.205,0.230,0.265
HURS_1,0.187,0.231,0.280,0.335,0.398,0.467,0.535,0.636,0.750,0.872,1.092,1.237,1.406,1.599,1.884,2.210,2.597,3.039,3.541,4.110,4.760,5.501,6.343,7.308,8.405,9.609,10.922,12.352,13.906,15.594,17.452,20.130
IMPK_1,0.006,0.007,0.009,0.011,0.013,0.015,0.017,0.020,0.024,0.027,0.034,0.039,0.044,0.050,0.059,0.070,0.082,0.096,0.111,0.129,0.150,0.173,0.200,0.230,0.265,0.302,0.344,0.389,0.438,0.491,0.549,0.634
INDQ1,0.257,0.318,0.385,0.461,0.548,0.643,0.737,0.876,1.033,1.201,1.503,1.703,1.936,2.201,2.594,3.043,3.575,4.184,4.875,5.659,6.553,7.574,8.732,10.061,11.571,13.229,15.037,17.006,19.146,21.468,24.027,27.714
INKE,0.031,0.038,0.046,0.055,0.065,0.076,0.087,0.104,0.122,0.142,0.178,0.202,0.229,0.261,0.307,0.361,0.424,0.496,0.578,0.671,0.777,0.898,1.035,1.192,1.371,1.568,1.782,2.016,2.269,2.544,2.848,3.285
INNE_P,0.043,0.051,0.062,0.075,0.089,0.104,0.120,0.142,0.167,0.195,0.244,0.276,0.314,0.357,0.421,0.493,0.580,0.679,0.791,0.918,1.063,1.228,1.416,1.632,1.876,2.145,2.439,2.758,3.105,3.481,3.896,4.494
IROA1,0.357,0.440,0.534,0.639,0.760,0.892,1.022,1.215,1.433,1.665,2.085,2.363,2.686,3.053,3.599,4.221,4.960,5.804,6.762,7.849,9.090,10.506,12.113,13.956,16.051,18.350,20.859,23.590,26.558,29.780,33.329,38.443
IRONB1,0.125,0.155,0.187,0.224,0.267,0.313,0.359,0.427,0.503,0.585,0.732,0.829,0.943,1.072,1.263,1.481,1.741,2.037,2.373,2.755,3.191,3.688,4.252,4.898,5.634,6.441,7.321,8.280,9.322,10.452,11.698,13.493
IVER_1;IVER_6,0.325,0.401,0.487,0.583,0.693,0.814,0.933,1.109,1.306,1.519,1.902,2.155,2.449,2.784,3.282,3.849,4.523,5.294,6.167,7.158,8.290,9.582,11.047,12.728,14.638,16.736,19.023,21.514,24.220,27.159,30.397,35.060
JOHN,0.024,0.029,0.036,0.043,0.051,0.060,0.068,0.081,0.096,0.111,0.139,0.158,0.180,0.204,0.241,0.282,0.332,0.388,0.452,0.525,0.608,0.702,0.810,0.933,1.073,1.227,1.394,1.577,1.775,1.991,2.228,2.570
