Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LYND_P,0.016,0.017,0.018,0.019,0.020,0.022,0.024,0.026,0.029,0.032,0.036,0.039,0.041,0.044,0.047,0.050,0.054,0.058,0.062,0.066,0.070,0.075,0.080,0.085,0.091,0.096,0.102,0.107,0.112,0.118,0.124,0.133
MACC_3,0.056,0.060,0.064,0.068,0.073,0.080,0.086,0.096,0.105,0.115,0.132,0.141,0.150,0.159,0.171,0.183,0.196,0.210,0.224,0.239,0.256,0.273,0.291,0.311,0.332,0.350,0.370,0.389,0.409,0.429,0.450,0.484
MACD_P,0.009,0.009,0.010,0.010,0.011,0.012,0.013,0.015,0.016,0.018,0.020,0.022,0.023,0.024,0.026,0.028,0.030,0.032,0.034,0.037,0.039,0.042,0.045,0.048,0.051,0.054,0.057,0.060,0.063,0.066,0.069,0.074
MAGA_6,0.029,0.031,0.033,0.035,0.037,0.041,0.044,0.049,0.054,0.059,0.067,0.072,0.076,0.081,0.087,0.093,0.100,0.106,0.114,0.122,0.130,0.139,0.148,0.158,0.168,0.178,0.188,0.198,0.208,0.218,0.228,0.246
MANN_1,0.343,0.367,0.389,0.414,0.442,0.489,0.524,0.582,0.640,0.700,0.804,0.856,0.911,0.969,1.039,1.113,1.191,1.273,1.361,1.454,1.553,1.658,1.770,1.889,2.015,2.129,2.246,2.364,2.485,2.608,2.734,2.943
MAYB,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.010,0.011,0.012,0.014,0.015,0.016,0.017,0.018,0.019,0.021,0.022,0.023,0.025,0.027,0.029,0.030,0.033,0.035,0.037,0.039,0.041,0.043,0.045,0.047,0.051
MELK_1,0.239,0.256,0.271,0.289,0.308,0.341,0.365,0.405,0.446,0.488,0.561,0.597,0.635,0.675,0.724,0.775,0.830,0.887,0.949,1.013,1.082,1.155,1.233,1.316,1.404,1.484,1.565,1.648,1.732,1.817,1.905,2.051
MILC_P,0.028,0.029,0.031,0.033,0.035,0.039,0.042,0.047,0.051,0.056,0.064,0.068,0.073,0.077,0.083,0.089,0.095,0.102,0.109,0.116,0.124,0.133,0.142,0.151,0.161,0.170,0.180,0.189,0.199,0.209,0.219,0.235
MILH_1,0.088,0.095,0.101,0.107,0.114,0.126,0.135,0.150,0.165,0.181,0.208,0.221,0.235,0.250,0.268,0.287,0.308,0.329,0.352,0.376,0.401,0.428,0.457,0.488,0.520,0.550,0.580,0.611,0.642,0.674,0.706,0.760
MITY_1,0.172,0.185,0.196,0.208,0.222,0.246,0.264,0.293,0.322,0.352,0.404,0.431,0.458,0.487,0.522,0.559,0.599,0.640,0.684,0.731,0.781,0.833,0.890,0.949,1.013,1.071,1.129,1.189,1.249,1.311,1.374,1.480
