Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.337,2.009,2.345,2.924,7.484,11.538,15.254,18.848,24.897,29.850,34.253,38.022,42.109,45.963,53.878,59.305,63.935,67.914,71.250,74.006,78.310,81.032,83.164,84.969,86.473,87.487,93.020,96.046,97.401,97.423,100.693,100.086
ABNE_P,0.262,0.394,0.460,0.574,1.468,2.264,2.993,3.698,4.885,5.856,6.720,7.459,8.261,9.017,10.570,11.635,12.543,13.324,13.978,14.519,15.363,15.897,16.316,16.670,16.965,17.164,18.249,18.843,19.109,19.113,19.755,19.636
ABTH_1,1.821,2.737,3.194,3.983,10.192,15.715,20.775,25.670,33.909,40.655,46.652,51.785,57.351,62.601,73.380,80.772,87.078,92.497,97.040,100.794,106.656,110.364,113.266,115.726,117.773,119.154,126.690,130.812,132.658,132.687,137.141,136.315
ACTL_2;CBNK_H;GREE_H;PERI_H,0.632,0.951,1.109,1.383,3.540,5.458,7.216,8.916,11.778,14.120,16.202,17.986,19.918,21.742,25.486,28.052,30.244,32.125,33.702,35.006,37.042,38.330,39.338,40.193,40.904,41.383,43.999,45.432,46.073,46.083,47.629,47.342
ALNE_P,0.161,0.243,0.283,0.353,0.904,1.393,1.842,2.276,3.007,3.605,4.136,4.591,5.085,5.550,6.506,7.161,7.721,8.201,8.604,8.937,9.457,9.785,10.043,10.261,10.442,10.565,11.233,11.598,11.762,11.764,12.159,12.086
ALVE1,1.199,1.802,2.103,2.623,6.712,10.348,13.681,16.904,22.330,26.772,30.720,34.101,37.766,41.223,48.321,53.189,57.342,60.911,63.902,66.374,70.234,72.676,74.587,76.207,77.555,78.464,83.427,86.141,87.357,87.376,90.309,89.765
AMEM_1,0.413,0.621,0.724,0.903,2.312,3.564,4.712,5.822,7.691,9.221,10.581,11.745,13.008,14.198,16.643,18.319,19.750,20.979,22.009,22.861,24.190,25.031,25.689,26.247,26.712,27.025,28.734,29.669,30.088,30.094,31.104,30.917
ARBR_P,0.161,0.241,0.282,0.351,0.899,1.386,1.833,2.264,2.991,3.586,4.115,4.568,5.059,5.522,6.473,7.125,7.681,8.159,8.560,8.891,9.408,9.735,9.991,10.208,10.389,10.510,11.175,11.539,11.701,11.704,12.097,12.024
ARDK_P;CLAC_P,0.017,0.026,0.030,0.038,0.097,0.150,0.198,0.244,0.323,0.387,0.444,0.493,0.546,0.596,0.699,0.769,0.829,0.881,0.924,0.960,1.016,1.051,1.079,1.102,1.121,1.135,1.206,1.246,1.263,1.263,1.306,1.298
ARMO_P,0.210,0.316,0.369,0.460,1.177,1.815,2.400,2.965,3.917,4.696,5.389,5.982,6.624,7.231,8.476,9.330,10.058,10.684,11.209,11.642,12.319,12.748,13.083,13.367,13.604,13.763,14.633,15.110,15.323,15.326,15.841,15.745
