Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,71.241,67.996,67.268,66.118,65.240,64.222,63.200,62.181,61.183,60.176,59.158,58.468,58.145,57.871,57.645,57.477,57.369,57.353,57.437,57.572,57.786,58.161,58.766,59.522,60.357,61.303,62.235,63.130,63.850,64.453,65.061,65.590
BISW_1,126.996,121.211,119.913,117.863,116.299,114.483,112.662,110.846,109.066,107.270,105.455,104.226,103.651,103.162,102.759,102.459,102.268,102.239,102.388,102.629,103.011,103.678,104.758,106.106,107.593,109.279,110.941,112.536,113.821,114.895,115.979,116.921
BLYTB1,48.022,45.835,45.344,44.569,43.977,43.290,42.602,41.915,41.242,40.563,39.877,39.412,39.195,39.010,38.857,38.744,38.671,38.661,38.717,38.808,38.953,39.205,39.613,40.123,40.685,41.323,41.951,42.554,43.040,43.446,43.856,44.213
BLYTH132,20.778,19.832,19.619,19.284,19.028,18.731,18.433,18.136,17.845,17.551,17.254,17.053,16.959,16.879,16.813,16.764,16.732,16.728,16.752,16.791,16.854,16.963,17.140,17.360,17.604,17.879,18.151,18.412,18.622,18.798,18.976,19.130
BOAG_P,6.940,6.632,6.563,6.455,6.371,6.273,6.175,6.078,5.982,5.886,5.789,5.723,5.693,5.668,5.647,5.633,5.623,5.624,5.633,5.648,5.670,5.708,5.768,5.843,5.926,6.019,6.112,6.200,6.272,6.332,6.394,6.447
BOLN_1,258.146,246.386,243.748,239.581,236.402,232.710,229.009,225.317,221.699,218.050,214.360,211.860,210.692,209.698,208.878,208.270,207.880,207.823,208.125,208.615,209.392,210.747,212.942,215.682,218.706,222.133,225.511,228.753,231.365,233.548,235.751,237.667
BONN,16.017,15.308,15.148,14.898,14.704,14.479,14.253,14.028,13.808,13.586,13.361,13.209,13.140,13.082,13.034,13.001,12.979,12.980,13.001,13.035,13.087,13.175,13.314,13.487,13.677,13.893,14.106,14.311,14.477,14.616,14.757,14.881
BOTW_1,44.554,42.524,42.069,41.350,40.801,40.164,39.525,38.888,38.263,37.633,36.997,36.565,36.364,36.192,36.051,35.946,35.878,35.868,35.920,36.005,36.139,36.373,36.752,37.225,37.747,38.338,38.921,39.481,39.931,40.308,40.689,41.019
BRAC_P,12.596,12.038,11.913,11.716,11.564,11.387,11.209,11.032,10.859,10.684,10.508,10.388,10.334,10.288,10.251,10.224,10.207,10.208,10.225,10.251,10.292,10.361,10.470,10.606,10.756,10.926,11.093,11.254,11.385,11.494,11.605,11.703
BRAI_1,76.691,73.197,72.413,71.175,70.231,69.134,68.034,66.938,65.863,64.779,63.683,62.940,62.593,62.297,62.054,61.873,61.757,61.740,61.830,61.976,62.207,62.609,63.261,64.075,64.974,65.992,66.995,67.959,68.734,69.383,70.037,70.607
