Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,0.000,0.000,0.824,2.273,4.287,6.977,10.272,13.987,17.763,21.562,25.540,29.468,33.311,36.670,39.346,41.289,42.735,43.757,44.611,45.506,46.420,47.411,48.478,49.360,50.205,50.941,51.583,52.140,52.635,53.075,53.448,53.720
BISW_1,1.472,2.422,4.680,8.072,12.282,17.754,24.419,32.075,40.280,48.894,57.914,66.822,75.536,83.153,89.220,93.627,96.904,99.224,101.160,103.188,105.262,107.510,109.928,111.928,113.844,115.513,116.970,118.232,119.354,120.353,121.198,121.814
BLYTB1,0.822,1.353,1.993,2.796,3.630,4.660,5.899,7.376,9.114,11.063,13.103,15.119,17.090,18.814,20.186,21.183,21.925,22.450,22.888,23.347,23.816,24.325,24.872,25.324,25.758,26.135,26.465,26.751,27.004,27.230,27.422,27.561
BLYTH132,0.384,0.632,0.881,1.169,1.438,1.757,2.138,2.605,3.189,3.871,4.585,5.291,5.980,6.583,7.064,7.413,7.672,7.856,8.009,8.170,8.334,8.512,8.703,8.862,9.013,9.145,9.261,9.361,9.450,9.529,9.596,9.644
BOAG_P,0.000,0.000,0.035,0.096,0.181,0.294,0.433,0.590,0.749,0.909,1.077,1.242,1.404,1.546,1.658,1.740,1.801,1.844,1.880,1.918,1.957,1.998,2.043,2.081,2.116,2.147,2.174,2.198,2.219,2.237,2.253,2.264
BOLN_1,6.697,11.021,15.288,20.155,24.630,29.919,36.214,43.972,53.770,65.270,77.310,89.202,100.834,111.002,119.101,124.984,129.359,132.456,135.040,137.748,140.516,143.516,146.745,149.415,151.972,154.200,156.145,157.830,159.328,160.662,161.789,162.612
BONN,0.000,0.000,0.124,0.343,0.647,1.053,1.551,2.112,2.682,3.255,3.856,4.449,5.029,5.536,5.940,6.234,6.452,6.607,6.735,6.870,7.008,7.158,7.319,7.452,7.580,7.691,7.788,7.872,7.947,8.013,8.070,8.111
BOTW_1,0.000,0.000,0.541,1.491,2.812,4.576,6.738,9.175,11.652,14.144,16.753,19.330,21.851,24.054,25.809,27.084,28.032,28.703,29.263,29.850,30.450,31.100,31.800,32.378,32.932,33.415,33.837,34.202,34.526,34.815,35.060,35.238
BRAC_P,0.020,0.020,0.157,0.384,0.694,1.107,1.612,2.183,2.768,3.360,3.980,4.592,5.191,5.715,6.131,6.434,6.659,6.819,6.952,7.091,7.234,7.388,7.555,7.692,7.824,7.938,8.038,8.125,8.202,8.271,8.329,8.371
BRAI_1,0.656,1.079,2.356,4.342,6.879,10.200,14.251,18.881,23.776,28.861,34.185,39.443,44.586,49.082,52.663,55.265,57.200,58.569,59.711,60.909,62.133,63.459,64.887,66.068,67.198,68.184,69.043,69.788,70.451,71.041,71.539,71.903
BRAP,0.000,0.000,0.086,0.236,0.446,0.726,1.068,1.455,1.847,2.242,2.656,3.064,3.464,3.813,4.092,4.294,4.444,4.550,4.639,4.732,4.827,4.930,5.041,5.133,5.221,5.297,5.364,5.422,5.474,5.519,5.558,5.586
BRAW_1,2.669,4.392,6.278,8.545,10.783,13.499,16.752,20.683,25.441,30.881,36.578,42.205,47.708,52.519,56.351,59.135,61.205,62.670,63.893,65.174,66.483,67.903,69.431,70.694,71.904,72.958,73.878,74.675,75.384,76.015,76.548,76.938
BRED_1,2.188,3.601,4.969,6.514,7.913,9.556,11.510,13.928,17.011,20.649,24.458,28.220,31.900,35.117,37.679,39.540,40.924,41.904,42.721,43.578,44.454,45.403,46.424,47.269,48.078,48.783,49.398,49.931,50.405,50.827,51.184,51.444
BRFO_1;CLT03,5.150,8.475,11.907,15.916,19.726,24.287,29.733,36.380,44.608,54.148,64.137,74.002,83.652,92.088,98.807,103.688,107.317,109.886,112.030,114.276,116.573,119.062,121.741,123.956,126.077,127.926,129.539,130.937,132.179,133.286,134.221,134.904
