Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,1.637,2.120,2.338,2.723,3.102,3.517,4.324,5.131,6.150,7.066,8.046,8.954,9.785,11.077,12.190,13.173,14.746,16.116,17.976,19.220,20.410,21.405,23.374,27.587,29.940,31.139,33.362,36.718,39.366,40.434,40.716,42.080
BISW_1,2.599,3.367,3.713,4.324,4.926,5.586,6.867,8.149,9.767,11.222,12.778,14.220,15.540,17.592,19.359,20.920,23.420,25.594,28.548,30.525,32.414,33.994,37.122,43.812,47.550,49.453,52.984,58.313,62.519,64.216,64.663,66.830
BLYTB1,1.244,1.611,1.777,2.069,2.357,2.673,3.286,3.899,4.674,5.370,6.114,6.805,7.436,8.418,9.264,10.011,11.207,12.247,13.661,14.607,15.511,16.267,17.763,20.965,22.754,23.664,25.354,27.904,29.917,30.728,30.942,31.979
BLYTH132,0.386,0.500,0.551,0.642,0.731,0.829,1.019,1.210,1.450,1.666,1.897,2.111,2.307,2.611,2.873,3.105,3.476,3.799,4.237,4.531,4.811,5.046,5.510,6.503,7.058,7.340,7.864,8.655,9.280,9.532,9.598,9.920
BOAG_P,0.089,0.116,0.127,0.148,0.169,0.192,0.236,0.280,0.335,0.385,0.438,0.488,0.533,0.603,0.664,0.718,0.803,0.878,0.979,1.047,1.112,1.166,1.273,1.503,1.631,1.696,1.818,2.000,2.145,2.203,2.218,2.293
BOLN_1,5.153,6.676,7.362,8.574,9.766,11.075,13.614,16.157,19.365,22.249,25.334,28.194,30.810,34.878,38.382,41.477,46.433,50.745,56.601,60.520,64.265,67.398,73.599,86.864,94.275,98.048,105.049,115.614,123.953,127.317,128.203,132.499
BONN,0.341,0.442,0.487,0.567,0.646,0.733,0.901,1.069,1.282,1.472,1.677,1.866,2.039,2.308,2.540,2.745,3.073,3.358,3.746,4.005,4.253,4.460,4.871,5.749,6.239,6.489,6.952,7.651,8.203,8.426,8.484,8.769
BOTW_1,1.006,1.303,1.437,1.673,1.906,2.161,2.657,3.153,3.779,4.342,4.944,5.502,6.013,6.807,7.491,8.095,9.062,9.903,11.046,11.811,12.542,13.153,14.364,16.952,18.399,19.135,20.501,22.563,24.191,24.847,25.020,25.858
BRAC_P,0.209,0.270,0.298,0.347,0.395,0.448,0.551,0.654,0.784,0.901,1.026,1.141,1.247,1.412,1.554,1.679,1.880,2.054,2.291,2.450,2.602,2.729,2.980,3.517,3.817,3.969,4.253,4.681,5.018,5.154,5.190,5.364
BRAI_1,1.509,1.955,2.156,2.511,2.860,3.243,3.987,4.731,5.671,6.516,7.419,8.257,9.023,10.214,11.240,12.147,13.598,14.861,16.575,17.723,18.820,19.737,21.553,25.438,27.608,28.713,30.764,33.858,36.300,37.285,37.544,38.802
BRAP,0.151,0.195,0.215,0.251,0.285,0.324,0.398,0.472,0.566,0.650,0.741,0.824,0.901,1.020,1.122,1.212,1.357,1.483,1.655,1.769,1.879,1.970,2.151,2.539,2.756,2.866,3.071,3.380,3.623,3.722,3.748,3.873
BRAW_1,2.343,3.035,3.348,3.898,4.441,5.036,6.190,7.346,8.805,10.116,11.519,12.819,14.009,15.859,17.452,18.859,21.112,23.073,25.735,27.517,29.220,30.645,33.464,39.496,42.865,44.581,47.764,52.568,56.360,57.889,58.292,60.245
BRED_1,1.808,2.342,2.583,3.008,3.427,3.886,4.777,5.669,6.795,7.807,8.889,9.893,10.811,12.238,13.467,14.554,16.292,17.805,19.860,21.235,22.549,23.649,25.825,30.479,33.079,34.403,36.860,40.567,43.493,44.673,44.984,46.492
BRFO_1;CLT03,4.322,5.600,6.175,7.192,8.192,9.290,11.420,13.552,16.243,18.662,21.250,23.649,25.843,29.256,32.194,34.792,38.948,42.564,47.476,50.764,53.906,56.534,61.735,72.861,79.078,82.243,88.115,96.977,103.972,106.793,107.537,111.141
BRID_P,0.134,0.173,0.191,0.222,0.253,0.287,0.353,0.419,0.502,0.577,0.657,0.731,0.799,0.905,0.996,1.076,1.204,1.316,1.468,1.570,1.667,1.748,1.909,2.253,2.445,2.543,2.725,2.999,3.215,3.302,3.325,3.437
