Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,1.337,2.025,2.915,5.810,8.262,11.345,14.420,17.438,23.783,29.120,32.170,36.034,39.326,42.320,44.881,46.739,48.535,49.971,51.040,51.763,55.582,60.899,64.355,66.424,69.310,70.069,71.742,72.450,73.558,74.134,74.132,74.517
ABNE_P,0.262,0.397,0.572,1.140,1.621,2.225,2.829,3.421,4.665,5.713,6.311,7.069,7.714,8.302,8.804,9.169,9.521,9.803,10.012,10.154,10.903,11.946,12.624,13.030,13.597,13.745,14.074,14.212,14.430,14.543,14.542,14.618
ABTH_1,1.822,2.758,3.970,7.914,11.253,15.451,19.639,23.750,32.392,39.661,43.815,49.078,53.560,57.638,61.126,63.657,66.103,68.059,69.515,70.500,75.701,82.942,87.650,90.467,94.399,95.432,97.711,98.675,100.184,100.969,100.966,101.490
ACTL_2;CBNK_H;GREE_H;PERI_H,0.631,0.957,1.378,2.746,3.905,5.363,6.815,8.241,11.240,13.762,15.203,17.031,18.586,20.002,21.211,22.089,22.938,23.616,24.123,24.463,26.269,28.782,30.416,31.393,32.756,33.116,33.906,34.240,34.764,35.037,35.035,35.217
ALNE_P,0.161,0.244,0.352,0.702,0.998,1.370,1.741,2.106,2.872,3.516,3.884,4.351,4.748,5.110,5.419,5.644,5.860,6.034,6.163,6.250,6.711,7.353,7.771,8.020,8.369,8.461,8.663,8.748,8.882,8.951,8.951,8.998
ALVE1,1.199,1.816,2.614,5.211,7.410,10.175,12.933,15.640,21.330,26.117,28.852,32.318,35.270,37.956,40.252,41.919,43.529,44.818,45.776,46.425,49.850,54.618,57.718,59.574,62.163,62.843,64.344,64.978,65.972,66.489,66.487,66.832
AMEM_1,0.413,0.625,0.900,1.795,2.552,3.504,4.454,5.387,7.347,8.995,9.937,11.131,12.148,13.073,13.864,14.438,14.992,15.436,15.766,15.990,17.169,18.812,19.879,20.518,21.410,21.645,22.161,22.380,22.722,22.900,22.900,23.018
ARBR_P,0.161,0.243,0.350,0.698,0.992,1.363,1.732,2.095,2.857,3.498,3.864,4.329,4.724,5.084,5.391,5.615,5.830,6.003,6.131,6.218,6.677,7.315,7.731,7.979,8.326,8.417,8.618,8.703,8.836,8.905,8.905,8.951
ARDK_P;CLAC_P,0.017,0.026,0.038,0.075,0.107,0.147,0.187,0.226,0.308,0.378,0.417,0.467,0.510,0.549,0.582,0.606,0.629,0.648,0.662,0.671,0.721,0.790,0.835,0.861,0.899,0.909,0.930,0.939,0.954,0.961,0.961,0.966
ARMO_P,0.210,0.319,0.458,0.914,1.300,1.785,2.268,2.743,3.741,4.581,5.060,5.668,6.186,6.657,7.060,7.352,7.635,7.861,8.029,8.142,8.743,9.579,10.123,10.449,10.903,11.022,11.285,11.396,11.571,11.661,11.661,11.722
AXMI1,1.030,1.560,2.245,4.475,6.364,8.738,11.106,13.431,18.318,22.429,24.777,27.754,30.289,32.595,34.567,35.998,37.381,38.488,39.311,39.868,42.809,46.904,49.567,51.160,53.383,53.968,55.256,55.801,56.655,57.099,57.097,57.393
AYRR,0.209,0.316,0.455,0.907,1.290,1.772,2.252,2.723,3.714,4.548,5.024,5.627,6.141,6.609,7.009,7.299,7.579,7.804,7.971,8.083,8.680,9.510,10.050,10.373,10.824,10.942,11.204,11.314,11.487,11.577,11.577,11.637
BAGA,0.205,0.311,0.447,0.891,1.267,1.740,2.212,2.675,3.648,4.467,4.935,5.528,6.033,6.492,6.885,7.170,7.445,7.666,7.830,7.941,8.527,9.342,9.872,10.190,10.633,10.749,11.006,11.114,11.284,11.373,11.372,11.431
BAIN,0.149,0.225,0.324,0.645,0.918,1.260,1.602,1.937,2.642,3.235,3.573,4.003,4.368,4.701,4.985,5.192,5.391,5.551,5.670,5.750,6.174,6.765,7.149,7.378,7.699,7.783,7.969,8.048,8.171,8.235,8.235,8.277
BARKC1;BARKW3,1.944,2.942,4.235,8.443,12.006,16.486,20.954,25.340,34.560,42.316,46.748,52.362,57.146,61.497,65.217,67.918,70.528,72.614,74.168,75.219,80.768,88.494,93.517,96.523,100.717,101.820,104.252,105.279,106.890,107.728,107.725,108.283
BEAU_P;ORRI_P,0.158,0.238,0.343,0.684,0.973,1.336,1.698,2.054,2.801,3.430,3.789,4.244,4.631,4.984,5.286,5.505,5.716,5.885,6.011,6.096,6.546,7.172,7.579,7.823,8.163,8.252,8.449,8.533,8.663,8.731,8.731,8.776
BEDDT1,0.726,1.099,1.583,3.155,4.486,6.160,7.829,9.468,12.913,15.811,17.467,19.565,21.352,22.978,24.368,25.377,26.352,27.132,27.712,28.105,30.178,33.065,34.942,36.065,37.632,38.044,38.953,39.337,39.939,40.252,40.250,40.459
BEDD_1,3.106,4.702,6.769,13.494,19.188,26.347,33.488,40.498,55.233,67.629,74.711,83.686,91.329,98.283,104.230,108.546,112.716,116.052,118.534,120.213,129.082,141.430,149.457,154.261,160.965,162.728,166.613,168.257,170.830,172.169,172.164,173.056
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.224,0.339,0.488,0.972,1.383,1.899,2.413,2.919,3.981,4.874,5.384,6.031,6.582,7.083,7.512,7.823,8.123,8.364,8.543,8.664,9.303,10.193,10.771,11.117,11.601,11.728,12.008,12.126,12.312,12.408,12.408,12.472
BERW,0.082,0.124,0.178,0.355,0.505,0.693,0.881,1.065,1.453,1.779,1.966,2.202,2.403,2.586,2.742,2.856,2.965,3.053,3.118,3.163,3.396,3.721,3.932,4.058,4.235,4.281,4.383,4.427,4.494,4.529,4.529,4.553
BESW_1,1.697,2.569,3.698,7.371,10.482,14.392,18.294,22.123,30.172,36.944,40.812,45.715,49.891,53.689,56.938,59.296,61.573,63.396,64.752,65.669,70.514,77.259,81.644,84.269,87.931,88.894,91.016,91.914,93.320,94.051,94.048,94.536
BICF_1,1.130,1.710,2.462,4.908,6.978,9.582,12.179,14.729,20.088,24.596,27.171,30.436,33.215,35.744,37.907,39.477,40.993,42.207,43.109,43.720,46.946,51.436,54.356,56.103,58.541,59.182,60.595,61.193,62.129,62.616,62.614,62.938
BIRK_1,1.637,2.478,3.567,7.110,10.110,13.882,17.645,21.339,29.103,35.634,39.365,44.094,48.122,51.786,54.919,57.193,59.390,61.148,62.456,63.341,68.014,74.520,78.750,81.281,84.813,85.742,87.789,88.655,90.011,90.716,90.714,91.184
BISW_1,2.599,3.935,5.665,11.292,16.056,22.047,28.023,33.889,46.219,56.592,62.518,70.029,76.425,82.244,87.220,90.832,94.321,97.113,99.190,100.595,108.017,118.349,125.067,129.087,134.697,136.171,139.423,140.798,142.951,144.071,144.068,144.814
BLYTB1,1.244,1.883,2.711,5.403,7.683,10.550,13.410,16.217,22.117,27.080,29.916,33.510,36.571,39.355,41.737,43.465,45.134,46.470,47.464,48.137,51.688,56.632,59.847,61.770,64.455,65.160,66.716,67.374,68.405,68.941,68.939,69.296
BLYTH132,0.386,0.584,0.841,1.676,2.383,3.272,4.159,5.030,6.860,8.400,9.280,10.394,11.344,12.208,12.946,13.482,14.000,14.415,14.723,14.931,16.033,17.567,18.564,19.160,19.993,20.212,20.695,20.899,21.218,21.385,21.384,21.495
BOAG_P,0.089,0.135,0.194,0.387,0.551,0.756,0.961,1.163,1.586,1.941,2.145,2.402,2.622,2.821,2.992,3.116,3.236,3.331,3.403,3.451,3.705,4.060,4.290,4.428,4.621,4.671,4.783,4.830,4.904,4.942,4.942,4.968
BOLN_1,5.153,7.802,11.231,22.387,31.834,43.711,55.560,67.190,91.637,112.202,123.952,138.842,151.523,163.060,172.927,180.087,187.005,192.541,196.658,199.444,214.159,234.645,247.963,255.933,267.055,269.979,276.426,279.152,283.422,285.643,285.635,287.115
