Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.134,0.541,1.007,1.562,2.246,3.232,4.595,6.209,8.066,10.182,12.535,15.728,19.237,23.537,27.044,31.349,36.982,41.291,46.397,51.772,57.463,62.948,68.717,74.757,81.611,88.205,95.087,102.249,109.675,117.389,125.384
ABNE_P,0.012,0.048,0.089,0.138,0.199,0.286,0.407,0.549,0.714,0.901,1.109,1.391,1.702,2.082,2.393,2.773,3.272,3.653,4.105,4.580,5.084,5.569,6.080,6.614,7.220,7.804,8.413,9.046,9.703,10.386,11.093
ABTH_1,0.027,0.108,0.202,0.313,0.450,0.647,0.920,1.244,1.616,2.040,2.511,3.150,3.853,4.715,5.417,6.279,7.408,8.271,9.294,10.370,11.510,12.609,13.764,14.974,16.347,17.668,19.046,20.481,21.968,23.513,25.115
ACTL_2;CBNK_H;GREE_H;PERI_H,0.007,0.028,0.053,0.082,0.118,0.170,0.242,0.327,0.425,0.537,0.661,0.829,1.014,1.240,1.425,1.652,1.949,2.176,2.445,2.728,3.028,3.317,3.621,3.940,4.301,4.648,5.011,5.388,5.780,6.186,6.608
ALNE_P,0.004,0.018,0.033,0.051,0.074,0.106,0.151,0.204,0.265,0.334,0.412,0.516,0.632,0.773,0.888,1.029,1.214,1.356,1.523,1.700,1.887,2.067,2.256,2.454,2.679,2.896,3.122,3.357,3.601,3.854,4.116
ALVE1,0.115,0.466,0.868,1.347,1.936,2.786,3.961,5.352,6.953,8.777,10.805,13.557,16.583,20.290,23.312,27.023,31.879,35.593,39.995,44.628,49.534,54.262,59.235,64.442,70.350,76.035,81.967,88.140,94.542,101.192,108.083
AMEM_1,0.013,0.052,0.097,0.151,0.217,0.312,0.443,0.599,0.778,0.982,1.209,1.516,1.855,2.269,2.608,3.023,3.566,3.981,4.474,4.992,5.541,6.069,6.626,7.208,7.869,8.505,9.168,9.859,10.575,11.319,12.089
ARBR_P,0.012,0.047,0.088,0.136,0.196,0.282,0.400,0.541,0.703,0.887,1.092,1.370,1.676,2.051,2.356,2.731,3.222,3.597,4.042,4.510,5.006,5.484,5.987,6.513,7.110,7.684,8.284,8.908,9.555,10.227,10.923
ARDK_P;CLAC_P,0.000,0.002,0.003,0.005,0.007,0.010,0.014,0.020,0.025,0.032,0.039,0.049,0.060,0.074,0.085,0.099,0.116,0.130,0.146,0.163,0.181,0.198,0.216,0.235,0.257,0.277,0.299,0.321,0.345,0.369,0.394
ARMO_P,0.003,0.012,0.022,0.035,0.050,0.072,0.102,0.138,0.179,0.226,0.278,0.349,0.426,0.522,0.600,0.695,0.820,0.915,1.029,1.148,1.274,1.395,1.523,1.657,1.809,1.955,2.108,2.267,2.431,2.602,2.779
AXMI1,0.066,0.268,0.499,0.775,1.114,1.603,2.278,3.078,3.999,5.048,6.215,7.798,9.538,11.670,13.408,15.543,18.335,20.472,23.004,25.668,28.490,31.209,34.070,37.064,40.463,43.732,47.144,50.695,54.376,58.201,62.165
AYRR,0.003,0.011,0.021,0.033,0.048,0.069,0.098,0.132,0.172,0.217,0.267,0.334,0.409,0.501,0.575,0.667,0.786,0.878,0.987,1.101,1.222,1.339,1.461,1.590,1.736,1.876,2.022,2.174,2.332,2.496,2.666
BAGA,0.008,0.032,0.059,0.091,0.131,0.189,0.269,0.363,0.472,0.595,0.733,0.920,1.125,1.377,1.582,1.833,2.163,2.415,2.713,3.028,3.361,3.681,4.019,4.372,4.773,5.158,5.561,5.980,6.414,6.865,7.333
BAIN,0.002,0.009,0.017,0.027,0.039,0.055,0.079,0.107,0.138,0.175,0.215,0.270,0.330,0.404,0.464,0.538,0.634,0.708,0.796,0.888,0.986,1.080,1.179,1.282,1.400,1.513,1.631,1.754,1.882,2.014,2.151
BARKC1;BARKW3,0.026,0.104,0.193,0.300,0.431,0.621,0.883,1.193,1.549,1.956,2.408,3.021,3.695,4.521,5.195,6.022,7.104,7.932,8.912,9.945,11.038,12.092,13.200,14.360,15.677,16.943,18.265,19.641,21.067,22.549,24.085
