Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AXMI1,67.086,66.264,66.588,66.537,66.706,66.963,66.810,65.687,64.838,64.228,63.702,63.502,63.904,64.249,64.620,64.973,65.286,65.777,66.254,66.713,67.156,67.421,67.728,68.138,68.533,68.897,69.239,69.527,69.787,70.013,70.210,70.373
AYRR,13.387,13.223,13.288,13.278,13.311,13.363,13.332,13.108,12.939,12.817,12.712,12.672,12.752,12.821,12.895,12.965,13.028,13.126,13.221,13.313,13.401,13.454,13.515,13.597,13.676,13.749,13.817,13.874,13.926,13.971,14.011,14.043
BAGA,13.151,12.990,13.053,13.043,13.076,13.127,13.097,12.876,12.710,12.590,12.487,12.448,12.527,12.595,12.667,12.736,12.798,12.894,12.988,13.078,13.164,13.216,13.277,13.357,13.434,13.506,13.573,13.629,13.680,13.725,13.763,13.795
BAIN,8.794,8.686,8.728,8.722,8.744,8.777,8.757,8.610,8.499,8.419,8.350,8.324,8.376,8.422,8.470,8.516,8.557,8.622,8.684,8.745,8.803,8.837,8.878,8.931,8.983,9.031,9.076,9.113,9.148,9.177,9.203,9.224
BARKC1;BARKW3,127.292,125.732,126.346,126.249,126.570,127.057,126.768,124.636,123.026,121.867,120.871,120.490,121.253,121.909,122.611,123.281,123.875,124.807,125.713,126.583,127.423,127.927,128.509,129.287,130.035,130.727,131.376,131.923,132.416,132.844,133.219,133.528
BEAU_P;ORRI_P,10.096,9.972,10.021,10.013,10.039,10.078,10.054,9.885,9.758,9.666,9.587,9.557,9.617,9.669,9.725,9.778,9.825,9.899,9.971,10.040,10.106,10.146,10.193,10.254,10.314,10.369,10.420,10.463,10.503,10.536,10.566,10.591
BEDDT1,47.507,46.925,47.154,47.118,47.237,47.420,47.311,46.516,45.915,45.482,45.110,44.968,45.253,45.498,45.760,46.010,46.232,46.579,46.918,47.242,47.556,47.744,47.961,48.251,48.531,48.789,49.031,49.235,49.419,49.579,49.719,49.834
BEDD_1,203.201,200.712,201.692,201.537,202.049,202.828,202.365,198.962,196.391,194.542,192.951,192.344,193.562,194.607,195.730,196.799,197.747,199.234,200.681,202.069,203.411,204.215,205.145,206.385,207.582,208.686,209.721,210.595,211.382,212.066,212.664,213.157
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,14.348,14.172,14.241,14.230,14.267,14.322,14.289,14.049,13.867,13.737,13.624,13.581,13.667,13.741,13.820,13.896,13.963,14.068,14.170,14.268,14.363,14.420,14.485,14.573,14.657,14.735,14.808,14.870,14.926,14.974,15.016,15.051
BERW,5.238,5.173,5.199,5.195,5.208,5.228,5.216,5.128,5.062,5.014,4.973,4.958,4.989,5.016,5.045,5.073,5.097,5.135,5.173,5.208,5.243,5.264,5.288,5.320,5.351,5.379,5.406,5.428,5.449,5.466,5.482,5.494
BESW_1,110.502,109.149,109.682,109.597,109.876,110.300,110.047,108.197,106.799,105.793,104.929,104.598,105.260,105.829,106.440,107.021,107.536,108.345,109.132,109.887,110.616,111.054,111.559,112.234,112.885,113.485,114.048,114.523,114.951,115.323,115.648,115.916
BICF_1,73.569,72.667,73.022,72.966,73.152,73.433,73.266,72.034,71.103,70.433,69.858,69.638,70.079,70.457,70.864,71.251,71.594,72.132,72.656,73.159,73.644,73.936,74.272,74.721,75.154,75.554,75.929,76.245,76.530,76.778,76.994,77.173
BIRK_1,106.585,105.279,105.793,105.712,105.980,106.389,106.146,104.361,103.013,102.043,101.208,100.889,101.528,102.077,102.666,103.227,103.724,104.504,105.263,105.991,106.695,107.117,107.604,108.255,108.882,109.462,110.004,110.463,110.876,111.234,111.548,111.807
BISW_1,169.273,167.199,168.016,167.886,168.313,168.962,168.576,165.741,163.600,162.059,160.734,160.228,161.243,162.114,163.049,163.940,164.729,165.968,167.174,168.330,169.447,170.118,170.892,171.925,172.922,173.842,174.704,175.432,176.088,176.657,177.155,177.566
