Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BIRK_1,74.722,71.500,70.531,69.317,68.309,67.294,66.373,65.421,64.528,63.589,62.708,62.025,61.925,61.893,61.997,62.119,62.313,62.551,62.818,63.190,63.623,64.187,64.993,65.777,66.691,67.425,68.131,68.734,69.188,69.362,69.473,69.666
BISW_1,133.201,127.457,125.731,123.565,121.769,119.960,118.318,116.621,115.030,113.356,111.785,110.568,110.390,110.332,110.517,110.736,111.081,111.505,111.980,112.643,113.416,114.421,115.857,117.256,118.884,120.193,121.451,122.527,123.336,123.645,123.845,124.189
BLYTB1,50.368,48.196,47.544,46.725,46.046,45.362,44.741,44.099,43.497,42.864,42.270,41.810,41.743,41.721,41.791,41.873,42.004,42.164,42.344,42.595,42.887,43.267,43.810,44.339,44.955,45.450,45.925,46.332,46.638,46.755,46.831,46.961
BLYTH132,21.793,20.854,20.571,20.217,19.923,19.627,19.358,19.081,18.820,18.546,18.289,18.090,18.061,18.052,18.082,18.118,18.174,18.244,18.321,18.430,18.556,18.721,18.956,19.185,19.451,19.665,19.871,20.047,20.179,20.230,20.263,20.319
BOAG_P,7.227,6.916,6.822,6.705,6.607,6.509,6.420,6.328,6.241,6.151,6.065,5.999,5.990,5.987,5.997,6.008,6.027,6.050,6.076,6.112,6.154,6.208,6.286,6.362,6.451,6.522,6.590,6.648,6.692,6.709,6.720,6.738
BOLN_1,270.758,259.083,255.574,251.172,247.521,243.843,240.506,237.055,233.822,230.420,227.226,224.752,224.390,224.273,224.648,225.093,225.795,226.657,227.623,228.971,230.541,232.585,235.504,238.348,241.657,244.317,246.874,249.061,250.705,251.335,251.740,252.439
BONN,16.681,15.962,15.746,15.475,15.250,15.023,14.817,14.605,14.406,14.196,13.999,13.847,13.825,13.817,13.841,13.868,13.911,13.964,14.024,14.107,14.204,14.330,14.509,14.685,14.888,15.052,15.210,15.345,15.446,15.485,15.510,15.553
BOTW_1,46.730,44.715,44.110,43.350,42.720,42.085,41.509,40.914,40.356,39.768,39.217,38.790,38.728,38.708,38.772,38.849,38.970,39.119,39.286,39.518,39.789,40.142,40.646,41.137,41.708,42.167,42.608,42.986,43.270,43.378,43.448,43.569
BRAC_P,13.119,12.553,12.383,12.170,11.993,11.815,11.653,11.486,11.329,11.164,11.009,10.890,10.872,10.866,10.885,10.906,10.940,10.982,11.029,11.094,11.170,11.269,11.410,11.548,11.709,11.838,11.961,12.067,12.147,12.178,12.197,12.231
BRAI_1,80.437,76.969,75.927,74.619,73.534,72.442,71.450,70.425,69.464,68.454,67.505,66.770,66.662,66.628,66.739,66.871,67.080,67.336,67.623,68.023,68.490,69.097,69.964,70.809,71.792,72.582,73.342,73.992,74.480,74.667,74.788,74.995
BRAP,10.338,9.892,9.758,9.590,9.451,9.311,9.183,9.051,8.928,8.798,8.676,8.582,8.568,8.563,8.578,8.595,8.621,8.654,8.691,8.743,8.803,8.881,8.992,9.101,9.227,9.329,9.426,9.510,9.573,9.597,9.612,9.639
BRAW_1,129.352,123.774,122.098,119.995,118.251,116.494,114.899,113.251,111.706,110.081,108.555,107.373,107.200,107.144,107.323,107.536,107.871,108.283,108.745,109.389,110.139,111.115,112.510,113.868,115.449,116.720,117.942,118.987,119.772,120.073,120.266,120.600
BRED_1,78.747,75.351,74.331,73.051,71.989,70.919,69.948,68.945,68.004,67.015,66.086,65.366,65.261,65.227,65.336,65.466,65.670,65.921,66.202,66.594,67.050,67.645,68.494,69.321,70.283,71.057,71.801,72.437,72.915,73.098,73.216,73.419
BRFO_1;CLT03,221.287,211.744,208.876,205.279,202.296,199.290,196.562,193.742,191.098,188.318,185.708,183.686,183.390,183.295,183.601,183.965,184.539,185.244,186.033,187.134,188.418,190.088,192.474,194.798,197.502,199.677,201.766,203.554,204.897,205.412,205.743,206.315
BRID_P,8.136,7.785,7.680,7.548,7.438,7.327,7.227,7.123,7.026,6.924,6.828,6.754,6.743,6.739,6.751,6.764,6.785,6.811,6.840,6.881,6.928,6.989,7.077,7.162,7.262,7.342,7.419,7.484,7.534,7.553,7.565,7.586
BRIM_1,90.396,86.499,85.327,83.858,82.639,81.411,80.296,79.144,78.065,76.929,75.863,75.037,74.916,74.877,75.002,75.151,75.385,75.673,75.995,76.445,76.969,77.652,78.626,79.576,80.681,81.569,82.423,83.153,83.702,83.912,84.047,84.281
BROA_P,3.782,3.619,3.570,3.509,3.458,3.406,3.360,3.312,3.266,3.219,3.174,3.140,3.135,3.133,3.138,3.144,3.154,3.166,3.180,3.199,3.221,3.249,3.290,3.330,3.376,3.413,3.449,3.479,3.502,3.511,3.517,3.527
BROR_P,2.482,2.375,2.342,2.302,2.269,2.235,2.204,2.173,2.143,2.112,2.083,2.060,2.057,2.055,2.059,2.063,2.069,2.077,2.086,2.099,2.113,2.132,2.158,2.184,2.215,2.239,2.263,2.283,2.298,2.304,2.307,2.314
BROX,15.866,15.182,14.976,14.718,14.504,14.289,14.093,13.891,13.701,13.502,13.315,13.170,13.149,13.142,13.164,13.190,13.231,13.282,13.338,13.417,13.509,13.629,13.800,13.967,14.161,14.316,14.466,14.594,14.691,14.728,14.751,14.792
BRWA1,63.059,60.339,59.522,58.497,57.647,56.790,56.013,55.209,54.456,53.664,52.920,52.344,52.260,52.233,52.320,52.423,52.587,52.788,53.013,53.327,53.692,54.168,54.848,55.510,56.281,56.901,57.496,58.005,58.388,58.535,58.629,58.792
BUMU_P,14.706,14.072,13.882,13.643,13.444,13.244,13.063,12.876,12.700,12.515,12.342,12.208,12.188,12.182,12.202,12.226,12.264,12.311,12.363,12.437,12.522,12.633,12.792,12.946,13.126,13.270,13.409,13.528,13.617,13.651,13.673,13.711
BURM_1,146.293,139.984,138.089,135.710,133.738,131.750,129.947,128.083,126.336,124.497,122.772,121.435,121.240,121.177,121.379,121.619,121.999,122.464,122.987,123.715,124.563,125.668,127.245,128.781,130.569,132.007,133.388,134.570,135.458,135.798,136.017,136.395
BUSH_1,43.063,41.206,40.648,39.948,39.368,38.783,38.252,37.703,37.189,36.648,36.140,35.746,35.689,35.670,35.730,35.800,35.912,36.049,36.203,36.417,36.667,36.992,37.456,37.908,38.435,38.858,39.265,39.612,39.874,39.974,40.038,40.150
BUST_1,74.147,70.949,69.989,68.783,67.783,66.776,65.862,64.917,64.032,63.100,62.225,61.548,61.449,61.417,61.520,61.641,61.834,62.070,62.334,62.703,63.133,63.693,64.492,65.271,66.177,66.906,67.606,68.205,68.655,68.828,68.939,69.130
CAAD_P,6.775,6.483,6.395,6.285,6.193,6.101,6.018,5.932,5.851,5.766,5.686,5.624,5.615,5.612,5.621,5.632,5.650,5.671,5.696,5.729,5.769,5.820,5.893,5.964,6.047,6.113,6.177,6.232,6.273,6.289,6.299,6.317
CAMB_01,10.549,10.094,9.958,9.786,9.644,9.501,9.371,9.236,9.110,8.978,8.853,8.757,8.743,8.738,8.753,8.770,8.797,8.831,8.869,8.921,8.982,9.062,9.176,9.287,9.415,9.519,9.619,9.704,9.768,9.793,9.808,9.836
CANTN1;RICH1;RICH_J,123.221,117.908,116.311,114.308,112.647,110.973,109.453,107.884,106.412,104.864,103.409,102.284,102.119,102.066,102.237,102.440,102.759,103.151,103.591,104.204,104.918,105.849,107.178,108.472,109.978,111.188,112.352,113.347,114.096,114.382,114.566,114.885
CAPEA1,111.091,106.301,104.861,103.055,101.558,100.048,98.679,97.263,95.936,94.541,93.230,92.215,92.067,92.019,92.173,92.355,92.643,92.997,93.393,93.946,94.590,95.429,96.627,97.794,99.151,100.243,101.292,102.189,102.864,103.122,103.288,103.575
CARE_1,42.379,40.551,40.002,39.313,38.742,38.166,37.644,37.103,36.597,36.065,35.565,35.178,35.121,35.103,35.162,35.231,35.341,35.476,35.627,35.838,36.084,36.404,36.861,37.306,37.824,38.240,38.640,38.983,39.240,39.339,39.402,39.511
CARR_1,90.535,86.632,85.458,83.986,82.766,81.536,80.420,79.266,78.185,77.047,75.979,75.152,75.031,74.992,75.117,75.266,75.501,75.789,76.112,76.563,77.088,77.771,78.747,79.698,80.805,81.694,82.549,83.281,83.830,84.041,84.176,84.410
CASS_P,0.551,0.527,0.520,0.511,0.503,0.496,0.489,0.482,0.476,0.469,0.462,0.457,0.456,0.456,0.457,0.458,0.459,0.461,0.463,0.466,0.469,0.473,0.479,0.485,0.491,0.497,0.502,0.507,0.510,0.511,0.512,0.513
CATY,5.432,5.198,5.127,5.039,4.966,4.892,4.825,4.756,4.691,4.623,4.559,4.509,4.502,4.499,4.507,4.516,4.530,4.547,4.567,4.594,4.625,4.666,4.725,4.782,4.848,4.902,4.953,4.997,5.030,5.042,5.050,5.064
CEAN_P,0.484,0.464,0.457,0.449,0.443,0.436,0.430,0.424,0.418,0.412,0.407,0.402,0.401,0.401,0.402,0.403,0.404,0.406,0.407,0.410,0.412,0.416,0.421,0.426,0.432,0.437,0.442,0.446,0.449,0.450,0.450,0.452
CELL_1,205.090,196.246,193.589,190.254,187.489,184.703,182.175,179.561,177.112,174.535,172.116,170.242,169.968,169.880,170.163,170.500,171.032,171.685,172.417,173.438,174.627,176.175,178.386,180.540,183.047,185.062,186.999,188.655,189.901,190.378,190.685,191.214
CHAP,16.630,15.913,15.697,15.427,15.203,14.977,14.772,14.560,14.361,14.152,13.956,13.804,13.782,13.775,13.798,13.825,13.868,13.921,13.981,14.064,14.160,14.286,14.465,14.639,14.843,15.006,15.163,15.297,15.398,15.437,15.462,15.505
CHAR_P,5.269,5.042,4.973,4.888,4.817,4.745,4.680,4.613,4.550,4.484,4.422,4.374,4.366,4.364,4.372,4.380,4.394,4.411,4.429,4.456,4.486,4.526,4.583,4.638,4.703,4.754,4.804,4.847,4.879,4.891,4.899,4.912
