Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.127,0.148,0.169,0.193,0.219,0.254,0.283,0.327,0.373,0.422,0.501,0.548,0.599,0.652,0.720,0.793,0.877,0.969,1.068,1.175,1.291,1.431,1.585,1.776,1.989,2.163,2.347,2.537,2.740,2.947,3.160,3.392
ABNE_P,0.025,0.029,0.033,0.037,0.042,0.049,0.055,0.063,0.072,0.081,0.097,0.106,0.116,0.126,0.139,0.153,0.169,0.187,0.206,0.227,0.249,0.276,0.306,0.343,0.384,0.418,0.453,0.490,0.529,0.569,0.610,0.655
ABTH_1,0.173,0.201,0.230,0.262,0.299,0.346,0.386,0.445,0.508,0.574,0.683,0.747,0.815,0.888,0.981,1.081,1.195,1.319,1.454,1.600,1.758,1.949,2.158,2.419,2.709,2.946,3.197,3.456,3.731,4.014,4.304,4.620
ACTL_2;CBNK_H;GREE_H;PERI_H,0.061,0.070,0.080,0.092,0.104,0.121,0.135,0.156,0.177,0.200,0.238,0.261,0.284,0.310,0.343,0.377,0.418,0.461,0.507,0.558,0.613,0.681,0.753,0.845,0.945,1.028,1.116,1.206,1.302,1.400,1.503,1.613
ALNE_P,0.015,0.018,0.020,0.023,0.026,0.030,0.034,0.039,0.044,0.050,0.060,0.065,0.071,0.078,0.086,0.094,0.104,0.115,0.127,0.140,0.153,0.170,0.188,0.211,0.236,0.257,0.279,0.302,0.326,0.350,0.376,0.403
ALVE1,0.114,0.133,0.152,0.173,0.197,0.228,0.254,0.293,0.335,0.378,0.450,0.492,0.537,0.585,0.646,0.712,0.787,0.869,0.958,1.054,1.158,1.283,1.421,1.593,1.784,1.940,2.105,2.276,2.457,2.643,2.834,3.042
AMEM_1,0.039,0.046,0.052,0.060,0.068,0.078,0.088,0.101,0.115,0.130,0.155,0.169,0.185,0.202,0.223,0.245,0.271,0.299,0.330,0.363,0.399,0.442,0.490,0.549,0.614,0.668,0.725,0.784,0.846,0.910,0.976,1.048
ARBR_P,0.015,0.017,0.020,0.023,0.026,0.030,0.034,0.039,0.044,0.050,0.059,0.065,0.071,0.077,0.085,0.094,0.104,0.115,0.126,0.139,0.153,0.169,0.187,0.210,0.235,0.256,0.277,0.300,0.324,0.348,0.374,0.401
ARDK_P;CLAC_P,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.007,0.008,0.008,0.009,0.010,0.011,0.012,0.014,0.015,0.016,0.018,0.020,0.023,0.025,0.028,0.030,0.032,0.035,0.038,0.040,0.043
ARMO_P,0.020,0.023,0.026,0.030,0.034,0.039,0.044,0.051,0.058,0.065,0.077,0.085,0.093,0.101,0.111,0.123,0.136,0.150,0.165,0.182,0.200,0.221,0.245,0.275,0.307,0.334,0.363,0.392,0.423,0.455,0.488,0.524
AXMI1,0.098,0.114,0.130,0.148,0.169,0.196,0.218,0.252,0.287,0.325,0.386,0.422,0.461,0.502,0.555,0.611,0.676,0.746,0.822,0.905,0.994,1.102,1.221,1.368,1.532,1.666,1.808,1.954,2.110,2.270,2.434,2.613
AYRR,0.020,0.023,0.026,0.030,0.034,0.039,0.044,0.050,0.057,0.065,0.077,0.084,0.092,0.100,0.111,0.122,0.135,0.149,0.164,0.181,0.198,0.220,0.244,0.273,0.306,0.332,0.361,0.390,0.421,0.453,0.486,0.521
BAGA,0.020,0.022,0.026,0.029,0.033,0.038,0.043,0.049,0.056,0.064,0.076,0.083,0.090,0.098,0.109,0.120,0.132,0.146,0.161,0.177,0.195,0.216,0.239,0.268,0.300,0.327,0.354,0.383,0.414,0.445,0.477,0.512
BAIN,0.014,0.015,0.017,0.019,0.022,0.026,0.029,0.033,0.038,0.043,0.051,0.055,0.060,0.066,0.073,0.080,0.089,0.098,0.108,0.119,0.130,0.144,0.160,0.179,0.201,0.218,0.237,0.256,0.277,0.298,0.319,0.342
BARKC1;BARKW3,0.186,0.216,0.247,0.281,0.320,0.371,0.414,0.478,0.545,0.616,0.733,0.802,0.875,0.954,1.053,1.160,1.283,1.415,1.560,1.718,1.887,2.091,2.316,2.596,2.907,3.161,3.430,3.708,4.004,4.307,4.619,4.958
BEAU_P;ORRI_P,0.015,0.017,0.020,0.022,0.025,0.029,0.033,0.038,0.043,0.049,0.058,0.064,0.069,0.076,0.084,0.092,0.102,0.112,0.124,0.136,0.150,0.166,0.184,0.206,0.231,0.251,0.272,0.294,0.318,0.342,0.366,0.393
BEDDT1,0.069,0.081,0.092,0.105,0.120,0.139,0.155,0.178,0.203,0.230,0.273,0.299,0.327,0.356,0.393,0.433,0.479,0.528,0.582,0.641,0.704,0.780,0.864,0.969,1.085,1.180,1.280,1.384,1.494,1.607,1.724,1.850
BEDD_1,0.297,0.345,0.394,0.450,0.512,0.593,0.661,0.763,0.870,0.983,1.169,1.279,1.397,1.522,1.681,1.851,2.047,2.260,2.491,2.741,3.012,3.338,3.697,4.144,4.640,5.047,5.476,5.919,6.392,6.875,7.372,7.914
BERB_P;CAIF_P;DALL_P;GLEF_P;KEIT_P,0.021,0.024,0.028,0.032,0.036,0.042,0.047,0.054,0.061,0.069,0.083,0.090,0.099,0.107,0.119,0.131,0.145,0.160,0.176,0.194,0.213,0.236,0.261,0.293,0.328,0.356,0.387,0.418,0.451,0.485,0.521,0.559
BERW,0.008,0.009,0.010,0.012,0.013,0.015,0.017,0.020,0.022,0.025,0.030,0.033,0.036,0.039,0.043,0.048,0.053,0.058,0.064,0.071,0.078,0.086,0.095,0.107,0.120,0.130,0.141,0.153,0.165,0.177,0.190,0.204
BESW_1,0.162,0.188,0.214,0.244,0.278,0.322,0.359,0.415,0.473,0.535,0.636,0.696,0.760,0.828,0.914,1.007,1.113,1.229,1.355,1.491,1.638,1.815,2.010,2.254,2.523,2.744,2.978,3.219,3.476,3.739,4.009,4.304
BICF_1,0.108,0.125,0.143,0.163,0.185,0.215,0.239,0.276,0.315,0.356,0.423,0.463,0.506,0.551,0.609,0.670,0.741,0.818,0.902,0.992,1.090,1.209,1.338,1.500,1.680,1.827,1.982,2.143,2.314,2.489,2.669,2.865
BIRK_1,0.156,0.181,0.207,0.236,0.268,0.311,0.347,0.400,0.457,0.516,0.613,0.671,0.733,0.798,0.882,0.971,1.074,1.185,1.307,1.438,1.580,1.751,1.939,2.174,2.434,2.647,2.872,3.105,3.353,3.606,3.867,4.151
BISW_1,0.247,0.287,0.328,0.374,0.426,0.494,0.551,0.635,0.725,0.819,0.974,1.066,1.163,1.268,1.400,1.542,1.705,1.882,2.075,2.284,2.509,2.781,3.080,3.452,3.865,4.204,4.561,4.931,5.324,5.727,6.141,6.593
BLYTB1,0.118,0.138,0.157,0.179,0.204,0.236,0.264,0.304,0.347,0.392,0.466,0.510,0.557,0.607,0.670,0.738,0.816,0.901,0.993,1.093,1.200,1.331,1.474,1.652,1.850,2.012,2.183,2.359,2.548,2.741,2.939,3.155
BLYTH132,0.037,0.043,0.049,0.056,0.063,0.073,0.082,0.094,0.108,0.122,0.145,0.158,0.173,0.188,0.208,0.229,0.253,0.279,0.308,0.339,0.372,0.413,0.457,0.512,0.574,0.624,0.677,0.732,0.790,0.850,0.912,0.979
BOAG_P,0.009,0.010,0.011,0.013,0.014,0.017,0.019,0.021,0.024,0.028,0.033,0.036,0.039,0.043,0.047,0.052,0.058,0.064,0.070,0.077,0.085,0.094,0.104,0.117,0.131,0.142,0.154,0.166,0.180,0.193,0.207,0.223
BOLN_1,0.491,0.570,0.651,0.742,0.845,0.979,1.092,1.260,1.437,1.624,1.931,2.113,2.307,2.513,2.776,3.057,3.381,3.732,4.114,4.527,4.974,5.513,6.106,6.845,7.664,8.335,9.044,9.776,10.556,11.355,12.176,13.071
BONN,0.033,0.037,0.042,0.048,0.055,0.064,0.071,0.082,0.094,0.106,0.126,0.138,0.150,0.164,0.181,0.199,0.220,0.243,0.268,0.295,0.324,0.359,0.398,0.446,0.499,0.543,0.589,0.637,0.688,0.740,0.793,0.851
BOTW_1,0.096,0.111,0.127,0.145,0.165,0.191,0.213,0.246,0.281,0.317,0.377,0.412,0.450,0.491,0.542,0.597,0.660,0.728,0.803,0.884,0.971,1.076,1.192,1.336,1.496,1.627,1.765,1.908,2.060,2.216,2.376,2.551
BRAC_P,0.020,0.023,0.026,0.030,0.034,0.039,0.043,0.050,0.057,0.065,0.077,0.084,0.092,0.100,0.111,0.122,0.135,0.149,0.164,0.180,0.198,0.220,0.243,0.273,0.305,0.332,0.360,0.389,0.420,0.452,0.485,0.520
BRAI_1,0.144,0.167,0.191,0.217,0.247,0.287,0.320,0.369,0.421,0.476,0.566,0.619,0.676,0.736,0.813,0.895,0.990,1.093,1.205,1.326,1.457,1.615,1.788,2.004,2.244,2.441,2.648,2.863,3.091,3.325,3.566,3.828
BRAP,0.014,0.016,0.019,0.021,0.024,0.028,0.032,0.036,0.042,0.047,0.056,0.061,0.067,0.073,0.080,0.088,0.098,0.108,0.119,0.131,0.144,0.159,0.177,0.198,0.222,0.241,0.262,0.283,0.305,0.328,0.352,0.378
BRAW_1,0.223,0.259,0.296,0.338,0.384,0.445,0.496,0.573,0.654,0.739,0.878,0.961,1.049,1.143,1.262,1.390,1.537,1.697,1.871,2.059,2.262,2.507,2.776,3.112,3.485,3.790,4.112,4.445,4.800,5.163,5.537,5.943
BRED_1,0.172,0.200,0.229,0.261,0.297,0.344,0.383,0.442,0.505,0.570,0.678,0.742,0.810,0.882,0.975,1.073,1.187,1.310,1.444,1.589,1.746,1.936,2.144,2.403,2.691,2.926,3.175,3.432,3.706,3.986,4.275,4.589
BRFO_1;CLT03,0.411,0.478,0.546,0.623,0.709,0.821,0.916,1.056,1.206,1.362,1.620,1.772,1.935,2.108,2.328,2.565,2.836,3.130,3.451,3.798,4.172,4.625,5.121,5.741,6.429,6.992,7.585,8.200,8.855,9.525,10.213,10.964
BRID_P,0.013,0.014,0.016,0.019,0.021,0.025,0.027,0.032,0.036,0.041,0.048,0.053,0.058,0.063,0.070,0.077,0.085,0.094,0.103,0.114,0.125,0.138,0.153,0.172,0.192,0.209,0.227,0.245,0.265,0.285,0.305,0.328
BRIM_1,0.194,0.226,0.258,0.294,0.335,0.387,0.432,0.499,0.569,0.643,0.765,0.837,0.913,0.995,1.099,1.210,1.339,1.478,1.629,1.793,1.969,2.183,2.418,2.710,3.034,3.300,3.581,3.871,4.180,4.496,4.821,5.175
BROA_P,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.013,0.015,0.017,0.020,0.022,0.024,0.026,0.029,0.031,0.035,0.038,0.042,0.046,0.051,0.057,0.063,0.070,0.079,0.086,0.093,0.100,0.108,0.117,0.125,0.134
BROR_P,0.003,0.004,0.004,0.005,0.005,0.006,0.007,0.008,0.009,0.010,0.012,0.013,0.014,0.016,0.017,0.019,0.021,0.023,0.025,0.028,0.031,0.034,0.038,0.042,0.047,0.052,0.056,0.061,0.065,0.070,0.075,0.081
BROX,0.025,0.029,0.033,0.037,0.043,0.049,0.055,0.063,0.072,0.082,0.097,0.107,0.116,0.127,0.140,0.154,0.170,0.188,0.207,0.228,0.251,0.278,0.308,0.345,0.386,0.420,0.456,0.493,0.532,0.572,0.614,0.659
BRWA1,0.111,0.129,0.147,0.168,0.191,0.221,0.247,0.284,0.325,0.367,0.436,0.477,0.521,0.567,0.627,0.690,0.763,0.843,0.929,1.022,1.123,1.245,1.379,1.545,1.730,1.882,2.042,2.207,2.383,2.564,2.749,2.951
BUMU_P,0.020,0.023,0.026,0.030,0.034,0.039,0.044,0.051,0.058,0.065,0.078,0.085,0.093,0.101,0.111,0.123,0.136,0.150,0.165,0.182,0.200,0.221,0.245,0.275,0.308,0.335,0.363,0.393,0.424,0.456,0.489,0.525
BURM_1,0.221,0.257,0.293,0.334,0.380,0.441,0.492,0.567,0.647,0.731,0.870,0.951,1.039,1.132,1.250,1.376,1.522,1.680,1.852,2.038,2.239,2.482,2.749,3.082,3.450,3.753,4.072,4.401,4.753,5.112,5.482,5.885
