Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,0.127,0.160,0.197,0.242,0.296,0.363,0.429,0.530,0.646,0.763,0.956,1.086,1.249,1.435,1.719,2.047,2.424,2.857,3.355,3.902,4.523,5.228,5.910,6.538,7.219,7.269,7.326,7.462,7.603,7.752,7.907,8.145
ABNE_P,0.025,0.031,0.038,0.047,0.057,0.070,0.083,0.102,0.125,0.147,0.185,0.210,0.241,0.277,0.332,0.395,0.468,0.552,0.648,0.753,0.873,1.009,1.141,1.262,1.394,1.403,1.414,1.441,1.468,1.497,1.527,1.573
ABTH_1,0.173,0.218,0.269,0.329,0.403,0.495,0.585,0.721,0.880,1.039,1.302,1.480,1.701,1.954,2.342,2.788,3.301,3.891,4.569,5.314,6.160,7.121,8.050,8.905,9.831,9.901,9.978,10.163,10.355,10.557,10.769,11.093
ACTL_2;CBNK_H;GREE_H;PERI_H,0.061,0.077,0.094,0.114,0.140,0.173,0.204,0.251,0.308,0.363,0.454,0.517,0.594,0.682,0.817,0.972,1.152,1.358,1.594,1.854,2.150,2.485,2.809,3.108,3.431,3.455,3.483,3.546,3.614,3.684,3.758,3.871
ALNE_P,0.015,0.019,0.023,0.029,0.035,0.043,0.051,0.063,0.077,0.091,0.114,0.129,0.148,0.171,0.204,0.243,0.288,0.340,0.399,0.464,0.537,0.621,0.702,0.777,0.858,0.864,0.871,0.887,0.904,0.921,0.940,0.968
ALVE1,0.114,0.144,0.177,0.217,0.265,0.326,0.385,0.475,0.580,0.684,0.857,0.974,1.120,1.287,1.542,1.836,2.174,2.562,3.009,3.499,4.056,4.689,5.301,5.864,6.474,6.520,6.571,6.692,6.819,6.952,7.092,7.305
AMEM_1,0.039,0.050,0.061,0.075,0.091,0.112,0.133,0.164,0.200,0.236,0.295,0.336,0.386,0.443,0.531,0.632,0.749,0.883,1.036,1.205,1.397,1.615,1.826,2.020,2.230,2.246,2.263,2.305,2.349,2.394,2.443,2.516
ARBR_P,0.015,0.019,0.023,0.029,0.035,0.043,0.051,0.063,0.076,0.090,0.113,0.128,0.148,0.170,0.203,0.242,0.287,0.338,0.397,0.461,0.535,0.618,0.699,0.773,0.853,0.859,0.866,0.882,0.899,0.916,0.935,0.963
ARDK_P;CLAC_P,0.002,0.002,0.003,0.003,0.004,0.005,0.005,0.007,0.008,0.010,0.012,0.014,0.016,0.018,0.022,0.026,0.031,0.036,0.043,0.050,0.058,0.067,0.075,0.083,0.092,0.093,0.094,0.095,0.097,0.099,0.101,0.104
ARMO_P,0.020,0.025,0.030,0.037,0.046,0.056,0.066,0.082,0.100,0.118,0.148,0.168,0.193,0.222,0.266,0.316,0.375,0.442,0.518,0.603,0.699,0.808,0.913,1.011,1.116,1.123,1.132,1.153,1.175,1.198,1.222,1.259
AXMI1,0.098,0.123,0.152,0.186,0.228,0.280,0.331,0.408,0.498,0.588,0.736,0.837,0.962,1.105,1.324,1.577,1.867,2.201,2.584,3.005,3.483,4.027,4.552,5.036,5.560,5.599,5.643,5.747,5.856,5.970,6.090,6.273
AYRR,0.020,0.025,0.030,0.037,0.045,0.056,0.066,0.081,0.099,0.117,0.147,0.167,0.192,0.221,0.264,0.315,0.373,0.439,0.516,0.600,0.695,0.804,0.908,1.005,1.109,1.117,1.126,1.147,1.169,1.191,1.215,1.252
BAGA,0.020,0.024,0.030,0.037,0.045,0.055,0.065,0.080,0.098,0.115,0.144,0.164,0.189,0.217,0.260,0.309,0.366,0.431,0.506,0.589,0.683,0.789,0.892,0.987,1.090,1.098,1.106,1.127,1.148,1.170,1.194,1.230
BAIN,0.014,0.016,0.020,0.024,0.030,0.037,0.043,0.053,0.065,0.077,0.096,0.110,0.126,0.145,0.174,0.207,0.245,0.288,0.339,0.394,0.457,0.528,0.597,0.660,0.729,0.734,0.740,0.753,0.768,0.783,0.798,0.822
BARKC1;BARKW3,0.186,0.234,0.288,0.353,0.432,0.531,0.627,0.774,0.945,1.115,1.396,1.588,1.826,2.097,2.513,2.992,3.542,4.175,4.903,5.702,6.609,7.640,8.637,9.555,10.550,10.623,10.707,10.904,11.112,11.328,11.555,11.903
