Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,70.148,70.430,70.053,69.576,69.136,68.656,68.232,67.688,67.127,66.575,65.978,65.594,65.679,65.834,66.024,66.269,66.505,66.728,66.949,67.194,67.478,67.861,68.443,69.029,69.502,69.889,70.291,70.638,70.955,71.334,71.707,72.131
ABNE_P,10.322,10.363,10.308,10.238,10.173,10.102,10.040,9.960,9.877,9.796,9.708,9.652,9.664,9.687,9.715,9.751,9.786,9.819,9.851,9.887,9.929,9.985,10.071,10.157,10.227,10.284,10.343,10.394,10.441,10.496,10.551,10.614
ABTH_1,84.511,84.851,84.397,83.822,83.292,82.714,82.203,81.547,80.871,80.206,79.487,79.024,79.127,79.314,79.543,79.837,80.122,80.390,80.657,80.952,81.294,81.755,82.457,83.163,83.732,84.198,84.683,85.101,85.484,85.939,86.389,86.900
ACTL_2;CBNK_H;GREE_H;PERI_H,37.414,37.564,37.362,37.108,36.874,36.618,36.391,36.100,35.803,35.507,35.189,34.984,35.029,35.113,35.213,35.344,35.470,35.589,35.708,35.838,35.989,36.193,36.504,36.816,37.068,37.274,37.489,37.673,37.844,38.046,38.245,38.470
ALNE_P,9.728,9.767,9.715,9.648,9.587,9.521,9.462,9.386,9.309,9.232,9.149,9.096,9.108,9.129,9.156,9.190,9.223,9.253,9.284,9.318,9.357,9.410,9.491,9.572,9.638,9.692,9.747,9.796,9.840,9.892,9.944,10.003
ALVE1,69.612,69.892,69.518,69.045,68.608,68.132,67.711,67.171,66.614,66.066,65.474,65.092,65.177,65.331,65.520,65.762,65.997,66.218,66.438,66.681,66.962,67.342,67.920,68.502,68.971,69.355,69.754,70.098,70.413,70.789,71.159,71.580
AMEM_1,20.236,20.318,20.209,20.071,19.944,19.806,19.684,19.527,19.365,19.206,19.033,18.922,18.947,18.992,19.047,19.117,19.185,19.250,19.314,19.384,19.466,19.576,19.744,19.913,20.050,20.161,20.277,20.377,20.469,20.578,20.686,20.808
ARBR_P,10.063,10.103,10.049,9.981,9.917,9.849,9.788,9.710,9.629,9.550,9.464,9.409,9.421,9.444,9.471,9.506,9.540,9.572,9.604,9.639,9.679,9.734,9.818,9.902,9.970,10.025,10.083,10.133,10.178,10.233,10.286,10.347
ARDK_P;CLAC_P,1.096,1.101,1.095,1.087,1.080,1.073,1.066,1.058,1.049,1.040,1.031,1.025,1.026,1.029,1.032,1.036,1.039,1.043,1.046,1.050,1.055,1.061,1.070,1.079,1.086,1.092,1.099,1.104,1.109,1.115,1.121,1.127
ARMO_P,8.965,9.001,8.953,8.892,8.836,8.775,8.721,8.651,8.579,8.509,8.432,8.383,8.394,8.414,8.438,8.470,8.500,8.528,8.557,8.588,8.624,8.673,8.748,8.822,8.883,8.932,8.984,9.028,9.069,9.117,9.165,9.219
AXMI1,51.549,51.756,51.479,51.128,50.805,50.452,50.141,49.741,49.329,48.923,48.484,48.202,48.264,48.379,48.518,48.698,48.872,49.035,49.198,49.378,49.586,49.868,50.296,50.726,51.073,51.358,51.653,51.908,52.142,52.420,52.694,53.006
AYRR,15.734,15.798,15.713,15.606,15.507,15.400,15.304,15.182,15.057,14.933,14.799,14.713,14.732,14.767,14.809,14.864,14.917,14.967,15.017,15.072,15.135,15.221,15.352,15.483,15.589,15.676,15.766,15.844,15.915,16.000,16.084,16.179
