CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,0.0,0.0,1473.2809988282638,3454.3976871141053,5384.67851275793,5712.07057034532
E06000002,0.0,0.0,0.0,2090.400938487004,4903.017801805763,7642.964676116,8109.206617681537
E06000003,0.0,0.0,0.0,2131.8916305395146,4997.95888064073,7789.668598946286,8263.146564698422
E06000004,0.0,0.0,0.0,2839.0394649484497,6656.608777434917,10376.254832230314,11005.962454442471
E06000005,0.0,0.0,0.0,1674.4943333551523,3925.7862573147713,6118.4205403031565,6491.04622447957
E06000006,0.0,0.0,0.0,1867.025723304189,4337.438263243323,6738.839942664216,7114.168955483116
E06000007,0.0,0.0,0.0,3111.5860063769983,7230.472816657212,11234.489577136304,11862.012922452275
E06000008,0.0,0.0,0.0,2082.283981249904,4837.194352823984,7514.48251080835,7932.602348910131
E06000009,0.0,0.0,0.0,2464.851532673556,5736.57557874678,8915.046354053873,9422.974134517986
E06000010,0.0,0.0,0.0,4589.471684777348,10763.705361741551,16779.484624006407,17789.88479303618
E06000011,0.0,0.0,0.0,5495.051535285174,12873.534490923992,20050.5732675566,21264.903644807186
E06000012,0.0,0.0,0.0,1231.207475886635,2874.282519051742,4473.196699807126,4711.970476418961
E06000013,0.0,0.0,0.0,1206.7158338404545,2815.855421174421,4380.742737656808,4611.8803930236
E06000014,0.0,0.0,0.0,2935.1035325836187,6885.173779238679,10730.770855192784,11385.870694691295
E06000015,0.0,0.0,0.0,186.1595481424453,444.1570934065811,697.337266392082,734.0628634438717
E06000016,0.0,0.0,0.0,218.43782685421075,521.436712899908,818.5320211287877,861.814462331922
E06000017,0.0,0.0,0.0,20.8780444850789,49.68095134589851,77.91391123094678,81.97046793473648
E06000018,0.0,0.0,0.0,224.0386331343673,534.9710226816549,839.8025987965127,884.2060093512398
E06000019,0.0,0.0,0.0,112.41871837658915,267.051316970662,418.3439900797016,440.1256443940642
E06000020,0.0,0.0,0.0,120.4232009049996,287.1297883094058,450.8124984954039,474.4621165929999
E06000021,0.0,0.0,0.0,193.1013837305084,460.5655536999764,723.0796742279127,761.1161257165546
E06000022,0.0,0.0,0.0,127.94099115029869,305.02339171127096,478.6075815027005,503.7690214301396
E06000023,0.0,0.0,0.0,320.00622366183165,763.9588522138448,1199.1941660795885,1262.5933699862903
E06000024,0.0,0.0,0.0,156.8526552858092,373.964153800789,586.9143385616644,617.7487615814981
E06000025,0.0,0.0,0.0,178.72384834310617,426.0165573804363,668.5492896600773,703.6790505037993
E06000026,0.0,0.0,0.0,199.87254863806632,476.8752633566172,748.7216643488008,788.1500566382872
E06000027,0.0,0.0,0.0,120.1986405341124,286.85901569202787,450.22056340844136,474.0096774199623
E06000030,0.0,0.0,0.0,154.4275087205437,368.4774937866512,578.445130637465,608.9509973374376
E06000031,0.0,0.0,0.0,131.14476985135244,312.8591088425139,491.189676414233,517.0427848547708
