CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,41.94075838783822,109.6913983518782,216.3122526040401,304.3668404410009,370.0415132236672,397.51010877653886
E06000002,0.0,63.09970860127221,164.05267846237265,340.091025757865,495.73855749598886,619.7328854377871,668.5442171132137
E06000003,0.0,82.02847561284091,212.85911135523,402.924328766176,551.4955935595008,655.1201093191255,702.4252108805013
E06000004,0.0,82.49099769410674,216.68648426060585,420.6318170440731,586.0689661430428,706.1101494923265,757.8303961115463
E06000005,0.0,60.85645850915478,158.42038043329157,309.6851684564395,433.7335433754959,524.7162436053679,563.6453243508737
E06000006,0.0,50.79730459071832,132.9955390171171,259.2013430543057,362.1594629509378,439.0687989757438,472.3249194884692
E06000007,0.0,84.6675523659046,219.92582756813,440.8571597519442,628.5171627325408,775.5433747208879,836.5881791550194
E06000008,0.0,59.891009269952285,156.6338288635862,306.4852378785858,428.3510922093358,519.1799009717146,557.9051458793075
E06000009,0.0,84.78342939511822,218.96669723327025,514.8980492693604,809.6558087718485,1068.5396036043528,1161.6882590740877
E06000010,0.0,132.49912468146275,348.18720551156144,698.4165828883081,997.1192636327888,1224.067234282503,1317.6166128862728
E06000011,0.0,362.34907075442896,947.1441752296466,1687.7301274694428,2206.702462312601,2501.424978151017,2664.728998576249
E06000012,0.0,78.26697803517666,206.10553607118152,414.65830694598174,594.7940643252613,732.529233337823,786.8797597143173
E06000013,0.0,129.01586354922406,344.19753282956634,628.0094010446822,839.0458971326767,966.9988109469768,1027.4174064626782
E06000014,0.0,120.67600480796922,309.4708530882984,632.5531052770555,913.8006060635596,1135.478556702776,1224.717426045346
E06000015,0.0,113.71869570575254,305.3243032616621,691.3972044725539,1058.8967892560445,1366.691074914771,1476.3186610412013
E06000016,0.0,140.4543616577881,386.9698572052409,935.5542089955528,1495.6181007703824,1975.1233563801743,2140.7508849374813
E06000017,0.0,39.08624917364189,107.4369068815142,202.86602752774968,275.7216543581844,320.8498439385598,341.42042332352014
E06000018,0.0,133.26326877987353,370.00159628045645,923.0406219559314,1498.454849926797,1996.926086905644,2165.292195665929
E06000019,0.0,307.1747703420892,846.1929049571236,1565.3861137261124,2096.34014204601,2400.6710922001826,2549.05295439008
E06000020,0.0,79.19384934158472,218.1077461330881,434.0726964004983,612.5736847359727,739.7029862632124,791.3102695274812
E06000021,0.0,113.7263457321972,308.9404938770199,664.331340520395,985.8083944692528,1241.3842960358545,1335.6706725853344
E06000022,0.0,134.3228081536326,365.8408547590079,771.4834557217305,1132.0431697524834,1407.7809867297574,1511.5791330986071
E06000023,0.0,248.22748465138264,670.5934218014628,1641.6411224286717,2639.231716346513,3507.410003704177,3807.4285549397705
E06000024,0.0,148.91689504151157,405.8078576753502,840.3817913309723,1219.4280390476194,1504.6165810116431,1614.7416894116463
E06000025,0.0,176.81973632583782,481.5386152252562,984.720960813412,1416.960431637185,1736.3581853901749,1861.850479438768
E06000026,0.0,120.74168242526216,324.70201099682566,735.4960993196032,1126.6676574066405,1454.03061398991,1570.506894104231
E06000027,0.0,90.35628336812243,241.16708878188808,578.2460830223381,914.1344724677572,1204.0842441544555,1303.5350364401522
E06000030,0.0,99.42756779903748,269.4644722216781,617.7040990802942,954.304542379078,1235.7603592344874,1335.0794084289364
E06000031,0.0,90.2381073216204,247.2196085712665,530.8483607963092,790.0073906154983,994.219000585892,1070.4130019451206
E06000032,0.0,89.10275838717827,242.54981060322947,561.4598405559711,873.0788114485588,1134.4301084743472,1226.1786133274798
E06000033,0.0,91.0649411034017,246.9403274415084,558.4975101034412,855.097483976952,1100.364145416908,1187.3568253040414
E06000034,0.0,82.19614621080774,214.00831642991744,514.8882688608207,812.1359016176967,1072.8785987251215,1161.869849975692
E06000035,0.0,118.14245021455852,322.3416362163707,700.8076221468638,1050.3014675429963,1330.4269356255588,1433.8028380585492
E06000036,0.0,51.29724406610959,137.5138454236949,315.0239998104085,484.3660713439878,626.5812787035495,676.1720095400688
E06000037,0.0,181.69747984572467,498.661010313452,979.3423138869724,1372.5129609764365,1638.39540031688,1750.0255496065915
E06000038,0.0,86.32307200241075,231.6030110016433,592.8902093929672,973.4162762056344,1311.6895737903772,1425.7083037023465
E06000039,0.0,62.18344116700513,164.166162729999,417.28565719432817,683.4303856812783,922.16029859739,1003.9006326610628
E06000040,0.0,85.52173900261481,231.65968510498809,498.162829724948,742.3325482155823,936.2652804255708,1009.0710694200576
E06000041,0.0,70.5521294825662,191.88597660572336,412.1964613682595,613.2262971214674,772.8509120242146,832.5016328400033
E06000042,0.0,107.44008376639655,297.5316218488127,643.6672264608028,958.524683237713,1204.9578164100758,1293.928228730313
E06000043,0.0,193.80725516198208,530.6556181223514,1244.6409712626075,1951.877686513783,2545.8774897333165,2752.8931901005885
E06000044,0.0,116.9007631370045,317.69284010156406,749.7881932524601,1178.9998872673234,1543.2952817982666,1669.9209669259808
E06000045,0.0,147.69653373879768,388.097010654461,1047.4733022950682,1759.559771363913,2409.165853692517,2623.948563766136
E06000046,0.0,124.84897629125857,335.9643477852984,729.6315387158924,1091.3109181474804,1380.0145710683364,1486.4653783603526
E06000047,0.0,343.7264508070194,905.3563667580588,1609.1373505775118,2098.3046920318247,2375.8468310168223,2530.0307979405065
E06000049,0.0,283.16643155531057,734.7097418495407,1359.0662237459387,1826.6626080333128,2137.288321380695,2287.8210121619336
E06000050,0.0,229.7221415219532,597.7888460144549,1118.2764741136943,1515.037823087789,1784.6400088153453,1911.298446070916
E06000051,0.0,460.27424352245424,1223.3993594414046,2242.808030692047,2981.904529101956,3416.0076755620976,3638.588403387816
E06000052,0.0,1030.9134122655105,2799.1262517750647,5594.53395936585,7951.757989924595,9617.351451819986,10304.453012782367
E06000053,,4.422831997159335,11.856253418041248,28.846319249630213,46.38733431008144,61.46304223281759,66.72700873727105
E06000054,0.0,587.1399435065626,1601.7395972151585,3110.173709389349,4315.321225774819,5116.454459672582,5459.4465350091305
E06000055,0.0,111.38050055581176,303.24239241197154,640.8831678589826,944.4644746707532,1178.9821264164375,1268.2400107986305
E06000056,0.0,163.66511625333686,445.37511875032914,920.2997095872588,1335.1801279153335,1648.225947061322,1770.244921069221
E06000057,0.0,408.91259071717593,1075.0382560848598,1863.1814216107848,2378.683021282409,2626.3200604544145,2785.197378792575
E06000058,0.0,235.69823627812656,630.1236962807392,1485.095639148342,2325.787881733051,3044.9541221991444,3293.986674344861
E06000059,0.0,412.7968836094241,1127.3059209721714,2220.912005530161,3115.6404151219704,3730.748694834975,3987.098503267157
E07000004,0.0,180.94746207322825,496.1366475560868,967.2480859729023,1349.6062583672424,1607.4598288289706,1717.8957647982547
E07000005,0.0,59.45029534560043,163.13423196181557,325.9864785442129,461.9056797792304,558.5096494412206,597.6867927141244
E07000006,0.0,34.90117347610689,96.9393740212782,195.85361222171085,279.70233438241365,339.936799663579,363.7658893515991
E07000007,0.0,113.54842372836605,305.8752424821584,644.7034020285182,945.66591794593,1179.08996423379,1267.7044467756289
E07000008,0.0,62.90188373652706,174.9176868751791,415.62011738589575,657.0159759934369,859.442032479715,929.0322214143432
E07000009,0.0,109.86008372186252,302.83051044449746,563.9791377401863,759.3124919393408,874.238130778755,928.9973134066764
E07000010,0.0,108.07258398153836,297.61184456904755,564.4509447455778,770.9816249466588,900.1428746865516,958.6775709068892
E07000011,0.0,146.80922079470454,402.15263957964487,789.1152959676303,1105.2634690649645,1322.4382441167634,1414.013917148248
E07000012,0.0,180.7245757703164,496.15425468158514,931.2145047475328,1261.5814112883313,1462.9621867504902,1556.9963916578522
E07000026,0.0,116.65833349938698,305.5966497096469,533.9102024920378,685.941263716811,763.4221712167638,810.6204131910847
E07000027,0.0,40.39287350314623,104.12991981247676,204.51015087014235,287.55057715673155,349.96960693600863,376.5882182983512
E07000028,0.0,108.66204484627656,283.602228054485,513.9849548857137,681.7065642659383,783.3279080455965,836.1942796155287
E07000029,0.0,66.20955479697787,172.54730008505462,309.55394285218875,406.33560842386,463.0630489168498,493.42488768892616
E07000030,0.0,143.1962693658624,375.3681371302505,644.8983859981115,817.7433620380502,894.943026696747,948.0458879275914
E07000031,0.0,155.43529603303156,403.3903396569452,736.1420349482312,980.3091230622896,1130.9876477070898,1207.2944869237665
E07000032,0.0,68.92599024997517,182.18512913841408,362.61861640166114,510.3427702950037,619.0512145222723,663.8519689135724
E07000033,0.0,46.372583967305786,125.96487434417404,234.0982921802889,314.0319554917872,362.8290912842946,386.2207294695871
E07000034,0.0,49.6573839047876,135.46664949469076,277.3672515471264,399.6331906296576,490.96909440356455,526.9703578304002
E07000035,0.0,85.14735925790463,226.7445703396073,417.5787534242941,556.637374005373,639.8247660025343,681.5090538781469
E07000036,0.0,52.514426916303215,138.90736060880673,292.4720501253635,428.6492376919128,537.1615088629005,579.0509065734773
E07000037,0.0,56.3129639947953,150.2563868312835,300.4913222604472,425.13279906624166,516.2897480838079,553.6021715695076
E07000038,0.0,62.6988855351876,168.39576132391227,310.89954586387705,414.4371896541588,477.4490219646756,508.3483335466244
E07000039,0.0,61.75058741089681,164.37657735954906,313.6213348194281,429.2926988098647,507.0323957747599,542.1341047829488
E07000040,0.0,175.5297632073467,484.711345304338,954.8998325040236,1339.0425236734295,1597.1505865385595,1703.5399050239512
E07000041,0.0,64.29990751712107,169.46856289399392,399.4304611550597,623.8225716298498,817.6268617983733,884.5413847136456
