CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,483.2901888656036,2175.5602106204738,4715.98474451175,5703.203221283105,5662.318031622172,5152.534671047383
E06000002,0.0,707.319705455188,3141.085679947951,6784.864433901956,8164.844658745744,8073.73190373833,7308.617278195681
E06000003,0.0,738.8355917792641,3242.2399549936654,6979.306732503523,8414.259238420118,8348.552041122372,7603.189629125379
E06000004,0.0,939.431305329992,4233.047647246423,9176.166377120877,11105.238795776111,11033.089776375662,10051.075480524794
E06000005,0.0,574.5319858640504,2520.5449304626954,5424.663742975732,6528.760333730605,6465.0580388344215,5871.164776356831
E06000006,0.0,617.7139262265191,2745.658711973196,5902.672073347888,7095.708268304441,7006.015730135624,6357.84402134187
E06000007,0.0,1037.3074645286588,4596.355285722573,9874.729836356952,11848.585854181,11679.271621321845,10573.48547086816
E06000008,0.0,700.7931843531137,3124.125833986153,6751.78472887946,8155.340424573405,8094.012739052716,7368.600981713972
E06000009,0.0,927.3120650872892,3934.136557568797,8388.310562574796,9933.729479413543,9695.868688400707,8634.337930929421
E06000010,0.0,1531.5783484291308,6773.9746876624085,14599.709506612173,17556.66027789696,17353.305683550236,15718.499463912747
E06000011,0.0,2141.3546890218013,8820.148255744458,18629.93978669801,22307.77722392116,22120.880798663413,20227.784851013468
E06000012,0.0,837.0999893943042,3706.899819906403,7995.746005279372,9646.312174266144,9567.696723117378,8706.687013470464
E06000013,0.0,927.1424556991938,3936.944941267068,8386.551317532912,10111.42907012112,10065.912879312846,9239.504639806386
E06000014,0.0,1072.2078098741858,4594.139563487843,9831.335909831429,11739.818626696657,11556.45498018124,10411.449988461509
E06000015,0.0,1181.2324471004115,5529.334402435649,12368.37109001996,14979.274270999716,14897.99695188118,13208.41843071964
E06000016,0.0,1403.7270980928784,5954.097837347421,12638.154875031578,14708.640257144476,14110.35637640699,12201.736102841163
E06000017,0.0,205.5384048462556,802.9579562777211,1654.5081006144546,1923.612066425946,1863.8870057375907,1655.0972151849712
E06000018,0.0,1432.7199416163296,6615.702555575705,14732.817807710431,17767.22388744154,17591.448518955563,15502.10405697065
E06000019,0.0,1146.6585666619494,4430.623252984232,9293.750582412193,11065.57936668417,11021.315311673983,9975.313585524522
E06000020,0.0,737.1363046508528,3249.5664426915123,6930.226460502508,8167.263301599451,7909.957033850799,6975.007666641262
E06000021,0.0,1143.237414432372,5004.585722996544,10669.6312875064,12520.455783824516,12075.600365972276,10569.706569371678
E06000022,0.0,939.4310063147432,4158.225173178321,9157.369400869473,11028.928375538706,10957.381252189383,9731.723266611005
E06000023,0.0,2291.007942849747,10335.348135570948,22862.231813891685,27404.04544742976,27018.157249194257,23702.23270874948
E06000024,0.0,1112.9708618881475,5029.928688494656,11144.107914133896,13484.493520210352,13441.436468344553,11980.62316598416
E06000025,0.0,1205.994314797486,5651.181536068828,12756.957355843444,15646.281608993542,15788.105018707383,14184.3221094507
E06000026,0.0,1265.804354935921,5935.316684910106,13284.991999434202,16098.32463002828,16018.240279746296,14207.311359980537
E06000027,0.0,812.9911113505107,3667.0407468638655,8129.384933853055,9757.766766069662,9639.497556352318,8467.726315646467
E06000030,0.0,968.7453743150296,4484.417262673352,10006.078903731544,12101.109006242452,12025.910558215375,10649.08428939366
E06000031,0.0,840.2059478605015,3916.8262602483474,8749.345992355351,10623.472346903354,10597.840502299914,9441.139903678932
E06000032,0.0,860.01773378081,4094.035233158346,9299.31168927658,11370.381704050124,11413.213416096478,10146.921175541842
E06000033,0.0,885.4841530063658,4091.6422704270894,9112.494341462583,11010.105920316764,10931.838262349336,9681.32279013414
E06000034,0.0,731.546717234239,3290.091696199806,7298.8226260103,8747.298341045727,8633.430337857922,7567.191429514132
E06000035,0.0,1167.882085070312,5481.640271661109,12270.3160693624,14905.560510786652,14869.01120545907,13238.0110570566
E06000036,0.0,518.7342024948341,2330.8437276281093,5133.225278206247,6152.430395815272,6069.424330546818,5350.976966266233
E06000037,0.0,831.3416966549817,3358.442096758749,7168.389629515259,8539.93756596072,8463.139201901753,7558.431485239809
E06000038,0.0,788.5944357056256,3513.297384341282,7753.62728823732,9255.517727038528,9092.613910225004,7929.661361943656
