CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,15.85314749144426,506.0918901210324,1181.574024017116,2107.7562895733527,2687.043340300264,3118.888352299523
E06000002,0.0,25.346162627606983,749.6515761229448,1739.6963447355774,3087.304830102118,3917.453863120112,4534.971959273872
E06000003,0.0,24.52421671242468,796.3801571221272,1840.310745048669,3250.2091233494184,4097.434580410844,4727.316875482154
E06000004,0.0,29.683766715972467,986.9107420888812,2305.49398335796,4112.991949968568,5241.125922704812,6081.7926419958585
E06000005,0.0,20.011351765680526,615.6644343047468,1422.8913740793466,2515.2581523701897,3175.8903500069605,3666.742582183686
E06000006,0.0,18.965463935052703,656.7135834984332,1532.0905083057526,2727.872051123474,3467.5209246302325,4018.7726171707695
E06000007,0.0,33.25090440441955,1109.925207037744,2584.5383617206408,4592.943979206201,5829.106234036348,6749.794914513426
E06000008,0.0,22.80718089847068,741.5879246476605,1725.2189650662133,3066.872767835684,3893.9894715371424,4509.900079326924
E06000009,0.0,40.00298079792467,1021.94020380756,2330.123652178173,4068.634928384774,5081.517067257032,5828.702029242908
E06000010,0.0,53.0492100734632,1637.301301711861,3795.577716789387,6723.4169337989015,8510.607506958071,9839.79800448628
E06000011,0.0,71.72999883480551,2436.2539792130874,5513.6719351051415,9547.37175428467,11755.44832861,13379.73752442241
E06000012,0.0,30.61536808895761,932.5030252543904,2137.450056854909,3763.1214295392265,4729.573221984546,5456.388894722954
E06000013,0.0,31.146360948625045,1091.5242084974432,2463.000663657316,4274.484988102368,5271.837759337414,6020.791533483675
E06000014,0.0,42.73665596170453,1169.9591558213788,2677.0208447884893,4691.035497278484,5875.696491599463,6753.082508995423
E06000015,0.0,46.50217598086825,1207.5957007150455,2800.0664319926227,5047.8388736001925,6497.170842730475,7576.7473608585315
E06000016,0.0,57.83420396951208,1447.7446896194565,3356.4002244467865,6018.4181884612,7706.87812326105,8956.738409719459
E06000017,0.0,7.048973512550195,216.5240382850428,495.14783739598136,871.3127993898597,1087.611958599935,1249.5522397479988
E06000018,0.0,59.44410123999048,1479.8683289776873,3418.0513520901245,6140.761647405461,7877.731648594773,9161.504281223466
E06000019,0.0,45.36491154396687,1354.437463692959,2968.1752200236538,5047.810571999281,6064.213146442937,6806.29765312258
E06000020,0.0,23.28853824751379,749.0765943824748,1750.0188876280365,3176.6774967349293,4105.694924514532,4800.25637794403
E06000021,0.0,40.92588621799013,1158.6900581738537,2698.308239054508,4886.875440285402,6311.611237596118,7374.878279707096
E06000022,0.0,39.031899047464826,989.547390189664,2272.060689686578,4031.8510722796855,5100.098421489265,5894.770786334921
E06000023,0.0,102.7486725784312,2398.291488332422,5523.444344533866,9839.356496786286,12528.580263821144,14516.817184917796
E06000024,0.0,42.19487241203753,1159.5236970312635,2682.913586358429,4792.354234894414,6098.899040683864,7073.61696490625
E06000025,0.0,46.95446844442319,1294.5085153657403,2986.26077613632,5316.766196412317,6740.676815665333,7803.22909424451
E06000026,0.0,48.98026863295133,1284.2930532896485,3000.673367035857,5419.696556675477,6990.212496439604,8161.006389514065
E06000027,0.0,37.31490932334943,848.8824842922306,1952.3537070123243,3478.164712584945,4430.045167851604,5135.272616901327
E06000030,0.0,38.42102419197481,993.8512462312484,2311.943335613341,4158.85389460053,5340.59710923131,6219.517476770775
E06000031,0.0,29.852546539750552,857.0403067534485,2003.722898828698,3616.135566307729,4651.95153951147,5424.591886949128
E06000032,0.0,35.10710658913056,887.0101417389229,2058.823121895068,3696.759616130472,4739.789315405973,5514.529273543873
E06000033,0.0,36.13948754521756,904.6401010974232,2102.961262916677,3780.863057832759,4855.984427561698,5655.737278842575
E06000034,0.0,34.857344394979165,764.1288391749306,1754.4271377648722,3121.686022744157,3973.828388203104,4606.248245035495
E06000035,0.0,42.19173600446129,1186.4026530411045,2776.387000159432,5017.302644161156,6466.9628056310485,7548.640271442575
E06000036,0.0,20.685090413168066,518.0812497815028,1205.0162636323869,2169.505386166765,2789.8299661517103,3251.6771061259474
E06000037,0.0,34.909444632785245,927.8396064638204,2086.91952407194,3614.0161052029466,4437.951023631504,5050.347115082741
E06000038,0.0,38.344514291761406,835.9529898648308,1913.38342385925,3391.7530782677577,4301.031545064053,4970.894762543189
E06000039,0.0,27.405537153219573,608.4423620165621,1395.1916748836045,2474.155592211293,3138.935951239185,3629.971248273834
E06000040,0.0,26.82400191438872,731.9482389629808,1697.559554770988,3038.486041188041,3877.3094887941193,4502.533329848763
E06000041,0.0,23.511980469118857,675.5602941071704,1579.776148915028,2851.2332101278444,3668.47649217191,4278.633355420401
E06000042,0.0,38.52675477207282,1099.8392275544818,2580.578912141299,4681.37432904338,6054.487401515001,7078.527999653855
E06000043,0.0,75.72360441202345,1805.557913638192,4167.598853000367,7442.823929319137,9497.310949953106,11018.27172788034
E06000044,0.0,47.528965607320735,1140.6670970519515,2636.248753615975,4714.952430324601,6025.524106333144,6996.815595640905
E06000045,0.0,70.14609194535245,1350.0785608293186,3050.6988372671144,5345.906407523152,6712.15277806528,7712.677006263253
E06000046,0.0,38.05458801756261,935.2509801391304,2142.026104112487,3791.140495049192,4784.895255228993,5523.203005448617
E06000047,0.0,81.4294080657225,3076.3499620382304,7125.883250840682,12600.100970594996,15874.549095199423,18306.822741115368
E06000049,0.0,72.79698670982978,2401.0095364007484,5468.901012445674,9529.698940520206,11825.874068476129,13521.015222861157
E06000050,0.0,63.87349359086211,2079.4532431863468,4757.298822005798,8326.628734234682,10387.063019999194,11910.563607457329
E06000051,0.0,71.62525627085378,2183.424372403016,4806.564613805066,8209.169059165382,9910.756262368495,11155.604862687473
E06000052,0.0,190.8337187271191,4554.753197576547,10027.71147896923,16953.745900359154,20266.75605988336,22711.880277358792
E06000054,0.0,111.48695367837738,2956.829530595097,6651.616581155092,11520.71215351553,14150.417843107609,16109.943437583344
E06000055,0.0,32.017695717425035,856.5232065275902,1974.706452396944,3513.920230823625,4455.521841471436,5156.578845428273
E06000056,0.0,45.50312775637077,1296.085686867509,3006.2414371124323,5378.715509458953,6854.178050523667,7955.746106233809
E06000057,0.0,66.34591605963,2332.800458569825,5223.705994988773,8956.940121499021,10891.778570677412,12305.356805365947
E06000058,0.0,96.36679077443036,2262.730865573003,5222.427628592911,9332.757573531935,11920.691349632883,13841.50915285032
E06000059,0.0,86.70149162005717,2361.1104230282267,5366.570917268456,9399.491477599307,11694.692651486312,13405.9216267239
E07000004,0.0,36.21201234988349,1045.484678253656,2384.163336663748,4184.835871325934,5215.36287293941,5984.520627456289
E07000005,0.0,15.189053628477971,453.8330757462344,1054.4719772583346,1889.3412882624543,2409.21250635886,2797.8982665211547
E07000006,0.0,9.825090636579166,312.6623915035794,734.2004245726797,1329.6821442847124,1714.0125114497546,2001.4413909953
E07000007,0.0,33.10687623383093,860.9057640230345,1982.170620674563,3524.419618572236,4466.793226424695,5169.122635031691
E07000008,0.0,24.87538825960868,614.6789033700418,1421.9812846973298,2547.1252946992604,3257.439855595416,3782.7215762573655
E07000009,0.0,16.904669468310555,515.3865499695507,1162.720886826074,2014.8923732113308,2469.826116554573,2810.0856104532286
E07000010,0.0,19.040754887360105,571.9312102784935,1300.4373685577734,2274.261370728972,2819.5988167638,3227.226050501677
E07000011,0.0,32.20562461518413,958.0165228229712,2205.7818446355263,3911.996414077711,4931.594596197818,5693.767580509368
E07000012,0.0,29.486217365317486,892.8037165380243,2021.2488765474352,3516.026561918493,4330.9345757427145,4940.680018654033
E07000026,0.0,20.71726940047524,708.8242844418976,1594.99341726411,2747.9628075520955,3362.2690477491224,3812.615283199727
E07000027,0.0,13.51716226538342,419.3340988025988,969.572901751971,1713.469579932659,2163.217423001437,2497.802941817673
E07000028,0.0,22.71973333853587,741.8466821583611,1675.4781977963544,2896.165983548356,3560.747083288023,4049.365970876963
E07000029,0.0,14.483211048836784,475.0105366451036,1080.2211328107462,1880.073195902032,2329.8315793033025,2661.7387701750063
E07000030,0.0,17.69930868769314,575.3139928429881,1235.6662846337915,2032.7691177393604,2347.660177669523,2568.672951862141
E07000031,0.0,32.38432129682973,941.3744469080588,2099.6864503724546,3590.5720115285344,4364.847884728382,4930.418290953708
E07000032,0.0,20.162374434590248,599.7478264335944,1388.9117661662806,2501.101921226161,3208.7774730130686,3737.056005354376
E07000033,0.0,10.475682058715911,368.886760393524,856.714835279098,1545.277063890089,1981.3700983186084,2307.1614299995445
E07000034,0.0,15.512913455924789,491.390338695216,1148.8990883763097,2086.750496317985,2699.0458982895125,3156.161604944372
E07000035,0.0,15.201505239068466,478.3798429285189,1073.7285354305045,1872.5865061110533,2315.990821256717,2643.3725086115505
E07000036,0.0,17.822320644936095,520.8792233781512,1212.243742395643,2192.0984367430874,2825.9293142859965,3299.116954599619
E07000037,0.0,15.90158654741894,474.1053840698854,1095.4124504167312,1967.9746717647165,2518.091653204289,2927.9354816843907
E07000038,0.0,13.98929302355498,482.87455965769897,1117.9611143088684,2010.717106273718,2571.056053259979,2989.639378335805
E07000039,0.0,14.66778409366997,466.9163464608658,1074.1965474923222,1920.4707532732025,2442.352779097381,2831.111351584298
E07000040,0.0,35.123998147482965,937.4542652705044,2118.421483230307,3691.490571784265,4564.826031574596,5213.620236761233
