CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000001,0.0,3.453131513077784,80.96501118614322,162.10908040183804,240.31757693277177,244.08599532187588,245.17994862090333
E06000002,0.0,5.823490220993867,125.8414048201487,252.14869019657337,373.6740241612439,380.808328743008,384.0414397809294
E06000003,0.0,5.736476973030154,158.7061156468056,318.4092711204329,473.0220684635006,478.35560988190207,477.6395671381608
E06000004,0.0,6.372090017583924,159.73688851260718,320.3167630248863,475.5379789252175,482.82691221962114,484.50880849555153
E06000005,0.0,4.706880526446668,117.78285231004938,236.1249840428121,350.417818927524,355.28559828017006,356.00378202381205
E06000006,0.0,4.0524455487412645,110.61804609698927,222.14096465650712,330.1860785690968,334.88609276173025,335.5348115292887
E06000007,0.0,7.262165244473783,188.1169983894684,377.9174897674773,561.6605138249631,570.5350105549619,572.5436777206855
E06000008,0.0,5.076790364722212,129.3778925854439,259.33553182534,384.8985452153666,390.2431142239969,391.0725156042665
E06000009,0.0,10.22995046522353,201.54106436190395,405.0980119653525,600.8429109394997,616.203142039637,625.8498848501872
E06000010,0.0,12.129902812611206,285.5704983411729,573.0686931756037,850.4616862740477,865.581619399222,871.3910237156125
E06000011,0.0,19.32565634017679,687.1649011661978,1382.442299819933,2059.9942664291893,2074.370490345661,2058.5408431530745
E06000012,0.0,7.104944472203687,178.65101873003223,363.2751765758693,541.1552700969283,556.0991639974342,560.0743692443668
E06000013,0.0,7.879599906933912,282.18510568133183,577.2087787503544,863.4067029358246,884.0522566165274,883.8611855600074
E06000014,0.0,10.787561053946211,243.4385328392024,487.9303132519841,723.3360761184911,735.0615903968097,738.7098128255061
E06000015,0.0,11.27431265876664,237.056911585468,472.3272205245054,699.9378658751939,712.5753052019217,728.4600686182034
E06000016,0.0,14.758545567044154,273.96759876089027,554.0499988182097,824.3330769965926,849.2284037858441,878.5877749510707
E06000017,0.0,2.2072537272325623,69.75661068790437,141.0312710654465,210.9868982100505,213.12530793823555,218.0262353575636
