GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,,,,,-0.7,-1.8,-4.1,-7.8,-14.3,-24.7,-41.3,-65.5,-98.3,-140.1,-188.8,-245.6,-304.7,-361.7,-412.1,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7,-449.7
BLYTB1,,,,,-0.1,-0.3,-0.7,-1.4,-2.5,-4.4,-7.3,-11.6,-17.5,-24.9,-33.5,-43.6,-54.1,-64.2,-73.2,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9,-79.9
BLYTH132,,,,,-0.1,-0.3,-0.6,-1.2,-2.2,-3.8,-6.4,-10.1,-15.1,-21.6,-29.1,-37.8,-46.9,-55.7,-63.5,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3,-69.3
BOAG_P,,,,,,-0.1,-0.2,-0.5,-0.8,-1.4,-2.4,-3.8,-5.8,-8.2,-11.1,-14.4,-17.9,-21.2,-24.2,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4,-26.4
BOLN_1,,,,,-0.8,-2.1,-4.6,-8.8,-16.1,-27.9,-46.7,-73.9,-110.9,-158.1,-213.1,-277.2,-343.8,-408.2,-465.1,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5,-507.5
BONN,,,,,-0.1,-0.2,-0.5,-1,-1.9,-3.3,-5.5,-8.7,-13.1,-18.7,-25.2,-32.8,-40.7,-48.3,-55,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1,-60.1
BOTW_1,,,,,-0.1,-0.3,-0.7,-1.4,-2.5,-4.4,-7.3,-11.6,-17.4,-24.8,-33.4,-43.4,-53.8,-63.9,-72.8,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5,-79.5
BRAC_P,,,,,-0.1,-0.2,-0.3,-0.6,-1.2,-2.1,-3.4,-5.4,-8.2,-11.6,-15.7,-20.4,-25.3,-30.1,-34.3,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4,-37.4
BRAI_1,,,,,-0.2,-0.4,-1,-1.8,-3.4,-5.8,-9.8,-15.5,-23.2,-33.1,-44.6,-58,-72,-85.5,-97.4,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2,-106.2
BRAP,,,,,,,-0.1,-0.1,-0.2,-0.4,-0.6,-1,-1.5,-2.1,-2.8,-3.7,-4.6,-5.4,-6.2,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8
BRAW_1,,,,,-0.5,-1.2,-2.7,-5.1,-9.4,-16.3,-27.3,-43.2,-64.9,-92.5,-124.8,-162.3,-201.3,-238.9,-272.2,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1,-297.1
BRED_1,,,,,-0.6,-0.6,-1.4,-2.6,-4.8,-8.4,-14,-22.2,-33.4,-47.6,-64.2,-83.5,-103.5,-122.9,-140,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8,-152.8
BRFO_1;CLT03,,,,,-0.8,-2.2,-4.8,-9.4,-17,-29.6,-49.4,-78.4,-117.6,-167.6,-226,-293.8,-364.4,-432.8,-493,-538,-538,-538,-538,-538,-538,-538,-538,-538,-538,-538
BRID_P,,,,,,-0.1,-0.2,-0.4,-0.7,-1.3,-2.2,-3.4,-5.1,-7.3,-9.9,-12.8,-15.9,-18.9,-21.6,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5,-23.5
BRIM_1,,,,,-0.4,-0.8,-1.8,-3.4,-6.3,-10.9,-18.2,-28.8,-43.2,-61.6,-83,-108,-133.9,-159,-181.1,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6,-197.6
BROA_P,,,,,,,-0.1,-0.1,-0.3,-0.5,-0.8,-1.2,-1.8,-2.6,-3.5,-4.6,-5.7,-6.8,-7.7,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4
