GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BICF_1,8.1,101.1,130.1,170.2,232.4,299.1,481,801.1,1277.5,1930.6,2570.4,3375,4214.1,5092.5,6486.5,7545.5,8844.7,10188.4,11523.8,12852.4,13914,15111.7,16175.8,17020.4,17594.8,17979.5,18354.6,18736.2,19189.6,19266.9
BIRK_1,9.2,116,149.2,195.3,266.6,454.3,730.8,1217,1940.8,2933,4236,5562.1,6944.9,8392.5,10689.9,13182,15451.7,17799,20132.1,22453.4,24740.6,26870.2,28762,30264.2,31285.5,31923.2,32588.9,33266.7,34071.8,34209.1
BISW_1,23.2,290.6,373.9,489.3,668.1,1018.4,1637.9,2727.8,4350,6573.9,9307.6,12221.5,15260,18440.8,23488.7,28518.1,33428.5,38506.6,43554,48575.8,53589.5,58202.5,62300.7,65554.1,67766.4,69353.4,70799.7,72272.1,74021.1,74319.6
BLYTB1,5.1,63.5,81.6,106.8,145.9,230.3,370.4,616.9,983.7,1486.6,2098.8,2755.9,3441,4158.3,5296.5,6470.3,7584.3,8736.5,9881.5,11021.1,12069.9,13108.8,14031.8,14764.6,15262.9,15554,15878.3,16208.6,16600.8,16667.7
BLYTH132,3.4,42.3,54.5,71.3,97.3,153.7,247.1,411.6,656.4,991.9,1400.4,1838.9,2296,2774.6,3534.1,4317.3,5060.6,5829.4,6593.5,7353.7,8053.6,8746.7,9362.6,9851.6,10184.2,10378.4,10594.7,10815.1,11076.7,11121.4
BOAG_P,0.7,8.6,11,14.4,19.7,27.6,44.4,73.9,117.9,178.1,237.3,311.6,389,470.2,598.9,670.1,785.5,904.8,1023.4,1141.3,1223,1328.2,1421.7,1496,1546.4,1594,1627.2,1661,1701.2,1708.2
BOLN_1,29.8,373.9,481,629.5,859.5,1362.2,2191,3648.9,5818.9,8793.7,12720.6,16703.1,20855.6,25202.8,32101.8,39715.8,46554.1,53626.3,60655.4,67649.2,74885.6,81331.6,87058.2,91604.7,94696,96567.8,98581.5,100631.7,103067,103482.7
BONN,3.8,47.5,61.1,79.9,109.1,182.5,293.5,488.9,779.6,1178.3,1654.4,2172.4,2712.4,3277.8,4175.1,4809.5,5637.7,6494.1,7345.3,8192.2,8799,9556.4,10229.4,10763.5,11126.7,11316.1,11552.1,11792.5,12077.8,12126.6
BOTW_1,4.9,61.4,79,103.4,141.1,227.2,365.4,608.4,970.3,1466.4,2127.3,2793.3,3487.8,4214.7,5368.5,6642,7785.7,8968.4,10144,11313.6,12558,13638.8,14599.3,15361.6,15880,16245.4,16584.2,16929,17338.6,17408.5
BRAC_P,1.9,23.9,30.7,40.2,54.9,87.1,140.1,233.4,372.1,562.4,776.3,1019.3,1272.7,1538,1959,2234.8,2619.6,3017.6,3413.1,3806.7,4082.4,4433.8,4746.1,4993.9,5162.4,5270.9,5381,5492.7,5625.6,5648.5
BRAI_1,12.6,158.6,204.1,267,364.6,505.3,812.7,1353.4,2158.3,3261.7,4482.5,5885.9,7349.1,8880.9,11312.1,13467.1,15785.8,18184,20567.4,22938.9,25107.7,27268.8,29188.9,30713.2,31749.8,32493.5,33171.1,33860.9,34680.5,34820.3
BRAP,2,25.1,32.3,42.3,57.7,96.3,154.8,257.8,411.1,621.3,872.2,1145.2,1430,1728,2201.1,2536.3,2973,3424.5,3873.5,4320.1,4641,5040.7,5395.5,5677.3,5868.9,5969.5,6094.1,6220.8,6371.3,6396.9
BRAW_1,15.6,195.6,251.7,329.4,449.7,793.6,1276.3,2125.6,3389.8,5122.8,7445.4,9776.3,12206.8,14751.2,18789.2,23321.1,27336.7,31489.3,35616.9,39723.5,43960.6,47744.7,51106.4,53775.4,55590.1,56967.8,58155.9,59365.4,60801.8,61047.1
BRED_1,10.2,128.2,164.9,215.8,294.7,502.3,807.9,1345.5,2145.6,3242.6,4669.5,6131.4,7655.8,9251.5,11784.1,14532.4,17034.6,19622.5,22194.5,24753.5,27399.7,29758.3,31853.5,33517,34648.3,35614,36356.6,37112.7,38010.9,38164.1
BRFO_1;CLT03,24.5,306.8,394.7,516.6,705.4,994.8,1600.1,2664.8,4249.5,6422,8899.3,11685.4,14590.5,17631.9,22458.3,26935.2,31573.1,36369.3,41136.6,45879.8,50432.7,54773.9,58630.8,61692.6,63774.5,65431.7,66796.1,68185.4,69835.3,70117.1
BRID_P,1.5,19.1,24.6,32.2,44,69.8,112.3,186.9,298.1,450.4,621.8,816.5,1019.4,1231.9,1569.2,1790,2098.2,2416.9,2733.7,3049,3269.7,3551.3,3801.3,3999.9,4134.8,4221.9,4309.8,4399.6,4505.8,4524.1
BRIM_1,5.2,65.4,84.1,110.1,150.3,250.5,403,671.1,1070.1,1617.2,2357.2,3095,3864.5,4670.1,5948.5,7373.4,8642.9,9955.8,11260.8,12559.2,13983.4,15186.9,16256.2,17105.2,17682.5,18153.2,18531.7,18917.2,19374.9,19453.1
BROA_P,0.4,5.2,6.7,8.7,11.9,16.6,26.8,44.6,71.1,107.4,143.1,187.9,234.6,283.6,361.1,404.2,473.7,545.7,617.1,688.5,737.5,801,857.5,902.2,932.7,961.3,981.5,1001.7,1026.1,1030.2
BROR_P,0.2,2.5,3.2,4.2,5.7,6.5,10.4,17.4,27.7,41.8,51.7,67.9,84.8,102.4,130.6,139.6,163.8,188.5,213.3,237.9,254.9,276.8,296.3,311.8,322.3,340,347.1,354.4,362.9,364.5
BROX,3.5,43.8,56.3,73.7,100.6,167.7,269.8,449.3,716.6,1082.9,1520.3,1996.2,2492.5,3012.1,3836.7,4420.8,5182,5969.2,6751.6,7530.1,8089.7,8786.1,9404.6,9895.9,10229.9,10405.3,10622.3,10843.2,11105.7,11150.3
BRWA1,10.1,126.5,162.7,213,290.8,400.3,643.8,1072.2,1709.9,2584,3553.3,4665.7,5825.6,7040,8967.1,10745.3,12595.5,14508.9,16410.6,18302.7,19969.7,21688.6,23215.9,24428.2,25252.5,25711.9,26248.2,26794.1,27442.3,27553.2
BUMU_P,3.4,42.4,54.5,71.3,97.4,154.5,248.5,413.9,660,997.4,1376.8,1807.8,2257.2,2727.7,3474.4,3963.4,4645.9,5351.6,6053.1,6751,7240,7863.3,8416.9,8856.4,9155.2,9347.8,9542.8,9741.4,9977.1,10017.2
BURM_1,15.6,195.2,251.2,328.7,448.9,640.3,1029.8,1715.1,2735,4133.3,5698.3,7482.3,9342.5,11289.8,14380.3,17147.4,20100,23153.5,26188.3,29207.9,31975.8,34728.2,37173.6,39114.8,40434.9,41395.7,42258.9,43137.9,44181.7,44360
BUSH_1,5.9,74.3,95.7,125.2,170.9,260.5,419,697.8,1112.8,1681.7,2380.9,3126.3,3903.6,4717.3,6008.6,7295,8551.2,9850.2,11141.3,12425.9,13708.6,14888.5,15936.8,16769.2,17335,17741,18111.1,18487.7,18935.1,19011.3
BUST_1,7.9,98.9,127.3,166.6,227.5,361.6,581.5,968.5,1544.5,2334.1,3344.5,4391.5,5483.3,6626.3,8440.2,10328.4,12106.8,13945.9,15773.9,17592.9,19479.3,21156.2,22645.9,23828.4,24632.5,25243,25769.4,26305.1,26941.8,27050.5
CAAD_P,0.5,6.8,8.7,11.4,15.6,16.2,26.1,43.4,69.3,104.7,122.7,161.1,201.1,243.1,309.6,319,373.9,430.7,487.1,543.3,578.7,628.4,672.7,707.8,731.8,786.1,802.3,819.1,838.9,842.2
CAMB_01,1.2,15.6,20.1,26.3,35.9,50.9,81.8,136.2,217.3,328.3,448.2,588.4,734.7,887.9,1130.9,1348.3,1580.5,1820.5,2059.2,2296.6,2496.1,2711.2,2902,3053.5,3156.6,3221.3,3288.5,3357,3438.2,3452
CANTN1;RICH1;RICH_J,11.8,147.8,190.2,248.9,339.9,568.8,914.8,1523.4,2429.5,3671.5,5364.8,7044.3,8795.6,10628.9,13538.5,16791.5,19682.7,22672.6,25644.4,28601.5,31809.7,34547.8,36980.3,38911.6,40224.8,41210.7,42070.1,42945.1,43984.4,44161.7
CAPEA1,7,87.8,112.9,147.7,201.7,343.7,552.9,920.8,1468.3,2219,3204.8,4208.2,5254.4,6349.6,8087.8,9973.2,11690.6,13466.4,15231.6,16987.8,18718.2,20329.4,21760.8,22897.4,23670,24152.5,24656.1,25169.1,25778.1,25882.1
CARE_1,3.1,39.5,50.8,66.5,90.8,163.4,262.9,437.8,698.2,1055.1,1611.3,2115.7,2641.6,3192.3,4066.1,5121.1,6003,6914.7,7821.2,8723,9836.1,10682.8,11435,12032.1,12438.1,12582.3,12844.6,13111.8,13429.1,13483.2
CARR_1,8.5,106.6,137.1,179.4,245,417.6,671.7,1118.6,1783.8,2695.9,3882.2,5097.6,6365,7691.7,9797.1,12082.1,14162.5,16314,18452.4,20579.9,22779.9,24740.8,26482.8,27865.9,28806.2,29609.1,30226.6,30855.4,31602,31729.3
CASS_P,,0.3,0.4,0.5,0.7,0.8,1.3,2.2,3.4,5.2,6.5,8.5,10.6,12.8,16.3,17.4,20.5,23.5,26.6,29.7,31.8,34.5,37.1,39,40.3,42.5,43.4,44.2,45.3,45.6
CATY,1.3,16.9,21.8,28.5,38.9,64.8,104.2,173.5,276.7,418.1,587.1,770.9,962.5,1163.1,1481.5,1707.1,2001,2305,2607.1,2907.7,3123.9,3392.6,3631.5,3821.3,3950.2,4017.9,4101.8,4187,4288.3,4305.7
CEAN_P,0.1,0.8,1,1.3,1.8,2.5,4,6.7,10.6,16,21.3,28,35,42.2,53.7,60.2,70.6,81.3,91.9,102.5,109.8,119.3,127.8,134.4,138.8,143.2,146.1,149.1,152.8,153.4
CELL_1,16.7,209.4,269.4,352.5,481.3,760.2,1222.7,2036.4,3247.4,4907.6,7013.1,9208.7,11498,13894.7,17698.3,21596.3,25314.8,29160.4,32982.7,36785.6,40545.7,44035.8,47136.4,49598.1,51271.8,52297.2,53388,54498.2,55817,56042.1
CHAP,2.6,33,24.6,32.2,43.9,73.2,117.8,196.1,312.8,472.7,663.6,871.3,1088,1314.7,1674.7,1929.6,2261.9,2605.5,2947,3286.8,3531.1,3835,4105.1,4319.4,4465.2,4541.8,4636.5,4732.9,4847.5,4866.9
CHAR_P,1,12.4,16,20.9,28.5,45.2,72.7,121.1,193.2,291.9,403,529,660.6,798.3,1016.8,1159.9,1359.7,1566.1,1771.4,1975.7,2118.7,2301.1,2463.3,2591.9,2679.3,2735.7,2792.8,2850.8,2919.7,2931.6
CHAS,1.3,16.9,21.7,28.4,38.8,64.6,103.9,173,275.9,417,585.4,768.7,959.8,1159.9,1477.3,1702.2,1995.3,2298.4,2599.7,2899.6,3115.1,3383.2,3621.3,3810.5,3939.1,4006.7,4090.1,4175.2,4276.4,4293.5
CHIC_1,4.3,54.5,70.1,91.7,125.2,184.2,296.4,493.5,787,1189.4,1677.4,2202.5,2750.2,3323.4,4233.2,5151.8,6038.9,6956.3,7868.1,8775.2,9658.1,10489.4,11228,11814.3,12213.1,12459.8,12719.6,12984.1,13298.4,13351.8
CHSI_1,14.5,182,234.1,306.4,418.3,726.5,1168.4,1945.9,3103.2,4689.6,6896.7,9055.8,11307.1,13664.1,17404.4,21694.7,25430.2,29293.3,33133,36953.3,41174.8,44719.1,47867.9,50367.7,52067.4,53389,54502.3,55635.8,56982.3,57212.1
CHTE_1,15.3,191.8,246.7,322.9,440.9,779.2,1253.3,2087.2,3328.5,5030.1,7361.1,9665.5,12068.6,14584.2,18576.4,23017.1,26980.2,31078.9,35152.6,39205.7,43371,47104.1,50420.9,53053.9,54844.4,55992.4,57160.2,58348.9,59761,60001.8
CITR_1,15,188.6,242.6,317.5,433.5,687.4,1105.6,1841.3,2936.4,4437.5,6260.1,8219.9,10263.5,12402.9,15798,19285.4,22606.1,26040.1,29453.3,32849.4,36468.9,39608.1,42396.8,44610.9,46116.5,47670.3,48664.6,49676.6,50878.6,51083.8
CLAY_P,0.7,9.2,11.8,15.4,21.1,33.4,53.6,89.4,142.5,215.4,297.1,390.1,487.1,588.6,749.7,855.2,1002.4,1154.6,1305.9,1456.6,1562.2,1696.8,1816.3,1911,1975.6,2018,2060.1,2102.8,2153.7,2162.6
CLYM,4.5,56.1,72.1,94.4,128.8,214.8,345.4,575.2,917.3,1386.3,1946.2,2555.6,3191,3856.1,4911.5,5659.4,6633.8,7641.6,8643.3,9639.9,10356.3,11247.8,12039.7,12668.5,13096,13320.7,13598.6,13881.2,14217.2,14274.5
COAT,3.8,47.3,60.9,79.7,108.8,181.3,291.7,485.7,774.5,1170.5,1643.3,2157.7,2694.2,3255.7,4147.1,4778.4,5601.2,6452.1,7297.8,8139.2,8744.3,9497,10165.7,10696.5,11057.5,11247.1,11481.8,11720.6,12004,12052.5
COCK,3.1,39.1,50.3,65.8,89.8,149.7,240.7,400.9,639.4,966.2,1356.6,1781.3,2224.1,2687.6,3423.4,3944.6,4623.8,5326.2,6024.4,6718.9,7218.3,7839.7,8391.8,8830,9128,9284.6,9478.1,9675.2,9909.4,9949.3
CONQA1;SASA,8.6,107.4,138.2,180.8,246.9,375.1,603.3,1004.8,1602.4,2421.7,3486,4577.2,5715.1,6906.4,8796.9,10718.2,12563.6,14472.3,16369,18256.6,20273.8,22019,23569.3,24800.2,25637.3,25939.5,26480.5,27031.2,27685.4,27796.9
COUA_P,1.2,15.5,19.9,26,35.5,56.4,90.7,151,240.9,364.1,502.4,659.8,823.8,995.5,1268.1,1446.6,1695.5,1953.2,2209.2,2464,2642.4,2869.8,3072,3232.3,3341.5,3411.7,3482.9,3555.3,3641.2,3656
COVE_1,15.7,197.3,253.8,332.1,453.4,720.8,1159.3,1930.7,3078.9,4653,6667.3,8754.6,10931.1,13209.6,16825.5,20590,24135.2,27801.6,31445.8,35071.6,38832.6,42175.3,45144.8,47502.4,49105.6,50322.2,51371.7,52440.1,53709,53925.6
