GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BLYTH132,250.2,245.9,244.3,245.4,246.1,248.8,253.0,260.6,270.3,279.1,289.3,302.8,319.6,337.4,358.1,382.1,409.3,434.6,457.6,476.6,493.4,509.5,521.3,528.6,534.6,538.8,543.6,549.0,553.8,556.5,
BLYTB1,2164.2,2096.6,2045.1,2013.1,1979.6,1961.7,1946.0,1947.0,1952.0,1956.6,1969.5,1988.7,2023.7,2057.1,2106.1,2150.9,2195.9,2233.9,2265.4,2292.3,2313.0,2324.4,2323.0,2315.0,2313.5,2314.6,2309.0,2304.8,2298.7,2289.0,
BRAW_1,1708.9,1666.2,1640.5,1631.2,1619.2,1621.6,1629.6,1654.1,1685.0,1717.7,1764.4,1820.3,1893.9,1969.4,2057.4,2178.0,2287.9,2388.8,2480.1,2554.6,2640.3,2701.0,2742.0,2765.4,2785.5,2814.0,2830.4,2849.8,2867.0,2878.1,
CAMB_01,149.2,146.7,145.4,145.8,145.9,146.8,148.2,151.5,155.8,159.7,164.2,170.2,178.0,186.5,197.4,208.4,221.8,234.1,245.1,254.6,262.0,269.5,274.4,277.0,279.4,280.6,282.0,283.6,284.9,284.5,
CREB_1,2081.4,2026.0,1990.1,1974.2,1955.2,1953.7,1960.2,1988.7,2028.7,2061.3,2104.3,2161.9,2239.5,2318.6,2412.3,2515.6,2627.2,2728.9,2820.5,2895.5,2959.4,3016.2,3052.1,3070.4,3087.6,3100.5,3112.7,3127.9,3140.6,3147.1,
DRAX_1,544.8,530.6,520.7,515.8,509.9,507.1,505.1,507.7,511.3,514.7,519.3,527.0,539.0,551.2,568.4,583.8,604.0,622.2,638.4,652.3,661.2,671.0,676.8,680.1,684.0,685.8,688.3,691.0,693.0,692.5,
ELLA_1,1340.9,1306.3,1284.5,1276.1,1266.3,1268.5,1276.6,1300.2,1332.6,1360.5,1399.7,1446.5,1507.7,1570.9,1644.4,1743.2,1833.2,1915.7,1989.9,2050.6,2120.2,2169.0,2201.1,2217.9,2232.3,2253.6,2264.6,2278.1,2289.9,2296.6,
FERRA2,394.0,384.8,379.3,377.9,376.6,378.4,381.2,387.9,396.0,406.6,420.1,436.8,458.4,481.1,508.2,540.6,571.4,599.2,623.7,644.2,666.2,681.6,690.5,693.1,695.5,700.3,700.9,702.3,703.1,701.8,
Ferrybridge B (_M),436.3,434.2,439.1,449.2,458.8,471.4,484.4,498.2,507.0,537.1,572.4,616.1,668.5,724.2,785.1,864.3,940.1,1010.0,1073.3,1124.8,1181.5,1224.8,1254.7,1269.3,1279.9,1295.3,1303.0,1312.8,1321.9,1327.1,
FOUR_1,109.0,106.6,105.3,105.1,104.6,105.0,105.9,108.2,111.2,113.9,117.1,121.5,127.0,132.8,139.5,145.7,153.1,159.9,165.8,170.8,174.2,177.7,179.6,180.1,180.6,180.0,180.0,180.2,180.2,179.9,
GRIW_1,956.2,930.1,911.8,902.6,892.3,888.3,887.3,895.4,907.5,917.2,931.7,950.8,978.4,1006.5,1042.7,1085.9,1128.2,1166.4,1200.4,1228.8,1258.5,1279.6,1292.3,1298.5,1305.2,1315.5,1320.0,1325.5,1329.7,1330.4,
HARM_6,414.0,402.7,394.9,391.2,387.3,386.9,387.8,393.1,400.8,407.0,415.9,426.9,441.9,457.5,476.4,502.0,526.0,548.1,568.0,584.3,602.7,616.1,625.3,631.0,635.9,643.0,647.2,651.9,656.1,658.5,
HAWP_6,407.1,396.2,388.9,385.8,382.9,383.2,385.1,391.5,400.4,407.6,417.9,430.4,447.1,464.7,485.7,516.2,545.2,572.3,597.1,617.1,640.3,658.2,671.7,681.4,689.4,699.9,707.2,715.2,722.6,727.7,
JORD_3,190.3,186.9,184.7,184.7,184.5,185.7,186.7,189.6,193.2,197.0,202.5,208.7,217.2,226.5,239.0,257.0,274.3,290.5,305.1,317.5,332.2,343.3,351.5,357.3,362.1,368.9,372.9,377.2,380.9,382.2,
KEAD_1,1261.2,1229.5,1209.0,1201.0,1191.5,1191.8,1197.0,1216.3,1243.3,1265.8,1295.3,1333.5,1384.7,1437.7,1502.2,1573.7,1649.4,1718.2,1779.5,1830.7,1877.2,1915.8,1939.4,1950.1,1960.4,1969.5,1975.5,1983.3,1989.3,1989.9,
KIRKB1,980.2,957.6,944.6,940.5,933.7,933.0,932.5,937.1,938.9,951.1,970.1,993.1,1024.9,1057.2,1096.8,1154.6,1207.3,1256.0,1300.6,1337.2,1380.9,1411.9,1434.1,1449.8,1463.5,1482.6,1494.9,1508.3,1520.2,1528.2,
KNAR,715.7,698.7,688.5,685.3,680.6,681.2,684.4,695.1,709.1,721.5,737.8,759.3,787.8,817.4,853.0,890.5,935.1,976.3,1013.7,1044.5,1068.0,1092.5,1109.2,1119.4,1128.5,1131.6,1138.5,1146.3,1153.1,1156.5,
LACK_6,769.6,747.2,731.1,722.6,714.1,710.9,711.2,719.8,732.9,743.1,756.3,774.6,800.1,826.3,858.8,895.8,931.4,963.1,990.8,1013.8,1038.2,1054.3,1062.6,1064.3,1066.9,1073.9,1074.5,1076.1,1077.0,1075.5,
NEEP_3,319.2,312.6,308.8,308.2,307.3,309.0,311.1,316.4,323.0,330.2,340.2,352.0,367.4,383.8,404.0,431.5,457.2,480.8,502.1,520.0,540.6,555.4,565.6,571.5,576.6,584.3,588.1,592.5,596.3,597.6,
NORT_1,1943.7,1894.7,1863.5,1851.0,1835.8,1836.8,1844.4,1873.4,1913.7,1947.6,1995.8,2054.4,2132.8,2213.5,2311.0,2437.8,2555.5,2662.8,2759.1,2839.0,2927.7,2990.3,3030.3,3050.6,3069.4,3097.7,3111.1,3127.4,3140.9,3146.4,
NORL_3,228.3,223.8,221.2,221.0,220.4,221.6,222.8,226.2,230.4,234.6,240.7,247.9,257.4,267.8,280.9,301.5,320.9,339.3,356.1,370.1,387.1,400.1,410.2,418.1,424.6,433.5,439.5,445.8,451.5,455.0,
OFFE_3,218.1,212.4,208.6,206.8,204.9,204.6,204.9,207.4,210.9,213.8,218.1,223.4,230.8,238.3,247.7,261.0,273.4,285.0,295.6,304.2,314.1,321.5,326.8,330.6,333.8,338.2,341.1,344.3,347.2,349.0,
OSBA_1,1322.8,1291.1,1272.9,1267.7,1260.0,1262.6,1271.9,1295.8,1327.1,1355.7,1392.1,1439.5,1501.2,1564.7,1638.2,1720.4,1810.0,1892.3,1966.7,2027.6,2080.9,2128.8,2160.5,2177.4,2192.1,2201.7,2212.4,2225.4,2236.7,2242.9,
PITS_3,197.3,193.3,191.0,190.5,189.3,189.5,189.7,191.6,193.9,196.1,199.6,203.8,209.8,216.1,224.5,237.4,249.5,260.9,271.4,280.2,290.8,298.8,304.8,309.5,313.7,319.5,323.4,327.3,330.8,332.8,
POPP_3,185.1,182.4,181.4,182.2,182.4,183.3,184.6,187.8,191.5,195.1,199.7,205.6,213.5,222.1,233.4,246.7,263.1,278.7,293.1,305.2,315.5,326.4,334.9,341.7,347.3,351.0,355.9,360.9,365.4,367.7,
SALT_1,303.5,296.8,292.8,291.7,290.1,290.5,291.9,296.7,303.2,308.7,315.9,325.2,337.6,350.6,367.0,385.9,405.9,424.4,440.9,454.9,468.2,479.3,486.5,490.5,494.2,497.8,500.4,503.3,505.6,506.0,
SALH_1,1041.6,1010.4,987.2,973.0,957.0,947.7,939.5,939.1,940.0,940.7,945.0,952.2,966.6,979.9,1000.4,1020.8,1039.3,1054.6,1067.3,1078.6,1089.4,1093.6,1092.2,1088.4,1088.0,1091.5,1089.5,1087.9,1085.2,1080.9,
SHEC_3,311.7,305.5,302.2,301.6,299.3,299.3,299.2,301.6,304.4,307.1,311.7,317.4,325.5,333.9,345.2,363.0,379.4,394.8,409.0,421.1,435.7,446.4,454.4,461.0,466.9,475.3,480.7,486.3,491.1,494.1,
SKLGB1,2331.1,2267.5,2225.0,2204.0,2179.2,2171.3,2165.9,2175.8,2185.0,2206.8,2243.3,2288.3,2353.0,2417.8,2497.8,2609.0,2709.6,2801.6,2884.8,2952.3,3030.7,3084.9,3121.3,3144.9,3166.8,3199.0,3218.1,3240.0,3259.2,3272.0,
