GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,,4.599,4.814,5.028,5.228,5.52,5.847,6.18,6.719,7.367,7.984,8.558,8.845,9.101,9.427,10.157,10.783,11.057,11.339,11.47,12.061,12.63,12.6,12.539,12.439,12.982,13.829,13.994,14.164,14.312,14.477
ABNE_P,,0.604,0.644,0.68,0.707,0.768,0.814,0.863,0.946,1.036,1.123,1.204,1.244,1.28,1.326,1.428,1.516,1.555,1.595,1.613,1.696,1.776,1.772,1.764,1.75,1.826,1.945,1.969,1.993,2.013,2.037
ABTH_1,,4.687,4.907,5.125,5.33,5.627,5.96,6.299,6.849,7.509,8.138,8.723,9.016,9.277,9.609,10.354,10.992,11.271,11.559,11.692,12.294,12.874,12.843,12.781,12.679,13.233,14.097,14.265,14.438,14.589,14.757
ACTL_2,,0.473,0.495,0.517,0.538,0.568,0.602,0.636,0.691,0.758,0.822,0.881,0.91,0.937,0.97,1.045,1.11,1.138,1.167,1.18,1.241,1.3,1.297,1.29,1.28,1.336,1.423,1.44,1.458,1.473,1.49
ACTL_C,,0.702,0.735,0.767,0.798,0.843,0.892,0.943,1.026,1.124,1.219,1.306,1.35,1.389,1.439,1.55,1.646,1.688,1.731,1.751,1.841,1.928,1.923,1.914,1.899,1.982,2.111,2.136,2.162,2.185,2.21
ALNE_P,,0.434,0.463,0.488,0.508,0.552,0.585,0.62,0.68,0.745,0.807,0.865,0.894,0.92,0.953,1.027,1.09,1.118,1.146,1.159,1.219,1.277,1.274,1.268,1.258,1.313,1.398,1.415,1.432,1.447,1.464
ALST_3,,0.031,0.033,0.034,0.035,0.037,0.04,0.042,0.046,0.05,0.054,0.058,0.06,0.062,0.064,0.069,0.073,0.075,0.077,0.078,0.082,0.086,0.085,0.085,0.084,0.088,0.094,0.095,0.096,0.097,0.098
ALVE1,,3.962,4.148,4.332,4.504,4.756,5.037,5.324,5.788,6.346,6.878,7.372,7.62,7.841,8.121,8.751,9.29,9.526,9.769,9.881,10.39,10.881,10.855,10.802,10.716,11.184,11.914,12.056,12.202,12.33,12.472
AMEM_1,,1.414,1.48,1.546,1.607,1.697,1.797,1.9,2.065,2.265,2.454,2.631,2.719,2.798,2.898,3.122,3.315,3.399,3.486,3.526,3.708,3.883,3.873,3.855,3.824,3.991,4.251,4.302,4.354,4.4,4.45
ARBR_P,,0.604,0.644,0.679,0.707,0.768,0.813,0.863,0.946,1.036,1.123,1.203,1.243,1.279,1.325,1.428,1.516,1.554,1.594,1.613,1.696,1.776,1.772,1.763,1.749,1.826,1.945,1.968,1.992,2.013,2.036
ARDK_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMO_P,,0.349,0.372,0.393,0.408,0.444,0.47,0.499,0.546,0.598,0.649,0.695,0.718,0.739,0.766,0.825,0.876,0.898,0.921,0.932,0.98,1.026,1.023,1.019,1.01,1.055,1.124,1.137,1.151,1.163,1.176
AXMI1,,3.578,3.746,3.913,4.068,4.296,4.549,4.809,5.228,5.732,6.213,6.659,6.882,7.082,7.336,7.904,8.391,8.604,8.824,8.925,9.385,9.828,9.804,9.757,9.679,10.102,10.761,10.89,11.021,11.136,11.265
AYRR,,0.974,1.038,1.096,1.14,1.239,1.312,1.392,1.525,1.671,1.81,1.94,2.005,2.063,2.137,2.302,2.444,2.507,2.571,2.6,2.735,2.864,2.857,2.843,2.821,2.944,3.136,3.174,3.212,3.246,3.284
BAGA,,0.735,0.783,0.826,0.86,0.934,0.989,1.05,1.15,1.26,1.365,1.464,1.513,1.556,1.612,1.737,1.844,1.891,1.939,1.962,2.063,2.16,2.155,2.145,2.128,2.221,2.366,2.394,2.423,2.448,2.477
