GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BICF_1,,0.0,0.0,0.0,0.0,0.3,0.7,1.5,3.0,5.6,9.9,16.6,26.2,39.8,57.2,77.9,100.5,122.4,142.2,158.4,168.3,173.4,174.6,172.2,166.7,160.3,153.0,144.5,134.9,123.9,111.5
BIRK_1,,0.0,0.0,0.0,0.0,0.5,1.3,2.8,5.6,10.4,18.4,30.9,49.0,74.3,106.9,145.5,187.6,228.6,265.5,295.9,314.2,323.8,326.0,321.5,311.3,299.4,285.7,269.9,251.8,231.3,208.2
BISW_1,,0.0,0.0,0.0,0.0,1.3,2.9,6.2,12.6,23.3,41.2,69.2,109.6,166.4,239.3,325.7,419.9,511.6,594.2,662.2,703.2,724.8,729.6,719.6,696.7,670.1,639.3,604.0,563.6,517.7,465.9
BLYTB1,,0.0,0.0,0.0,0.0,0.3,0.7,1.4,2.9,5.3,9.4,15.9,25.1,38.1,54.8,74.6,96.2,117.2,136.1,151.7,161.1,166.0,167.1,164.8,159.6,153.5,146.5,138.4,129.1,118.6,106.7
BLYTH132,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,1.0,1.9,3.3,5.5,8.8,13.3,19.1,26.1,33.6,40.9,47.5,53.0,56.3,58.0,58.4,57.6,55.8,53.6,51.2,48.3,45.1,41.4,37.3
BOAG_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.8,1.3,2.0,3.1,4.4,6.0,7.8,9.5,11.0,12.3,13.1,13.5,13.5,13.4,12.9,12.4,11.9,11.2,10.5,9.6,8.7
BOLN_1,,0.0,0.0,0.0,0.0,1.7,3.9,8.3,16.8,31.2,55.1,92.6,146.7,222.6,320.1,435.8,561.8,684.6,795.1,886.1,941.0,969.8,976.3,962.8,932.3,896.7,855.5,808.2,754.1,692.8,623.4
BONN,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.5,2.7,4.6,7.3,11.1,15.9,21.7,27.9,34.0,39.5,44.0,46.8,48.2,48.5,47.9,46.3,44.6,42.5,40.2,37.5,34.4,31.0
BOTW_1,,0.0,0.0,0.0,0.0,0.3,0.8,1.8,3.6,6.8,11.9,20.1,31.8,48.3,69.4,94.4,121.8,148.4,172.3,192.0,203.9,210.2,211.6,208.7,202.1,194.3,185.4,175.2,163.4,150.1,135.1
BRAC_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.6,2.8,4.7,7.5,11.4,16.4,22.3,28.8,35.1,40.7,45.4,48.2,49.7,50.0,49.3,47.8,46.0,43.8,41.4,38.6,35.5,31.9
BRAI_1,,0.0,0.0,0.0,0.0,0.7,1.7,3.7,7.5,13.9,24.5,41.2,65.3,99.1,142.5,194.0,250.1,304.7,353.9,394.4,418.8,431.7,434.6,428.6,415.0,399.1,380.8,359.7,335.7,308.4,277.5
BRAP,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.1,1.9,3.2,5.0,7.6,10.9,14.9,19.2,23.4,27.2,30.3,32.1,33.1,33.4,32.9,31.8,30.6,29.2,27.6,25.8,23.7,21.3
BRAW_1,,0.0,0.0,0.0,0.0,0.8,1.8,3.9,8.0,14.8,26.1,43.9,69.5,105.5,151.8,206.6,266.4,324.5,376.9,420.1,446.1,459.8,462.8,456.5,442.0,425.1,405.6,383.1,357.5,328.4,295.6
BRED_1,,0.0,0.0,0.0,0.0,1.2,3.0,6.6,13.3,24.6,43.6,73.2,115.9,175.9,252.9,344.3,443.8,540.8,628.1,700.0,743.4,766.1,771.3,760.6,736.5,708.4,675.8,638.4,595.8,547.3,492.5
BRFO_1,,0.0,0.0,0.0,0.0,1.3,3.2,6.9,14.0,25.9,45.8,76.9,121.8,184.9,265.9,361.9,466.6,568.5,660.2,735.8,781.4,805.3,810.7,799.5,774.2,744.6,710.4,671.1,626.2,575.3,517.7
BRID_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.4,2.5,4.2,6.7,10.1,14.6,19.8,25.6,31.2,36.2,40.3,42.8,44.1,44.4,43.8,42.4,40.8,38.9,36.8,34.3,31.5,28.4
BRIM_1,,0.0,0.0,0.0,0.0,0.4,0.8,1.6,3.3,6.2,10.9,18.4,29.1,44.1,63.4,86.3,111.3,135.6,157.5,175.6,186.5,192.2,193.4,190.8,184.7,177.7,169.5,160.1,149.4,137.3,123.5
BRLE_1,,0.0,0.0,0.0,0.0,0.5,1.0,1.9,3.8,7.0,12.4,20.8,33.0,50.1,72.0,98.0,126.3,153.9,178.8,199.3,211.6,218.1,219.5,216.5,209.6,201.6,192.4,181.7,169.6,155.8,140.2
BROA_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.0,1.7,2.7,4.2,6.0,8.1,10.5,12.8,14.8,16.5,17.5,18.1,18.2,17.9,17.4,16.7,15.9,15.1,14.1,12.9,11.6
BROR_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,0.8,1.2,1.8,2.6,3.6,4.6,5.7,6.6,7.3,7.8,8.0,8.1,8.0,7.7,7.4,7.1,6.7,6.2,5.7,5.2
BROX,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.1,2.0,3.3,5.3,8.0,11.5,15.7,20.3,24.7,28.7,31.9,33.9,35.0,35.2,34.7,33.6,32.3,30.8,29.1,27.2,25.0,22.5
BRWA1,,0.0,0.0,0.0,0.0,0.5,1.3,2.9,5.8,10.8,19.2,32.2,51.0,77.4,111.3,151.5,195.3,237.9,276.3,308.0,327.0,337.1,339.3,334.6,324.0,311.6,297.3,280.9,262.1,240.8,216.7
BUMU_P,,0.0,0.0,0.0,0.0,0.1,0.3,0.7,1.4,2.7,4.7,7.9,12.6,19.0,27.4,37.3,48.1,58.6,68.0,75.8,80.5,83.0,83.5,82.4,79.8,76.7,73.2,69.1,64.5,59.3,53.3
BURM_1,,0.0,0.0,0.0,0.0,0.7,1.6,3.5,7.0,13.0,22.9,38.6,61.1,92.7,133.2,181.4,233.8,284.9,330.9,368.8,391.6,403.6,406.3,400.7,388.0,373.2,356.0,336.3,313.9,288.3,259.5
BUSH_1,,0.0,0.0,0.0,0.0,0.5,1.0,2.1,4.2,7.8,13.8,23.2,36.8,55.8,80.3,109.3,140.9,171.7,199.4,222.2,236.0,243.2,244.9,241.5,233.8,224.9,214.6,202.7,189.1,173.8,156.4
BUST_1,,0.0,0.0,0.0,0.0,0.6,1.3,2.8,5.6,10.4,18.5,31.1,49.2,74.6,107.3,146.1,188.3,229.4,266.5,297.0,315.4,325.0,327.2,322.7,312.5,300.5,286.7,270.9,252.8,232.2,209.0
CAAD_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.6,1.1,1.9,3.0,4.6,6.6,9.0,11.6,14.1,16.4,18.3,19.4,20.0,20.1,19.8,19.2,18.5,17.6,16.7,15.5,14.3,12.8
CAFA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMB_01,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.7,3.0,5.1,8.1,12.2,17.6,24.0,30.9,37.7,43.7,48.7,51.8,53.3,53.7,53.0,51.3,49.3,47.1,44.5,41.5,38.1,34.3
CANTN1,,0.0,0.0,0.0,0.0,0.3,0.7,1.4,2.8,5.2,9.2,15.5,24.5,37.3,53.6,72.9,94.0,114.5,133.0,148.3,157.4,162.3,163.4,161.1,156.0,150.0,143.1,135.2,126.2,115.9,104.3
CAPEA1,,0.0,0.0,0.0,0.0,0.4,0.9,1.9,3.9,7.3,12.8,21.6,34.1,51.8,74.5,101.4,130.7,159.3,185.0,206.2,219.0,225.7,227.2,224.1,217.0,208.7,199.1,188.1,175.5,161.2,145.1
CARE_1,,0.0,0.0,0.0,0.0,0.3,0.7,1.5,3.1,5.8,10.2,17.2,27.2,41.3,59.4,80.8,104.2,126.9,147.4,164.3,174.5,179.8,181.0,178.5,172.9,166.3,158.6,149.9,139.8,128.5,115.6
CARR_1,,0.0,0.0,0.0,0.0,0.5,1.2,2.6,5.3,9.9,17.5,29.4,46.5,70.6,101.5,138.1,178.1,217.0,252.0,280.9,298.3,307.4,309.5,305.2,295.5,284.2,271.2,256.2,239.0,219.6,197.6
CASS_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.7,1.0,1.5,2.0,2.6,3.1,3.6,4.0,4.3,4.4,4.5,4.4,4.3,4.1,3.9,3.7,3.4,3.2,2.8
CATY,,0.0,0.0,0.0,0.0,0.1,0.4,0.8,1.6,3.0,5.4,9.0,14.3,21.7,31.2,42.5,54.8,66.7,77.5,86.4,91.7,94.6,95.2,93.9,90.9,87.4,83.4,78.8,73.5,67.5,60.8
CBNK_H,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEAN_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2
CELL_1,,0.0,0.0,0.0,0.0,1.0,2.2,4.5,9.0,16.7,29.5,49.6,78.6,119.3,171.5,233.5,301.0,366.8,426.0,474.7,504.2,519.6,523.1,515.9,499.5,480.4,458.4,433.0,404.1,371.2,334.0
CHAP,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.7,1.3,2.2,3.4,5.2,7.5,10.2,13.2,16.1,18.7,20.8,22.1,22.8,22.9,22.6,21.9,21.1,20.1,19.0,17.7,16.3,14.6
CHAR_P,,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.6,1.0,1.9,3.1,4.9,7.5,10.8,14.7,18.9,23.1,26.8,29.8,31.7,32.7,32.9,32.4,31.4,30.2,28.8,27.2,25.4,23.3,21.0
CHAS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.5,0.7,0.9,1.2,1.4,1.7,1.8,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.7,1.6,1.4,1.3
CHIC_1,,0.0,0.0,0.0,0.0,0.2,0.5,1.2,2.3,4.3,7.7,12.9,20.4,31.0,44.6,60.7,78.3,95.4,110.8,123.5,131.1,135.2,136.1,134.2,129.9,125.0,119.2,112.6,105.1,96.5,86.9
CHSI_1,,0.0,0.0,0.0,0.0,0.8,2.0,4.3,8.7,16.1,28.5,47.8,75.7,114.9,165.2,224.9,290.0,353.3,410.3,457.3,485.6,500.5,503.9,496.9,481.2,462.8,441.5,417.1,389.2,357.5,321.8
CHTE_1,,0.0,0.0,0.0,0.0,1.1,2.6,5.6,11.3,20.9,37.0,62.2,98.5,149.4,214.9,292.5,377.1,459.5,533.6,594.7,631.6,650.9,655.3,646.3,625.7,601.8,574.2,542.4,506.2,465.0,418.5
CITR_1,,0.0,0.0,0.0,0.0,0.2,0.5,1.1,2.3,4.2,7.5,12.6,19.9,30.2,43.5,59.2,76.3,92.9,107.9,120.3,127.8,131.7,132.6,130.7,126.6,121.7,116.2,109.7,102.4,94.1,84.6
CLAC_P,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.5
