GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BESW_1,,28.6,60.4,91.7,124.0,156.5,221.7,288.8,356.4,425.6,496.3,574.6,659.6,741.8,823.3,904.1,999.1,1065.6,1132.0,1195.5,1256.8,1293.4,1322.7,1351.0,1378.6,1403.9,1422.7,1437.1,1455.2,1476.8,1499.9
BICF_1,,24.2,51.1,77.7,104.9,132.5,161.3,210.2,259.4,309.7,361.2,360.7,414.0,465.6,516.8,567.5,563.9,601.5,639.0,674.8,709.4,693.4,709.1,724.3,739.1,752.7,761.5,769.3,779.0,790.5,802.9
BIRK_1,,18.9,39.9,60.6,81.9,103.4,162.3,211.4,260.9,311.5,363.3,447.4,513.6,577.6,641.1,704.0,790.8,843.4,896.0,946.3,994.8,1023.6,1046.9,1069.2,1091.1,1111.2,1121.8,1133.1,1147.4,1164.5,1182.7
BISW_1,,58.8,124.2,188.8,255.0,321.9,450.2,586.6,723.8,864.3,1007.9,1158.3,1329.6,1495.3,1659.7,1822.4,2006.5,2140.0,2273.5,2401.1,2524.1,2592.6,2651.5,2708.1,2763.6,2814.3,2851.1,2879.9,2916.3,2959.6,3005.9
BLYTB1,,10.2,21.6,32.8,44.3,55.9,82.7,107.7,132.9,158.7,185.1,219.1,251.5,282.9,314.0,344.8,378.7,403.9,429.1,453.2,476.4,485.9,497.0,507.6,518.0,527.5,532.4,537.8,544.6,552.6,561.3
BLYTH132,,7.1,15.0,22.8,30.8,38.8,57.5,74.9,92.4,110.3,128.6,152.3,174.8,196.6,218.2,239.6,263.2,280.8,298.3,315.0,331.1,337.7,345.4,352.8,360.0,366.6,370.0,373.8,378.5,384.1,390.1
BOAG_P,,1.1,2.4,3.6,4.9,6.1,8.2,10.7,13.2,15.8,18.4,20.0,23.0,25.9,28.7,31.5,33.5,35.7,37.9,40.0,42.1,41.9,42.8,43.7,44.6,45.5,45.9,46.3,46.9,47.6,48.4
BOLN_1,,77.9,164.5,249.9,337.6,426.2,596.8,777.6,959.5,1145.8,1336.1,1570.4,1802.5,2027.2,2250.1,2470.8,2761.4,2945.2,3128.9,3304.5,3473.8,3593.2,3674.8,3753.2,3830.1,3900.4,3953.4,3993.4,4043.8,4103.8,4168.0
BONN,,6.9,14.6,22.1,29.9,37.7,56.7,73.9,91.2,108.9,127.0,144.7,166.0,186.7,207.3,227.6,247.6,264.1,280.5,296.3,311.5,311.1,318.2,325.0,331.7,337.7,340.6,344.1,348.4,353.6,359.1
BOTW_1,,13.2,27.9,42.4,57.2,72.2,101.9,132.8,163.8,195.6,228.1,272.0,312.2,351.1,389.7,428.0,482.6,514.7,546.8,577.4,607.0,630.8,645.1,658.9,672.4,684.7,694.3,701.3,710.2,720.7,732.0
BRAC_P,,3.1,6.6,10.0,13.5,17.1,25.0,32.6,40.3,48.1,56.1,63.0,72.3,81.4,90.3,99.2,107.2,114.3,121.5,128.3,134.8,134.4,137.5,140.4,143.3,145.9,147.2,148.6,150.5,152.8,155.1
BRAI_1,,33.0,69.6,105.7,142.9,180.3,234.7,305.8,377.4,450.7,525.5,577.0,662.3,744.8,826.7,907.8,971.8,1036.5,1101.1,1162.9,1222.5,1241.2,1269.4,1296.5,1323.0,1347.3,1364.4,1378.2,1395.6,1416.4,1438.5
BRAP,,3.6,7.7,11.7,15.8,20.0,29.9,39.0,48.1,57.4,67.0,76.3,87.5,98.4,109.3,120.0,130.4,139.1,147.8,156.1,164.1,164.0,167.7,171.3,174.8,178.0,179.5,181.3,183.6,186.3,189.2
BRAW_1,,30.3,64.0,97.2,131.3,165.7,277.6,361.6,446.3,532.9,621.4,770.1,884.0,994.1,1103.4,1211.7,1362.8,1453.5,1544.2,1630.8,1714.4,1757.2,1797.1,1835.5,1873.1,1907.5,1928.1,1947.6,1972.2,2001.5,2032.8
BRED_1,,19.8,41.9,63.6,86.0,108.5,172.5,224.7,277.3,331.1,386.2,485.2,557.0,626.4,695.3,763.5,868.2,925.9,983.7,1038.9,1092.1,1132.0,1157.7,1182.4,1206.7,1228.8,1241.9,1254.4,1270.3,1289.1,1309.3
BRFO_1,,62.2,131.3,199.4,269.5,340.1,443.0,577.3,712.3,850.6,991.9,1101.1,1263.9,1421.4,1577.7,1732.5,1868.6,1992.9,2117.2,2236.0,2350.6,2396.0,2450.4,2502.7,2554.0,2600.9,2635.2,2661.9,2695.5,2735.5,2778.3
BRID_P,,2.6,5.5,8.3,11.3,14.2,20.8,27.1,33.5,40.0,46.6,52.4,60.2,67.7,75.1,82.5,89.2,95.1,101.1,106.7,112.2,111.8,114.4,116.8,119.2,121.4,122.4,123.7,125.2,127.1,129.1
BRIM_1,,13.6,28.8,43.8,59.2,74.7,105.6,137.6,169.8,202.8,236.5,274.7,315.3,354.6,393.5,432.1,477.4,509.2,540.9,571.3,600.5,615.2,629.1,642.6,655.7,667.8,676.6,683.5,692.1,702.4,713.3
BRLE_1,,22.1,46.6,70.9,95.7,120.8,150.6,196.2,242.1,289.1,337.1,356.1,408.8,459.7,510.3,560.3,584.1,622.9,661.8,698.9,734.7,738.5,755.3,771.4,787.2,801.6,811.7,819.9,830.2,842.6,855.7
BROA_P,,0.7,1.4,2.2,2.9,3.7,4.9,6.5,8.0,9.5,11.1,12.1,13.9,15.6,17.3,19.0,20.2,21.5,22.9,24.2,25.4,25.3,25.8,26.4,26.9,27.4,27.7,28.0,28.3,28.7,29.2
BROR_P,,0.3,0.6,1.0,1.3,1.6,1.8,2.4,3.0,3.5,4.1,4.2,4.8,5.4,6.0,6.6,6.7,7.1,7.6,8.0,8.4,8.3,8.5,8.7,8.9,9.0,9.1,9.2,9.4,9.5,9.6
BROX,,6.4,13.4,20.4,27.6,34.8,52.1,67.9,83.8,100.1,116.7,132.9,152.6,171.6,190.4,209.1,227.4,242.5,257.6,272.1,286.0,285.8,292.3,298.5,304.6,310.2,312.9,316.0,320.0,324.8,329.9
BRWA1,,27.7,58.4,88.7,119.8,151.3,194.9,253.9,313.3,374.1,436.3,472.0,541.8,609.3,676.3,742.6,787.0,839.4,891.7,941.8,990.0,999.7,1022.4,1044.3,1065.6,1085.2,1098.5,1109.6,1123.6,1140.3,1158.2
BUMU_P,,5.6,11.7,17.8,24.1,30.4,44.6,58.1,71.7,85.6,99.8,112.2,128.8,144.9,160.8,176.6,190.9,203.6,216.3,228.4,240.1,239.4,244.8,250.0,255.1,259.8,262.1,264.7,268.1,272.0,276.3
BURM_1,,40.6,85.8,130.3,176.1,222.3,294.8,384.1,473.9,565.9,659.9,726.8,834.2,938.2,1041.4,1143.5,1225.6,1307.1,1388.6,1466.6,1541.7,1565.8,1601.4,1635.6,1669.1,1699.7,1721.1,1738.5,1760.5,1786.6,1814.6
BUSH_1,,14.9,31.4,47.8,64.5,81.5,113.9,148.5,183.2,218.7,255.1,293.1,336.5,378.4,420.0,461.2,507.8,541.6,575.4,607.6,638.8,656.1,671.0,685.4,699.4,712.2,721.5,728.8,738.0,749.0,760.7
BUST_1,,20.7,43.7,66.4,89.7,113.3,160.5,209.1,258.0,308.1,359.3,416.0,477.5,537.0,596.0,654.5,723.2,771.4,819.5,865.5,909.8,936.3,957.6,978.0,998.0,1016.3,1029.9,1040.3,1053.4,1069.1,1085.8
CAAD_P,,0.7,1.6,2.4,3.2,4.1,4.3,5.6,6.9,8.2,9.6,9.2,10.6,11.9,13.2,14.5,14.2,15.2,16.1,17.0,17.9,17.5,17.9,18.3,18.7,19.0,19.2,19.4,19.7,20.0,20.3
CAFA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMB_01,,2.5,5.3,8.1,10.9,13.8,18.9,24.6,30.4,36.3,42.3,47.8,54.9,61.8,68.5,75.3,80.4,85.8,91.1,96.2,101.2,102.1,104.4,106.6,108.8,110.8,111.9,113.0,114.4,116.1,117.9
CANTN1,,12.3,26.1,39.6,53.5,67.5,98.8,128.8,158.9,189.8,221.3,266.4,305.8,343.9,381.7,419.1,474.9,506.5,538.1,568.3,597.4,620.9,635.0,648.6,661.9,674.0,683.2,690.1,698.8,709.2,720.2
CAPEA1,,12.6,26.7,40.5,54.7,69.1,108.4,141.2,174.2,208.1,242.6,298.8,343.0,385.7,428.2,470.1,528.1,563.3,598.4,632.0,664.4,683.6,699.2,714.1,728.7,742.1,749.2,756.8,766.3,777.7,789.9
CARE_1,,3.6,7.6,11.5,15.6,19.7,31.1,40.6,50.1,59.8,69.7,89.9,103.1,116.0,128.8,141.4,159.7,170.4,181.0,191.1,200.9,212.2,217.0,221.6,226.1,230.3,233.9,236.3,239.3,242.8,246.6
CARR_1,,17.0,35.9,54.5,73.7,93.0,147.8,192.5,237.6,283.7,330.8,415.7,477.2,536.6,595.6,654.0,743.7,793.2,842.7,890.0,935.6,969.8,991.8,1013.0,1033.7,1052.7,1063.9,1074.7,1088.2,1104.4,1121.6
CASS_P,,0.0,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2
CATY,,2.5,5.2,7.9,10.6,13.4,20.1,26.2,32.4,38.6,45.1,51.3,58.9,66.3,73.5,80.7,87.8,93.6,99.5,105.1,110.5,110.4,112.9,115.3,117.6,119.8,120.8,122.0,123.6,125.4,127.4
CBNK_H,,3.1,6.6,10.1,13.6,17.2,24.4,31.8,39.3,46.9,54.7,60.5,69.4,78.1,86.6,95.2,101.1,107.9,114.6,121.0,127.2,127.5,130.4,133.2,135.9,138.4,140.1,141.5,143.3,145.4,147.7
CEAN_P,,0.1,0.2,0.3,0.4,0.6,0.7,1.0,1.2,1.4,1.6,1.8,2.1,2.3,2.6,2.8,3.0,3.2,3.4,3.6,3.8,3.8,3.8,3.9,4.0,4.1,4.1,4.2,4.2,4.3,4.3
CELL_1,,41.7,88.1,133.8,180.8,228.2,327.3,426.5,526.2,628.4,732.8,852.4,978.5,1100.4,1221.4,1341.2,1487.3,1586.3,1685.2,1779.8,1871.0,1926.1,1969.8,2011.9,2053.1,2090.8,2117.4,2138.8,2165.8,2198.0,2232.3
CHAP,,4.8,10.1,8.9,12.0,15.2,22.8,29.7,36.6,43.7,51.0,58.0,66.6,74.9,83.1,91.3,99.2,105.9,112.5,118.8,124.8,124.7,127.6,130.3,133.0,135.4,136.6,137.9,139.7,141.8,144.0
CHAR_P,,1.8,3.8,5.8,7.8,9.9,14.5,18.9,23.3,27.9,32.5,36.5,41.9,47.2,52.3,57.5,62.1,66.3,70.4,74.3,78.1,77.9,79.7,81.4,83.0,84.6,85.3,86.1,87.2,88.5,89.9
CHAS,,2.4,5.2,7.9,10.6,13.4,20.1,26.2,32.3,38.5,44.9,51.2,58.7,66.1,73.3,80.5,87.6,93.4,99.2,104.8,110.1,110.0,112.5,114.9,117.3,119.5,120.5,121.7,123.2,125.1,127.0
CHIC_1,,11.0,23.2,35.3,47.6,60.1,80.7,105.2,129.8,155.0,180.8,205.9,236.4,265.8,295.1,324.0,355.3,379.0,402.6,425.2,447.0,459.0,469.5,479.5,489.3,498.3,504.9,510.0,516.5,524.2,532.4
CHSI_1,,37.2,78.5,119.3,161.2,203.4,299.8,390.6,482.0,575.6,671.2,780.8,896.2,1007.9,1118.7,1228.5,1356.1,1446.3,1536.5,1622.8,1705.9,1742.2,1781.8,1819.8,1857.1,1891.2,1915.2,1934.6,1959.0,1988.1,2019.2
CHTE_1,,39.2,82.8,125.8,170.0,214.6,344.7,449.2,554.3,661.9,771.8,951.0,1091.6,1227.7,1362.6,1496.3,1693.6,1806.4,1919.0,2026.7,2130.5,2199.4,2249.4,2297.4,2344.5,2387.5,2413.5,2438.0,2468.8,2505.4,2544.6
CITR_1,,36.4,76.9,116.8,157.8,199.2,283.0,368.7,454.9,543.2,633.5,700.4,804.0,904.2,1003.6,1102.1,1171.6,1249.6,1327.6,1402.0,1473.9,1477.1,1510.6,1542.9,1574.5,1603.4,1622.2,1638.6,1659.3,1684.0,1710.3
CLAC_P,,0.1,0.3,0.4,0.6,0.8,0.8,1.0,1.3,1.5,1.8,1.7,2.0,2.2,2.5,2.7,2.6,2.8,3.0,3.2,3.3,3.3,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8
CLAY_P,,1.3,2.7,4.1,5.5,7.0,10.1,13.2,16.3,19.5,22.7,25.5,29.3,33.0,36.6,40.2,43.4,46.3,49.2,52.0,54.6,54.5,55.7,56.9,58.1,59.1,59.6,60.2,61.0,61.9,62.9
CLT03,,2.9,6.1,9.3,12.6,15.9,20.7,27.0,33.3,39.8,46.4,51.5,59.1,66.5,73.8,81.0,87.4,93.2,99.0,104.6,109.9,112.1,114.6,117.0,119.4,121.6,123.3,124.5,126.1,127.9,129.9
