GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Bredbury,184155.9,185360.4,186736.9,187904.4,188873.1,189754.9,190661.5,191543.4,192385.6,193194.9,194022.8,194842.3,195642.0,196406.4,197145.6,197901.9,198627.6,199325.1,199979.3,200610.3,201266.0,201897.1,202465.7,203040.2,203615.4,204195.7,204776.2,205359.1,205943.8,206530.2,
Carrington,183032.3,184228.7,185597.1,186757.6,187720.6,188597.5,189496.5,190374.5,191212.0,192016.3,192838.5,193653.7,194447.5,195208.5,195942.5,196694.8,197414.7,198109.2,198758.6,199386.6,200038.0,200664.4,201231.3,201800.1,202372.4,202947.9,203526.6,204105.6,204686.3,205270.9,
Harker,165018.4,166097.2,167330.3,168376.6,169245.3,170035.0,170846.7,171637.6,172392.5,173117.1,173858.3,174593.9,175310.6,175995.0,176656.9,177335.4,177985.5,178611.4,179196.8,179761.9,180349.9,180913.5,181426.0,181938.7,182455.0,182973.9,183494.2,184016.6,184540.6,185066.2,
Heysham (Barrow WF),2797.8,2815.0,2836.2,2854.7,2869.3,2882.9,2895.6,2909.8,2922.0,2933.7,2946.8,2959.8,2971.2,2983.7,2994.0,3005.4,3016.9,3028.1,3036.8,3047.0,3057.5,3066.3,3076.1,3084.4,3092.8,3101.3,3110.0,3118.7,3127.4,3136.1,
Heysham (NGET),46460.8,46765.3,47112.5,47406.7,47651.2,47873.5,48102.3,48323.8,48537.5,48741.1,48950.0,49156.7,49358.9,49551.9,49737.6,49929.5,50111.1,50287.5,50452.6,50611.7,50777.7,50936.5,51079.8,51224.6,51369.8,51516.8,51662.2,51810.1,51958.5,52105.3,
Hutton,76567.3,77067.6,77639.2,78124.4,78527.6,78894.9,79271.5,79637.5,79988.1,80325.4,80669.3,81010.0,81342.4,81660.8,81966.7,82282.0,82582.6,82873.0,83144.6,83408.8,83679.5,83942.2,84180.4,84418.2,84657.9,84899.2,85140.2,85382.2,85624.9,85870.4,
Kearsley 132kV,328167.2,330313.3,332764.6,334846.6,336573.3,338144.5,339757.8,341329.6,342832.8,344274.7,345747.7,347210.2,348635.4,349997.5,351315.0,352663.0,353953.8,355199.3,356362.3,357489.2,358655.2,359779.6,360796.0,361817.1,362844.8,363875.6,364910.4,365949.4,366993.5,368038.9,
Kearsley 33kV,47636.3,47947.2,48304.4,48605.7,48857.2,49084.0,49318.1,49547.4,49764.7,49974.0,50187.8,50399.7,50606.9,50805.7,50995.6,51192.9,51379.5,51560.0,51728.9,51892.0,52061.4,52225.7,52373.2,52520.2,52670.7,52818.7,52970.2,53120.3,53272.9,53423.9,
Kirkby (_G),22508.4,22655.5,22824.7,22966.8,23085.3,23193.7,23303.7,23411.0,23515.3,23613.6,23713.9,23815.7,23913.2,24006.7,24096.2,24189.6,24277.1,24363.5,24442.5,24519.6,24600.0,24677.9,24746.8,24815.9,24887.8,24959.0,25028.9,25101.1,25171.5,25244.1,
Macclesfield,45652.4,45950.8,46291.8,46580.3,46821.0,47040.3,47263.9,47483.1,47692.4,47893.1,48097.1,48301.6,48499.0,48687.8,48871.3,49060.2,49238.6,49412.4,49573.2,49731.2,49893.7,50049.9,50191.4,50333.2,50475.9,50620.1,50763.2,50906.9,51053.1,51197.6,
