GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Grendon,3.737898809,3.737973432,3.737898809,3.737898809,3.741882972,3.737898823,3.737898823,,,,,,,,,,,,,,,,,,,,,,,,
Grimsby West,134.8406324,134.8433244,134.8406324,134.8406324,134.9843568,134.8406329,134.8406329,,,,,,,,,,,,,,,,,,,,,,,,
Hams Hall,4.705343646,4.705437584,4.705343646,4.705343646,4.710358992,4.705343663,4.705343663,,,,,,,,,,,,,,,,,,,,,,,,
Harker,72.98192073,72.98337774,72.98192073,72.98192073,73.05971093,72.981921,72.981921,,,,,,,,,,,,,,,,,,,,,,,,
Hawthorn Pit,1.920450199,1.920488539,1.920450199,1.920450199,1.922497175,1.920450206,1.920450206,,,,,,,,,,,,,,,,,,,,,,,,
Heysham (NGET),4.620632059,4.620724305,4.620632059,4.620632059,4.625557112,4.620632075,4.620632075,,,,,,,,,,,,,,,,,,,,,,,,
Indian Queens,1.390040144,1.390067895,1.390040144,1.390040144,1.391521765,1.390040149,1.390040149,,,,,,,,,,,,,,,,,,,,,,,,
Kaimes,1.490021799,1.490051546,1.490021799,1.490021799,1.491609988,1.490021805,1.490021805,,,,,,,,,,,,,,,,,,,,,,,,
Keadby,55.87691843,55.87803396,55.87691843,55.87691843,55.93647669,55.87691863,55.87691863,,,,,,,,,,,,,,,,,,,,,,,,
Kearsley 132kV,21.41855485,21.41898245,21.41855485,21.41855485,21.44138453,21.41855493,21.41855493,,,,,,,,,,,,,,,,,,,,,,,,
Kilwinning,13.11219183,13.11245361,13.11219183,13.11219183,13.1261679,13.11219188,13.11219188,,,,,,,,,,,,,,,,,,,,,,,,
Kintore,7.361038197,7.361185152,7.361038197,7.361038197,7.368884203,7.361038224,7.361038224,,,,,,,,,,,,,,,,,,,,,,,,
Kirkstall B,14.43947518,14.43976345,14.43947518,14.43947518,14.45486597,14.43947524,14.43947524,,,,,,,,,,,,,,,,,,,,,,,,
Kitwell,13.26987769,13.27014261,13.26987769,13.26987769,13.28402183,13.26987774,13.26987774,,,,,,,,,,,,,,,,,,,,,,,,
Knaresborough,1.371750142,1.371777528,1.371750142,1.371750142,1.373212268,1.371750147,1.371750147,,,,,,,,,,,,,,,,,,,,,,,,
Lackenby,21.17789693,21.17831973,21.17789693,21.17789693,21.2004701,21.17789701,21.17789701,,,,,,,,,,,,,,,,,,,,,,,,
Landulph,9.826544178,9.826740355,9.826544178,9.826544178,9.837018125,9.826544213,9.826544213,,,,,,,,,,,,,,,,,,,,,,,,
Legacy,3.749197065,3.749271914,3.749197065,3.749197065,3.753193271,3.749197079,3.749197079,,,,,,,,,,,,,,,,,,,,,,,,
Leven,10.60299512,10.6032068,10.60299512,10.60299512,10.61429668,10.60299516,10.60299516,,,,,,,,,,,,,,,,,,,,,,,,
Lister Drive,47.21961709,47.22055978,47.21961709,47.21961709,47.26994768,47.21961726,47.21961726,,,,,,,,,,,,,,,,,,,,,,,,
Lovedean,3.017850313,3.017910561,3.017850313,3.017850313,3.021066989,3.017850324,3.017850324,,,,,,,,,,,,,,,,,,,,,,,,
Macclesfield,2.502842365,2.502892332,2.502842365,2.502842365,2.505510102,2.502842374,2.502842374,,,,,,,,,,,,,,,,,,,,,,,,
Maybole,7.152104637,7.152247421,7.152104637,7.152104637,7.159727944,7.152104663,7.152104663,,,,,,,,,,,,,,,,,,,,,,,,
Nechells,7.316000759,7.316146816,7.316000759,7.316000759,7.323798761,7.316000786,7.316000786,,,,,,,,,,,,,,,,,,,,,,,,
Norton,10.87773797,10.87795513,10.87773797,10.87773797,10.88933237,10.87773801,10.87773801,,,,,,,,,,,,,,,,,,,,,,,,
Offerton,1.155158015,1.155181076,1.155158015,1.155158015,1.156389278,1.155158019,1.155158019,,,,,,,,,,,,,,,,,,,,,,,,
Oldbury,1.371750142,1.371777528,1.371750142,1.371750142,1.373212268,1.371750147,1.371750147,,,,,,,,,,,,,,,,,,,,,,,,
Osbaldwick,2.887895037,2.88795269,2.887895037,2.887895037,2.890973195,2.887895047,2.887895047,,,,,,,,,,,,,,,,,,,,,,,,
Penwortham East,5.342605818,5.342712477,5.342605818,5.342605818,5.348300411,5.342605837,5.342605837,,,,,,,,,,,,,,,,,,,,,,,,
Penwortham West,32.63321391,32.6338654,32.63321391,32.63321391,32.6679971,32.63321403,32.63321403,,,,,,,,,,,,,,,,,,,,,,,,
Persley,2.057125153,2.057166221,2.057125153,2.057125153,2.059317808,2.05712516,2.05712516,,,,,,,,,,,,,,,,,,,,,,,,
Port Dundas,2.384034879,2.384082474,2.384034879,2.384034879,2.386575981,2.384034888,2.384034888,,,,,,,,,,,,,,,,,,,,,,,,
Rainhill,47.32094674,47.32189145,47.32094674,47.32094674,47.37138534,47.32094691,47.32094691,,,,,,,,,,,,,,,,,,,,,,,,
Rassau,1.234093812,1.23411845,1.234093812,1.234093812,1.235409212,1.234093817,1.234093817,,,,,,,,,,,,,,,,,,,,,,,,
Ratcliffe,12.0030544,12.00329403,12.0030544,12.0030544,12.01584826,12.00305445,12.00305445,,,,,,,,,,,,,,,,,,,,,,,,
Saltend North,27.05283807,27.05337815,27.05283807,27.05283807,27.08167323,27.05283817,27.05283817,,,,,,,,,,,,,,,,,,,,,,,,
Saltholme,145.0916972,145.0945938,145.0916972,145.0916972,145.2463479,145.0916977,145.0916977,,,,,,,,,,,,,,,,,,,,,,,,
Sheffield City,1.877131774,1.877169249,1.877131774,1.877131774,1.879132577,1.877131781,1.877131781,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury,1.874243879,1.874281296,1.874243879,1.874243879,1.876241604,1.874243886,1.874243886,,,,,,,,,,,,,,,,,,,,,,,,
Sighthill,2.384034879,2.384082474,2.384034879,2.384034879,2.386575981,2.384034888,2.384034888,,,,,,,,,,,,,,,,,,,,,,,,
Skelton Grange,49.45327724,49.45426452,49.45327724,49.45327724,49.50598865,49.45327742,49.45327742,,,,,,,,,,,,,,,,,,,,,,,,
South Manchester,35.23039418,35.23109752,35.23039418,35.23039418,35.26794566,35.23039431,35.23039431,,,,,,,,,,,,,,,,,,,,,,,,
Stalybridge,5.833547974,5.833664435,5.833547974,5.833547974,5.839765854,5.833547995,5.833547995,,,,,,,,,,,,,,,,,,,,,,,,
Staythorpe,9.145000949,9.14518352,9.145000949,9.145000949,9.154748451,9.145000982,9.145000982,,,,,,,,,,,,,,,,,,,,,,,,
Stella North,11.55158015,11.55181076,11.55158015,11.55158015,11.56389278,11.55158019,11.55158019,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,8.344122077,8.344288658,8.344122077,8.344122077,8.353015935,8.344122107,8.344122107,,,,,,,,,,,,,,,,,,,,,,,,
Stoke Bardolph,8.739733012,8.739907492,8.739733012,8.739733012,8.749048546,8.739733044,8.739733044,,,,,,,,,,,,,,,,,,,,,,,,
Sundon,1.600005453,1.600037396,1.600005453,1.600005453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swansea North,1.188850123,1.188873858,1.188850123,1.188850123,1.190117299,1.188850128,1.188850128,,,,,,,,,,,,,,,,,,,,,,,,
Templeborough,0.962631679,0.962650897,0.962631679,0.962631679,0.963657732,0.962631682,0.962631682,,,,,,,,,,,,,,,,,,,,,,,,
Thurcroft,28.87895037,28.8795269,28.87895037,28.87895037,28.90973195,28.87895047,28.87895047,,,,,,,,,,,,,,,,,,,,,,,,
Tynemouth 2,11.03464693,11.03486723,11.03464693,11.03464693,11.04640858,11.03464697,11.03464697,,,,,,,,,,,,,,,,,,,,,,,,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
Walham,1.925263358,1.925301794,1.925263358,1.925263358,1.927315463,1.925263365,1.925263365,,,,,,,,,,,,,,,,,,,,,,,,
Washway Farm,26.32990168,26.33042733,26.32990168,26.32990168,26.35796628,26.32990178,26.32990178,,,,,,,,,,,,,,,,,,,,,,,,
West Burton,1.368862247,1.368889575,1.368862247,1.368862247,1.370321294,1.368862252,1.368862252,,,,,,,,,,,,,,,,,,,,,,,,
West Melton,4.313552553,4.313638669,4.313552553,4.313552553,4.318150296,4.313552569,4.313552569,,,,,,,,,,,,,,,,,,,,,,,,
Willenhall,2.318017083,2.318063359,2.318017083,2.318017083,2.320487818,2.318017091,2.318017091,,,,,,,,,,,,,,,,,,,,,,,,
Willington,4.572500475,4.57259176,4.572500475,4.572500475,4.577374225,4.572500491,4.572500491,,,,,,,,,,,,,,,,,,,,,,,,
Woodhill,6.196160098,6.196283798,6.196160098,6.196160098,6.20276448,6.196160121,6.196160121,,,,,,,,,,,,,,,,,,,,,,,,
