GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BEAU_P,00,0,0,0,0,0,0.008016488,0.014253061,0.030417189,0.056412063,0.098525873,0.164447297,0.263987073,0.407139225,0.608801802,0.880932766,1.236304351,1.687345665,2.239230424,2.906041809,3.680741524,4.457856467,5.280496406,6.054324695,6.775144037,7.390533963,7.918827288,8.309950842,8.561791586
BEDDT1,00,0,0,0,0,0,0.097030666,0.150390643,0.286240811,0.452382433,0.790216618,1.318898656,2.117202856,3.265022755,4.882164515,7.064333115,9.915109954,13.53246675,17.95834194,23.30565748,29.51862487,35.75004575,42.34648228,48.55144252,54.33294381,59.27214885,63.50538074,66.64520016,68.66570641
BEDD_1,00,0,0,0,0,0,0.164663765,0.301507065,0.65728418,1.250426833,2.184182206,3.645521987,5.852053595,9.024736092,13.49461703,19.52616969,27.40596694,37.40465526,49.63786362,64.41798641,81.59025507,98.8147388,117.047567,134.1974434,150.1779412,163.8304259,175.5319175,184.2099032,189.7954085
BERB_P,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERW,00,0,0,0,0,0,0.006826762,0.011828651,0.024753388,0.044822595,0.078295513,0.130684864,0.209801864,0.323510627,0.483773447,0.699964075,0.982389152,1.340820566,1.779412111,2.309346179,2.924737735,3.542070149,4.195882562,4.810905266,5.383758951,5.872716343,6.292479794,6.603865512,6.803733611
BESW_1,00,0,0,0,0,0,0.112378133,0.191065143,0.394071871,0.700011356,1.222744395,2.040855117,3.276062227,5.05224016,7.554484972,10.93106721,15.34236825,20.93975088,27.78828273,36.06254075,45.67592123,55.31837646,65.52575825,75.12657793,84.07237986,91.71539663,98.26609831,103.1240108,106.2507206
BICF_1,00,0,0,0,0,0,0.049373635,0.083433684,0.171252766,0.30224359,0.527945408,0.88118084,1.41447886,2.181358436,3.261752962,4.719629455,6.624241612,9.041079676,11.99792057,15.57040373,19.72131422,23.88468374,28.29186638,32.43696986,36.29947211,39.59950448,42.42816771,44.5257045,45.87497164
BIRK_1,00,0,0,0,0,0,0.085008766,0.14787358,0.31049218,0.564401475,0.985848219,1.645442936,2.641350363,4.073386682,6.090863751,8.813332998,12.37004807,16.88296748,22.40448836,29.07583831,36.82652303,44.60098599,52.83029724,60.57161394,67.78400954,73.94687815,79.22763442,83.14492833,85.66617628
BISW_1,00,0,0,0,0,0,0.225708048,0.370054561,0.740748021,1.263139674,2.206395409,3.682604704,5.911545077,9.116479964,13.63176268,19.72473761,27.68471648,37.78488179,50.14244535,65.07301072,82.42019769,99.81971214,118.2376376,135.5624356,151.7049049,165.4961207,177.3166058,186.0825282,191.7248402
BLYTB1,00,0,0,0,0,0,0.04217296,0.074261074,0.15736358,0.289362242,0.505437458,0.843613139,1.35422205,2.088445413,3.122771368,4.518512675,6.341989794,8.655890977,11.48671703,14.90699887,18.88098694,22.86675586,27.0858889,31.05509254,34.75281541,37.91220969,40.62022036,42.6275308,43.92091729
BLYTH132,00,0,0,0,0,0,0.015766704,0.027077728,0.056303337,0.101084875,0.176553433,0.294684482,0.473074631,0.729549476,1.090831094,1.57846936,2.215350419,3.023617572,4.012550472,5.207342653,6.595509979,7.987968579,9.461650371,10.84834485,12.13996743,13.24331182,14.18983715,14.8911064,15.34287235
BOAG_P,00,0,0,0,0,0,0.003387887,0.005983815,0.012717809,0.023459779,0.040969828,0.068382916,0.10979903,0.169320401,0.25317783,0.366306846,0.514198179,0.701734002,0.931026134,1.208476263,1.530699979,1.853495703,2.195739161,2.517232055,2.817611606,3.073019911,3.292951112,3.455698073,3.56043674
BOLN_1,00,0,0,0,0,0,0.270815665,0.460761475,0.950836445,1.690190039,2.952319597,4.927636379,7.910122122,12.19863394,18.24046209,26.39326999,37.04439689,50.55937657,67.09480229,87.07297748,110.2847527,133.5667867,158.2116375,181.3933493,202.9937678,221.44768,237.2642396,248.9938334,256.5435021
BONN,00,0,0,0,0,0,0.01335326,0.022784823,0.047125404,0.083990878,0.146730399,0.24488023,0.393072364,0.606238559,0.906501478,1.311689225,1.840924996,2.512513726,3.334477384,4.327048987,5.480612083,6.637706924,7.862713938,9.014622011,10.08810994,11.00521621,11.79146662,12.37408645,12.74862882
BOTW_1,00,0,0,0,0,0,0.051974037,0.092451872,0.197383487,0.366332037,0.63986887,1.06801207,1.714385318,2.643860342,3.953356216,5.720358396,8.028814531,10.95813261,14.54175414,18.87200781,23.90259672,28.94891232,34.29052915,39.31461247,43.99639929,47.9952707,51.42407002,53.96642182,55.60190754
BRAC_P,00,0,0,0,0,0,0.012197526,0.021757923,0.046559024,0.086612082,0.151312375,0.252528074,0.405368631,0.625151276,0.934775144,1.352592276,1.898394204,2.59108147,3.438307325,4.46214356,5.651751403,6.844979562,8.107797784,9.295590226,10.40244027,11.34832441,12.15913923,12.76015567,13.14653101
BRAI_1,00,0,0,0,0,0,0.104101039,0.186957543,0.401962577,0.752323107,1.314115954,2.193327009,3.520865083,5.429669225,8.118948525,11.74779311,16.48872772,22.50428275,29.86435182,38.75672208,49.08873833,59.45137293,70.42154372,80.73918817,90.35368444,98.56759134,105.6079211,110.8293091,114.1890665
BRAP,00,0,0,0,0,0,0.01148369,0.018198519,0.035373016,0.057741388,0.100857053,0.168327178,0.270211739,0.416767518,0.623122231,0.901687726,1.265596136,1.727249808,2.292204884,2.974762373,3.767557344,4.56298754,5.40480576,6.196835016,6.934960179,7.564995759,8.105794629,8.5058242,8.76468231
BRAW_1,00,0,0,0,0,0,0.115035188,0.203712225,0.433499654,0.80128346,1.399646165,2.336099197,3.750055251,5.783165107,8.647427411,12.51244955,17.56201692,23.96915765,31.80824963,41.27960484,52.28389281,63.32129259,75.00508294,85.99518491,96.23506996,104.9836316,112.4818783,118.0435046,121.6221553
BRED_1,00,0,0,0,0,0,0.182736272,0.329580809,0.710794233,1.335260241,2.332332749,3.892827144,6.249003619,9.636957946,14.40993108,20.85072456,29.26504011,39.94197985,53.0049203,68.78794385,87.12486742,105.5177167,124.9874588,143.3012188,160.3652735,174.9436423,187.438785,196.7060557,202.6691204
BRFO_1,00,0,0,0,0,0,0.20849101,0.364534009,0.768384798,1.403580061,2.451678476,4.092006843,6.568757579,10.13006407,15.14734135,21.91760235,30.76258261,41.98577496,55.71721265,72.3074424,91.58321285,110.9172685,131.3832045,150.6334085,168.5711886,183.895194,197.0295834,206.7712968,213.0401851
BRID_P,00,0,0,0,0,0,0.010463925,0.018916576,0.040869478,0.076932349,0.134377822,0.224287012,0.360061224,0.555277382,0.830309455,1.201360225,1.686187959,2.301414606,3.053977618,3.96333283,5.019948236,6.079665207,7.201694529,8.256818318,9.23979677,10.07973792,10.80027133,11.33415978,11.67803553
BRIM_1,00,0,0,0,0,0,0.06851123,0.107677786,0.207604075,0.33491503,0.584992344,0.97638717,1.567391357,2.417114054,3.614347613,5.229764536,7.340298394,10.01821429,13.29473535,17.2532195,21.85266337,26.46612494,31.34952301,35.9423185,40.22292052,43.87880309,47.01378776,49.3373761,50.83397551
BRLE_1,00,0,0,0,0,0,0.101415657,0.148298238,0.266224422,0.380074637,0.663904145,1.108116617,1.778774898,2.743169302,4.101792964,5.935190443,8.330328881,11.36957948,15.08792082,19.58066768,24.80024737,30.03609717,35.57780848,40.79104641,45.64833771,49.79804258,53.35457491,55.99233901,57.68990916
BROA_P,00,0,0,0,0,0,0.004294345,0.007751936,0.016746832,0.031510621,0.055037297,0.09184874,0.147453158,0.227434023,0.340018377,0.492050349,0.690585665,0.942606162,1.250727,1.623146204,2.055748765,2.489762911,2.949254157,3.381749637,3.784082684,4.128098388,4.422806384,4.642293194,4.782705619
BROR_P,00,0,0,0,0,0,0.001943219,0.003482194,0.007478793,0.013967275,0.024410408,0.040738759,0.065410017,0.100890751,0.150823486,0.21823052,0.306290184,0.418063097,0.554642596,0.720057424,0.9117738,1.104125397,1.307899366,1.500073087,1.678448204,1.831018082,1.96181521,2.059035873,2.121488448
BROX,00,0,0,0,0,0,0.009733093,0.016577098,0.034240255,0.060943002,0.106457245,0.177691124,0.285212164,0.439875419,0.657729933,0.95169383,1.335800903,1.822978401,2.419343588,3.139691727,3.976496853,4.816099319,5.704679984,6.540615836,7.319730797,7.984534838,8.554874079,8.978002003,9.25024118
BRWA1,00,0,0,0,0,0,0.077354862,0.141642692,0.308780168,0.587430628,1.026094577,1.712594735,2.74915954,4.239681048,6.3394517,9.172964272,12.87485377,17.57188254,23.31882754,30.26218991,38.32980749,46.42159709,54.98656377,63.0435939,70.55087384,76.96423644,82.46154321,86.53817403,89.16160919
BUMU_P,00,0,0,0,0,0,0.019500178,0.035377858,0.076602917,0.144596868,0.252571356,0.421564077,0.67670285,1.043569358,1.560467708,2.257921223,3.169084563,4.325361023,5.740047612,7.448973934,9.434678054,11.42640241,13.53499101,15.51809061,17.3661825,18.94488944,20.29803334,21.30099105,21.94765486
BURM_1,00,0,0,0,0,0,0.105642017,0.183969496,0.386580206,0.703437645,1.228746515,2.050853274,3.292134111,5.076998626,7.591571209,10.98471453,15.41750805,21.04250922,27.92442709,36.23920288,45.89981466,55.5894253,65.84684166,75.4946733,84.48441768,92.16484345,98.74738266,103.6293073,106.7717361
