GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ABHA1,17.8,18.1,21.2,24.6,28.2,31.1,35.3,39.4,43.7,48.1,49.5,52.6,55.8,59.2,63.6,68.8,82.1,95.6,109.1,122.6,127.3,140.3,154.3,169.2,185.3,195.5,212,228.5,245.1,261
ABNE_P,1.3,1.3,1.6,1.8,2.1,2.4,2.7,3,3.3,3.7,4.2,4.5,4.7,5,5.4,6.5,7.8,9.1,10.3,11.6,12.7,14,15.4,16.9,18.5,19.3,20.9,22.6,24.2,25.8
ABTH_1,9.4,9.5,11.2,13,14.9,17.7,20.2,22.5,25,27.5,30.6,32.5,34.5,36.6,39.3,48.6,58,67.5,77.1,86.6,97.2,107.1,117.8,129.2,141.4,157.9,171.1,184.5,197.9,210.7
ACTL_2;CBNK_H;GREE_H;PERI_H,4.9,5.1,5.8,6.8,7.7,9.3,10.4,11.7,13,14.3,16.4,17.4,18.4,19.6,21,26.3,31.4,36.6,41.8,46.9,52.4,57.6,63.4,69.5,76.2,82.7,89.7,96.6,103.7,110.4
ALNE_P,1.2,1.2,1.4,1.6,1.8,1.9,2.2,2.4,2.7,3,3,3.2,3.4,3.6,3.8,3.6,4.3,5.1,5.8,6.5,6.2,6.8,7.5,8.2,9,8.7,9.4,10.2,10.9,11.6
ALVE1,12.6,12.8,15.1,17.5,20,22.1,25,28,31,34.1,35.1,37.4,39.6,42,45.2,48.8,58.3,67.9,77.4,87.1,90.4,99.6,109.5,120.1,131.5,138.8,150.5,162.3,174.1,185.4
AMEM_1,8.5,8.6,10.1,11.7,13.4,15.4,17.5,19.6,21.7,23.9,26.5,28.2,29.9,31.7,34.1,44.7,53.4,62.2,71,79.8,91.6,101,111,121.7,133.3,148.9,161.4,174,186.7,198.8
ARBR_P,2.3,2.3,2.7,3.2,3.6,4.1,4.7,5.3,5.8,6.4,7.3,7.8,8.3,8.8,9.4,11.4,13.6,15.8,18,20.3,22.2,24.5,26.9,29.5,32.3,33.7,36.5,39.4,42.2,45
ARDK_P;CLAC_P,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.9,0.9,1
ARMO_P,1.8,1.8,2.1,2.4,2.8,3.1,3.5,3.9,4.3,4.8,5.2,5.5,5.9,6.2,6.7,7.4,8.9,10.3,11.8,13.2,13.9,15.3,16.8,18.4,20.2,20.6,22.3,24,25.8,27.5
AXMI1,10,10.2,11.9,13.8,15.9,17.5,19.9,22.2,24.6,27.1,28.5,30.3,32.1,34,36.6,42.8,51.1,59.5,67.9,76.3,83,91.5,100.6,110.3,120.8,131.2,142.2,153.3,164.5,175.2
AYRR,2.9,3,3.5,4.1,4.7,5.4,6.1,6.8,7.6,8.3,9.5,10.1,10.7,11.4,12.2,15.2,18.2,21.2,24.1,27.1,30.2,33.3,36.6,40.1,43.9,46.4,50.3,54.2,58.2,61.9
BAGA,2.4,2.5,2.9,3.3,3.8,4.4,5,5.6,6.2,6.9,7.9,8.4,8.9,9.4,10.1,12.6,15,17.5,20,22.5,25,27.5,30.3,33.2,36.4,38.4,41.6,44.9,48.1,51.3
BAIN,1.6,1.6,1.9,2.2,2.6,3,3.4,3.8,4.2,4.6,5.3,5.6,5.9,6.3,6.8,8.4,10.1,11.7,13.4,15,16.7,18.4,20.2,22.2,24.3,25.7,27.8,30,32.2,34.3
BARKC1;BARKW3,10.1,10.3,12.1,14,16.1,17.8,20.2,22.6,25.1,27.6,29.3,31.2,33.1,35.2,37.9,50.2,59.8,69.7,79.5,89.4,103.9,114.5,125.8,138,151.2,171.8,186.2,200.7,215.3,229.2
BEAU_P;ORRI_P,1.3,1.3,1.6,1.8,2.1,2.3,2.6,2.9,3.3,3.6,3.9,4.2,4.4,4.7,5,5.6,6.6,7.7,8.8,9.9,10.4,11.5,12.6,13.8,15.1,15.4,16.7,18,19.3,20.6
BEDDT1,11,11.2,13.1,15.2,17.4,20,22.7,25.4,28.1,31,34.1,36.2,38.4,40.7,43.8,58.8,70.2,81.7,93.3,104.8,121.7,134.2,147.5,161.8,177.2,200,216.8,233.7,250.8,267
BEDD_1,19.8,20.2,23.7,27.5,31.5,36.1,41,45.9,50.8,55.9,61.6,65.5,69.4,73.6,79.2,106.3,126.8,147.7,168.5,189.5,220,242.5,266.6,292.4,320.1,361.4,391.8,422.4,453.1,482.5
