GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CITR_1,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.3,17.1,16.8,16.4,16.0,15.6,15.1,14.5,14.0,13.4,12.7,12.0,11.3,10.5,9.5,8.5,7.4,6.4,5.2,3.9,2.5,0.0
CONQA1,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.4,0.3,0.0
COVE_1,,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.0,4.9,4.8,4.7,4.6,4.5,4.3,4.2,4.0,3.9,3.7,3.5,3.2,3.0,2.7,2.5,2.1,1.8,1.5,1.1,0.7,0.0
COWL_1,,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREB_1,,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,15.9,15.7,15.4,15.1,14.7,14.3,13.9,13.4,12.9,12.3,11.7,11.1,10.4,9.6,8.8,7.8,6.8,5.8,4.8,3.6,2.3,0.0
CUMB,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.0,0.8,0.7,0.6,0.4,0.3,0.0
DALM3,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.0
DEVO,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.5,0.4,0.4,0.3,0.2,0.0
DEWP,,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.0
DRAK_1,,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.0,7.8,7.6,7.5,7.2,7.0,6.8,6.5,6.2,5.9,5.6,5.2,4.9,4.4,4.0,3.4,3.0,2.4,1.8,1.2,0.0
DRAX_1,,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.2,11.0,10.8,10.6,10.3,10.0,9.7,9.4,9.0,8.6,8.2,7.8,7.3,6.7,6.1,5.5,4.8,4.1,3.4,2.5,1.6,0.0
DUDH_P,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.0,3.9,3.8,3.7,3.6,3.5,3.3,3.2,3.1,2.9,2.7,2.5,2.3,2.0,1.8,1.5,1.2,0.9,0.6,0.0
Direct(NGET),,1701.8,1701.8,1701.8,1661.8,1661.8,1651.8,1651.8,383.8,350.8,292.8,292.8,292.8,292.8,217.8,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,141.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0
Direct(SHETL),,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct(SPTL),,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EASO_1,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.1,1.9,1.8,1.7,1.5,1.4,1.2,1.0,0.8,0.6,0.4,0.0
ECLA_H,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.7,5.6,5.5,5.3,5.2,5.0,4.8,4.6,4.4,4.1,3.9,3.6,3.3,2.9,2.5,2.2,1.8,1.3,0.9,0.0
ELLA_1,,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.0,6.9,6.8,6.6,6.5,6.3,6.1,5.9,5.6,5.4,5.1,4.9,4.5,4.2,3.8,3.4,3.0,2.6,2.1,1.6,1.0,0.0
ELST_1,,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.1,12.0,11.7,11.5,11.2,10.9,10.5,10.2,9.8,9.4,8.9,8.4,7.9,7.3,6.7,5.9,5.2,4.4,3.6,2.7,1.7,0.0
ENDE_1,,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.5,11.3,11.1,10.8,10.6,10.3,10.0,9.6,9.3,8.9,8.4,8.0,7.5,6.9,6.3,5.6,4.9,4.2,3.4,2.6,1.7,0.0
EXET1,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.2,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.2,1.1,0.9,0.8,0.6,0.4,0.0
FAWL_1,,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.2,26.9,26.3,25.8,25.1,24.4,23.7,22.8,22.0,21.0,20.0,18.9,17.7,16.4,15.0,13.4,11.6,10.0,8.2,6.2,3.9,0.0
FECK_6,,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.5,10.3,10.1,9.9,9.7,9.4,9.1,8.8,8.4,8.1,7.7,7.3,6.8,6.3,5.8,5.1,4.4,3.8,3.1,2.4,1.5,0.0
FIDF_1,,97.8,97.8,97.8,97.8,97.8,97.8,97.8,97.8,96.7,95.5,93.6,91.5,89.3,86.8,84.1,81.1,78.0,74.7,71.0,67.1,62.8,58.2,53.2,47.5,41.1,35.4,29.1,21.9,13.9,0.0
FLEE_1,,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7.0,6.9,6.7,6.5,6.4,6.2,5.9,5.7,5.5,5.2,4.9,4.6,4.3,3.9,3.5,3.0,2.6,2.1,1.6,1.0,0.0
FROD_1,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.9,15.7,15.3,15.0,14.6,14.2,13.7,13.2,12.7,12.1,11.5,10.8,10.0,9.2,8.4,7.4,6.3,5.3,4.3,3.2,2.0,0.0
GLLU,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.0,0.8,0.7,0.6,0.4,0.3,0.0
GOVA,,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.1,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.0,0.9,0.7,0.5,0.3,0.0
GREN_1,,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,19.8,19.6,19.2,18.8,18.3,17.8,17.2,16.6,16.0,15.3,14.6,13.8,12.9,11.9,10.9,9.7,8.4,7.3,6.0,4.5,2.9,0.0
GRIW_1,,91.4,91.4,91.4,91.4,91.4,91.4,91.4,91.4,90.6,89.4,87.5,85.5,83.4,81.1,78.5,75.6,72.7,69.5,66.0,62.2,58.1,53.7,48.8,43.3,37.3,31.9,25.8,19.5,12.4,0.0
HACK_1,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.7,2.6,2.5,2.5,2.4,2.3,2.2,2.0,1.9,1.8,1.6,1.4,1.2,1.1,0.9,0.7,0.4,0.0
HARK_1,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.9,7.8,7.7,7.5,7.3,7.1,6.9,6.6,6.4,6.1,5.8,5.5,5.1,4.8,4.3,3.9,3.4,2.9,2.4,1.8,1.1,0.0
HEYS_1,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.1,2.0,2.0,1.9,1.8,1.7,1.6,1.5,1.3,1.2,1.0,0.9,0.7,0.6,0.4,0.0
HURS_1,,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.8,16.6,16.3,15.9,15.5,15.1,14.6,14.1,13.6,13.0,12.4,11.7,10.9,10.1,9.2,8.3,7.2,6.2,5.1,3.8,2.4,0.0
HUTT_1,,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.8,6.6,6.5,6.3,6.2,6.0,5.8,5.5,5.3,5.0,4.8,4.5,4.1,3.8,3.4,2.9,2.5,2.1,1.6,1.0,0.0
INDQ1,,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,17.9,17.7,17.3,16.9,16.5,16.1,15.6,15.0,14.4,13.8,13.1,12.4,11.6,10.8,9.8,8.8,7.6,6.6,5.4,4.1,2.6,0.0
IROA1,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.7,3.7,3.6,3.5,3.4,3.2,3.1,3.0,2.8,2.7,2.5,2.3,2.1,1.9,1.6,1.4,1.2,0.9,0.6,0.0
IVER_1,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.8,4.7,4.6,4.5,4.3,4.2,4.0,3.8,3.7,3.5,3.2,3.0,2.7,2.4,2.1,1.8,1.5,1.1,0.7,0.0
KAIM,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.7,3.6,3.6,3.5,3.4,3.2,3.1,3.0,2.8,2.7,2.5,2.3,2.1,1.9,1.6,1.4,1.2,0.9,0.6,0.0
KEAR_1,,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.6,27.3,26.7,26.1,25.5,24.8,24.0,23.2,22.3,21.3,20.3,19.2,17.9,16.6,15.2,13.6,11.7,10.1,8.3,6.3,4.0,0.0
KILT,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.9,3.8,3.7,3.7,3.6,3.4,3.3,3.2,3.1,2.9,2.7,2.6,2.4,2.2,1.9,1.7,1.4,1.2,0.9,0.6,0.0
KILW,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.8,15.6,15.3,15.0,14.6,14.2,13.8,13.3,12.8,12.2,11.6,11.0,10.3,9.5,8.7,7.8,6.7,5.8,4.8,3.6,2.3,0.0
KINO_1,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.2,0.0
KINT_P,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.4,7.3,7.2,7.0,6.8,6.7,6.5,6.2,6.0,5.7,5.4,5.1,4.8,4.5,4.1,3.6,3.2,2.7,2.2,1.7,1.1,0.0
LALE1SG003,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.2,0.0
LEGA_1,,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.2,18.0,17.6,17.2,16.8,16.4,15.9,15.3,14.7,14.1,13.4,12.6,11.8,11.0,10.0,8.9,7.8,6.7,5.5,4.1,2.6,0.0
LEVE,,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.5,10.4,10.2,9.9,9.7,9.4,9.1,8.8,8.5,8.1,7.7,7.3,6.8,6.3,5.8,5.2,4.5,3.9,3.2,2.4,1.5,0.0
LISD_1,,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,55.7,55.0,53.9,52.7,51.5,50.1,48.5,46.7,45.0,43.1,41.0,38.7,36.2,33.6,30.6,27.4,23.7,20.4,16.8,12.6,8.0,0.0
LITT_C,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.6,0.5,0.5,0.4,0.3,0.2,0.0
LODR_6,,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.3,4.2,4.1,4.0,3.8,3.7,3.5,3.3,3.2,3.0,2.7,2.5,2.2,1.9,1.7,1.4,1.0,0.7,0.0
LOVE_1,,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.1,16.9,16.5,16.2,15.8,15.3,14.9,14.3,13.8,13.2,12.5,11.9,11.1,10.3,9.4,8.4,7.3,6.3,5.1,3.9,2.5,0.0
MACC_3,,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.5,22.3,21.8,21.3,20.8,20.3,19.6,18.9,18.2,17.4,16.6,15.7,14.7,13.6,12.4,11.1,9.6,8.3,6.8,5.1,3.2,0.0
MAGA_6,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.9,8.8,8.6,8.4,8.2,8.0,7.7,7.5,7.2,6.9,6.5,6.2,5.8,5.4,4.9,4.4,3.8,3.3,2.7,2.0,1.3,0.0
MAYB,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.9,6.8,6.7,6.5,6.4,6.2,6.0,5.8,5.6,5.3,5.1,4.8,4.5,4.2,3.8,3.4,2.9,2.5,2.1,1.6,1.0,0.0
