GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Direct(NGET),90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,
Direct(NGET),10629.4,10553.4,10553.4,10993.4,11593.4,16573.4,17233.4,,,,,,,,,,,,,,,,,,,,,,,,
Direct(SHETL),1583.5,1583.5,1584.0,2658.5,2658.5,3458.5,3458.5,,,,,,,,,,,,,,,,,,,,,,,,
Direct(SPTL),0.0,0.0,0.0,0.0,1528.0,1528.0,1528.0,,,,,,,,,,,,,,,,,,,,,,,,
Dounreay,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
Peterhead Grange,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
Redmoss,49.6,49.6,49.6,49.6,49.6,49.6,49.6,,,,,,,,,,,,,,,,,,,,,,,,
Bicker Fen,184.68,184.68,184.68,184.68,184.68,184.68,184.68,,,,,,,,,,,,,,,,,,,,,,,,
Blyth 66kV,45.3,45.3,45.3,45.3,45.3,45.3,45.3,,,,,,,,,,,,,,,,,,,,,,,,
Bramford,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
Canterbury,139.5,139.5,139.5,139.5,139.5,139.5,139.5,,,,,,,,,,,,,,,,,,,,,,,,
Connah's Quay,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,,,,,,,,,,,,,,,,,,,,,,,,
Lackenby,62.0,62.0,62.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,
Norwich Main,76.0,76.0,76.0,76.0,76.0,76.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,
Pentir,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,,,,,,,,,,,,,,,,,,,,,,,,
