GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Walney 2,18687.6,18809.7,18949.6,19067.8,19165.9,19255.5,19347.5,19436.9,19522.5,19605.7,19688.8,19772.0,19853.9,19931.6,20006.7,20082.9,20156.5,20226.8,20293.9,20357.4,20424.0,20488.1,20546.0,20605.0,20663.5,20721.5,20780.4,20839.5,20898.9,20958.4,
Washway Farm,68812.8,69262.9,69776.8,70214.0,70575.2,70904.3,71243.1,71572.8,71888.7,72190.7,72499.0,72806.3,73104.2,73390.9,73666.4,73949.6,74221.2,74481.6,74725.0,74961.9,75206.2,75443.0,75655.3,75870.1,76085.4,76301.5,76518.2,76735.9,76955.6,77174.2,
Whitegate,157403.9,158433.2,159610.4,160607.8,161436.7,162189.4,162964.7,163717.5,164439.2,165130.5,165837.8,166538.4,167222.2,167875.9,168507.0,169153.9,169774.4,170371.2,170929.2,171470.3,172030.4,172568.5,173056.6,173546.9,174039.3,174533.5,175030.5,175529.5,176028.4,176530.9,
Blyth 132kV,30033.7,30230.6,30455.0,30646.0,30803.9,30947.2,31094.9,31239.1,31376.0,31508.7,31643.8,31777.1,31907.2,32032.5,32152.1,32276.6,32393.8,32509.0,32615.3,32718.2,32824.2,32927.8,33021.2,33114.3,33208.3,33303.3,33397.8,33492.8,33587.9,33683.2,
Blyth 66kV,325846.9,327978.2,330413.2,332479.6,334194.7,335753.5,337357.2,338917.8,340409.1,341841.2,343304.2,344754.8,346171.1,347524.4,348832.0,350171.9,351454.3,352691.1,353845.9,354964.3,356123.9,357240.8,358249.2,359264.8,360284.4,361308.6,362335.5,363367.9,364403.3,365441.0,
Bradford West,210917.2,212296.7,213872.8,215210.4,216320.1,217329.7,218367.3,219377.9,220344.2,221270.1,222217.6,223156.9,224073.5,224948.8,225795.7,226662.9,227492.2,228293.7,229041.6,229765.0,230514.9,231238.5,231891.8,232547.7,233207.6,233870.8,234536.9,235204.1,235874.7,236546.8,
Camblesforth,19057.0,19180.9,19324.5,19444.8,19544.9,19636.2,19729.3,19821.6,19907.9,19992.0,20077.7,20163.3,20244.8,20324.4,20401.7,20478.8,20554.6,20626.8,20694.2,20759.5,20827.7,20893.5,20951.8,21011.4,21071.0,21130.4,21190.8,21251.5,21312.4,21372.3,
Creyke Beck,261446.7,263156.4,265110.6,266768.7,268145.2,269397.0,270681.8,271935.1,273131.9,274279.4,275454.9,276618.1,277754.8,278839.4,279890.5,280964.4,281993.9,282986.0,283913.6,284810.8,285740.0,286636.4,287446.0,288259.8,289077.8,289899.1,290724.7,291552.1,292383.3,293216.7,
Drax,71452.2,71919.7,72453.7,72906.6,73282.5,73625.2,73977.1,74318.5,74645.8,74959.9,75280.8,75599.4,75909.2,76206.1,76492.7,76787.1,77068.2,77339.2,77592.6,77837.7,78092.1,78337.2,78558.1,78780.0,79003.6,79229.3,79454.2,79679.9,79907.8,80134.4,
Elland,175382.7,176529.7,177841.4,178953.1,179876.6,180715.9,181578.9,182417.8,183221.6,183991.8,184778.7,185560.7,186322.9,187050.7,187755.5,188475.2,189166.5,189831.3,190454.1,191055.2,191680.1,192280.6,192822.9,193369.6,193918.3,194469.3,195022.3,195579.0,196135.7,196694.0,
