GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Direct(NGET),90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,
Direct(NGET),10629.4,10553.4,10553.4,10993.4,11593.4,15253.4,17233.4,22152.4,23452.4,34533.4,36013.4,38013.4,39513.4,41493.4,42493.4,42151.5,42499.5,46628.5,49128.5,51428.5,51428.5,53628.5,55428.5,56328.5,57978.5,60328.5,61828.5,62828.5,62828.5,62828.5,
Direct(SHETL),1583.5,1584.0,1583.5,2658.5,2658.5,3458.5,3458.5,3458.5,3518.5,3518.5,6068.5,10308.5,11308.5,12308.5,20263.5,21763.5,21763.5,21763.5,21763.5,22263.5,23263.5,24263.5,24763.5,24763.5,24763.5,24763.5,24763.5,24763.5,24763.5,24763.5,
Direct(SPTL),0.0,0.0,0.0,0.0,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,1528.0,2728.0,5178.0,5178.0,6678.0,8598.0,8598.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,9048.0,
Dounreay,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Peterhead Grange,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,
Redmoss,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,49.6,
Bicker Fen,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,184.68,
Blyth 66kV,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,45.3,
Bramford,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,
Canterbury,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,
Connah's Quay,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,96.84210526,
Lackenby,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,
Norwich Main,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,
Pentir,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,63.15789474,
