GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
WABO,18581.9,18704.1,18842.7,18960.0,19058.0,19147.3,19238.0,19328.0,19412.0,19494.5,19577.4,19660.5,19740.7,19818.4,19891.7,19969.2,20042.9,20112.7,20179.3,20242.9,20308.2,20372.0,20429.7,20486.5,20546.0,20603.3,20662.0,20721.0,20779.1,20839.8,
WASF_1,68423.2,68870.4,69381.5,69816.1,70175.6,70503.1,70838.8,71167.8,71480.0,71780.3,72088.8,72392.9,72689.3,72973.1,73248.6,73530.4,73797.9,74059.2,74301.0,74536.4,74779.9,75013.9,75225.3,75437.4,75651.5,75867.8,76083.2,76299.3,76516.7,76734.9,
WHGA_1,156513.0,157536.3,158704.9,159697.9,160521.9,161270.2,162039.9,162789.9,163506.3,164193.9,164896.5,165593.3,166272.6,166923.2,167551.1,168193.1,168810.1,169403.3,169957.9,170494.2,171052.4,171588.8,172073.6,172559.7,173048.5,173541.3,174035.0,174530.7,175027.1,175525.2,
BLYTH132,29863.5,30058.6,30282.2,30472.2,30628.8,30771.3,30919.4,31060.8,31198.4,31329.1,31464.3,31597.3,31726.2,31850.5,31969.4,32092.1,32209.4,32323.2,32429.5,32532.0,32638.1,32741.1,32832.1,32926.6,33019.9,33113.1,33208.0,33300.9,33395.7,33493.0,
BLYTB1,324001.7,326119.3,328539.4,330594.3,332299.3,333850.6,335443.6,336995.1,338479.1,339901.0,341355.6,342799.4,344205.8,345551.1,346850.4,348182.2,349457.3,350686.9,351835.9,352945.9,354098.1,355209.2,356211.2,357222.2,358235.3,359253.3,360273.8,361300.5,362329.4,363361.7,
BRAW_1,209722.5,211093.3,212660.0,213991.1,215094.4,216097.4,217128.6,218134.0,219093.8,220015.1,220957.2,221890.9,222800.0,223671.1,224512.5,225375.0,226200.7,226995.8,227738.5,228457.6,229204.6,229924.0,230571.9,231225.4,231882.4,232539.5,233201.7,233866.4,234531.4,235200.8,
CAMB_01,18948.9,19072.3,19214.1,19335.2,19434.0,19525.0,19618.4,19708.1,19795.4,19878.9,19964.1,20048.5,20130.8,20208.5,20285.1,20363.0,20438.1,20509.7,20577.1,20640.7,20709.5,20774.9,20831.8,20892.6,20951.0,21010.1,21070.3,21130.8,21190.1,21252.0,
CREB_1,259966.1,261665.1,263607.6,265256.4,266624.1,267868.6,269147.2,270392.0,271582.3,272724.8,273891.8,275049.0,276177.2,277257.2,278300.7,279368.5,280392.2,281376.9,282300.4,283191.7,284116.4,285005.7,285811.5,286620.1,287433.3,288251.6,289069.9,289893.7,290719.5,291548.0,
DRAX_1,71047.9,71512.0,72042.9,72493.5,72867.4,73207.6,73557.5,73897.9,74222.1,74534.2,74853.9,75169.0,75478.1,75772.4,76058.3,76349.5,76630.6,76898.7,77151.5,77395.9,77647.1,77890.6,78110.6,78333.3,78554.0,78778.8,79002.9,79227.9,79452.0,79679.2,
ELLA_1,174389.5,175530.0,176833.2,177938.2,178855.7,179691.5,180547.7,181383.7,182181.5,182948.3,183731.9,184508.0,185263.7,185988.8,186688.0,187405.3,188091.2,188753.3,189371.2,189969.3,190590.4,191187.8,191727.6,192269.5,192815.7,193362.6,193912.4,194466.6,195019.0,195575.6,
