Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,135.158,133.107,128.146,123.873,122.227,112.774,111.218,108.550,104.903,103.675,102.772,103.480,104.591,106.339,107.871,109.479,112.170,114.558,117.469,120.645,124.466,129.570,135.415,141.492,148.578,156.077,161.734,168.140,174.768,181.850,186.430
BLYTB1,142.417,140.256,135.029,130.526,128.792,118.831,117.191,114.380,110.537,109.243,108.292,109.037,110.209,112.050,113.664,115.358,118.194,120.711,123.778,127.125,131.151,136.529,142.688,149.091,156.558,164.459,170.420,177.170,184.155,191.617,196.443
BLYTH132,21.255,20.932,20.152,19.480,19.221,17.735,17.490,17.070,16.497,16.304,16.162,16.273,16.448,16.723,16.964,17.217,17.640,18.015,18.473,18.973,19.574,20.376,21.295,22.251,23.365,24.545,25.434,26.442,27.484,28.598,29.318
BOAG_P,8.870,8.820,8.830,8.749,8.657,8.567,8.466,8.362,8.265,8.171,8.112,8.158,8.231,8.345,8.445,8.549,8.725,8.881,9.071,9.278,9.527,9.860,10.242,10.638,11.101,11.590,11.959,12.377,12.810,13.272,13.571
BOLN_1,256.332,252.441,243.034,234.928,231.807,213.879,210.928,205.868,198.951,196.622,194.911,196.253,198.360,201.674,204.581,207.629,212.734,217.264,222.784,228.808,236.054,245.733,256.819,268.343,281.783,296.005,306.733,318.882,331.453,344.884,353.570
BONN,17.450,17.351,17.372,17.212,17.032,16.854,16.655,16.451,16.260,16.075,15.958,16.049,16.192,16.416,16.613,16.819,17.165,17.471,17.845,18.252,18.743,19.398,20.148,20.929,21.838,22.801,23.528,24.350,25.201,26.110,26.698
BOTW_1,44.972,44.289,42.639,41.217,40.669,37.524,37.006,36.118,34.905,34.496,34.196,34.431,34.801,35.383,35.892,36.427,37.323,38.118,39.086,40.143,41.414,43.112,45.057,47.079,49.437,51.932,53.814,55.946,58.151,60.508,62.032
BRAC_P,7.570,7.527,7.536,7.467,7.389,7.312,7.225,7.137,7.054,6.973,6.923,6.962,7.024,7.122,7.207,7.296,7.446,7.579,7.741,7.918,8.131,8.415,8.741,9.079,9.474,9.891,10.207,10.563,10.933,11.327,11.582
BRAI_1,69.197,68.147,65.607,63.419,62.576,57.737,56.940,55.574,53.707,53.078,52.616,52.978,53.547,54.442,55.227,56.050,57.427,58.650,60.141,61.767,63.723,66.336,69.328,72.439,76.067,79.906,82.803,86.082,89.476,93.101,95.446
BRAP,10.262,10.204,10.216,10.122,10.016,9.912,9.794,9.675,9.563,9.453,9.385,9.438,9.522,9.654,9.770,9.891,10.095,10.274,10.494,10.734,11.023,11.408,11.849,12.308,12.843,13.409,13.836,14.320,14.820,15.355,15.701
