Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,0.118,0.299,0.494,0.734,1.080,1.560,2.128,2.783,3.529,4.358,5.297,6.348,7.491,8.728,10.060,11.486,13.007,14.622,16.331,18.153,20.089,22.126,24.258,26.491,28.819,31.249,33.777,36.399,39.123,41.946
BLYTH132,0.034,0.086,0.141,0.210,0.309,0.446,0.609,0.796,1.010,1.247,1.516,1.816,2.143,2.497,2.878,3.286,3.721,4.184,4.673,5.194,5.748,6.331,6.941,7.580,8.246,8.941,9.665,10.415,11.194,12.002
BOAG_P,0.012,0.031,0.050,0.075,0.110,0.159,0.217,0.284,0.360,0.445,0.541,0.648,0.765,0.891,1.027,1.173,1.328,1.493,1.668,1.854,2.052,2.260,2.478,2.706,2.943,3.192,3.450,3.718,3.996,4.284
BOLN_1,0.312,0.794,1.310,1.947,2.867,4.140,5.649,7.386,9.366,11.568,14.060,16.849,19.882,23.166,26.701,30.486,34.522,38.809,43.347,48.182,53.321,58.727,64.387,70.313,76.492,82.942,89.653,96.613,103.842,111.335
BONN,0.018,0.045,0.075,0.111,0.163,0.236,0.322,0.421,0.534,0.659,0.801,0.960,1.133,1.320,1.521,1.737,1.967,2.211,2.470,2.745,3.038,3.346,3.668,4.006,4.358,4.726,5.108,5.504,5.916,6.343
BOTW_1,0.075,0.192,0.316,0.470,0.692,1.000,1.364,1.784,2.262,2.794,3.396,4.069,4.802,5.595,6.449,7.363,8.338,9.373,10.469,11.637,12.878,14.183,15.550,16.981,18.474,20.032,21.652,23.333,25.079,26.889
BRAC_P,0.030,0.077,0.127,0.189,0.278,0.402,0.548,0.717,0.909,1.123,1.365,1.636,1.930,2.249,2.592,2.960,3.351,3.768,4.208,4.678,5.177,5.701,6.251,6.826,7.426,8.052,8.704,9.379,10.081,10.809
BRAI_1,0.114,0.290,0.479,0.712,1.048,1.513,2.064,2.700,3.423,4.228,5.138,6.158,7.266,8.466,9.758,11.142,12.617,14.184,15.842,17.609,19.487,21.463,23.531,25.697,27.956,30.313,32.765,35.309,37.951,40.690
BRAP,0.009,0.023,0.037,0.056,0.082,0.118,0.161,0.211,0.267,0.330,0.401,0.481,0.567,0.661,0.762,0.870,0.985,1.107,1.236,1.374,1.521,1.675,1.837,2.006,2.182,2.366,2.557,2.756,2.962,3.176
BRAW_1,0.138,0.350,0.578,0.859,1.265,1.826,2.492,3.258,4.131,5.102,6.201,7.432,8.770,10.218,11.777,13.447,15.227,17.118,19.119,21.252,23.519,25.903,28.399,31.013,33.739,36.584,39.544,42.614,45.802,49.107
BRED_1,0.091,0.231,0.381,0.566,0.834,1.204,1.643,2.148,2.723,3.364,4.088,4.899,5.781,6.736,7.764,8.865,10.038,11.285,12.604,14.010,15.504,17.076,18.722,20.445,22.242,24.117,26.069,28.092,30.194,32.373
BRFO_1;CLT03,0.595,1.513,2.497,3.711,5.464,7.890,10.766,14.077,17.850,22.046,26.795,32.110,37.891,44.149,50.886,58.100,65.792,73.962,82.610,91.825,101.619,111.921,122.707,134.000,145.777,158.068,170.859,184.122,197.900,212.180
BRID_P,0.023,0.058,0.096,0.142,0.210,0.303,0.413,0.540,0.685,0.846,1.028,1.232,1.454,1.694,1.952,2.229,2.524,2.838,3.170,3.523,3.899,4.294,4.708,5.141,5.593,6.065,6.555,7.064,7.593,8.141
BRIM_1,0.056,0.143,0.235,0.350,0.515,0.744,1.015,1.327,1.683,2.079,2.526,3.028,3.573,4.163,4.798,5.478,6.203,6.974,7.789,8.658,9.581,10.553,11.569,12.634,13.745,14.904,16.109,17.360,18.659,20.006
