Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,4.058,5.961,7.735,9.395,10.925,12.566,17.790,23.594,30.071,37.231,44.550,51.213,59.475,68.067,77.036,84.792,91.942,101.735,112.005,122.728,131.016,134.311,140.602,146.790,152.817,155.602,156.300,160.057,163.908,167.780,171.784
BLYTB1,0.764,1.122,1.456,1.768,2.056,2.365,3.861,5.120,6.526,8.080,9.668,11.349,13.180,15.084,17.072,18.791,20.575,22.767,25.065,27.465,29.319,30.125,31.536,32.924,34.276,34.901,35.074,35.917,36.781,37.650,38.548
BLYTH132,0.419,0.615,0.799,0.970,1.128,1.297,2.118,2.809,3.580,4.432,5.303,6.226,7.230,8.275,9.365,10.308,11.287,12.489,13.750,15.066,16.083,16.525,17.299,18.061,18.802,19.145,19.240,19.702,20.176,20.653,21.146
BOAG_P,0.077,0.114,0.148,0.179,0.208,0.240,0.345,0.457,0.583,0.722,0.863,1.008,1.171,1.340,1.517,1.669,1.787,1.977,2.177,2.385,2.547,2.566,2.686,2.805,2.920,2.973,2.923,2.993,3.065,3.137,3.212
BOLN_1,6.377,9.368,12.156,14.765,17.169,19.748,26.502,35.147,44.796,55.463,66.366,75.822,88.054,100.774,114.053,125.536,136.776,151.344,166.622,182.574,194.903,201.186,210.610,219.878,228.905,233.078,234.650,240.290,246.072,251.885,257.896
BONN,0.385,0.566,0.734,0.892,1.037,1.193,2.292,3.040,3.875,4.797,5.740,6.997,8.126,9.300,10.525,11.585,12.671,14.020,15.436,16.914,18.056,18.365,19.226,20.072,20.896,21.277,21.033,21.539,22.057,22.578,23.117
BOTW_1,1.098,1.612,2.092,2.541,2.955,3.399,4.355,5.775,7.361,9.114,10.905,12.399,14.399,16.479,18.650,20.528,22.411,24.799,27.302,29.916,31.936,33.126,34.678,36.204,37.691,38.378,38.755,39.686,40.641,41.601,42.594
BRAC_P,0.193,0.283,0.368,0.447,0.519,0.597,1.046,1.388,1.769,2.190,2.620,3.155,3.664,4.193,4.746,5.224,5.678,6.283,6.917,7.580,8.092,8.210,8.594,8.973,9.341,9.511,9.389,9.615,9.846,10.079,10.319
BRAI_1,2.373,3.487,4.524,5.495,6.390,7.350,10.791,14.312,18.241,22.584,27.023,30.950,35.944,41.136,46.557,51.244,54.897,60.744,66.877,73.279,78.228,79.023,82.725,86.365,89.911,91.550,90.939,93.125,95.366,97.619,99.948
BRAP,0.199,0.292,0.379,0.460,0.535,0.615,1.201,1.593,2.031,2.514,3.008,3.673,4.266,4.882,5.525,6.082,6.659,7.368,8.112,8.888,9.488,9.643,10.095,10.539,10.972,11.172,11.035,11.300,11.572,11.845,12.128
BRAW_1,2.401,3.527,4.577,5.559,6.465,7.436,10.584,14.037,17.890,22.150,26.504,31.140,36.164,41.388,46.842,51.558,57.664,63.806,70.247,76.973,82.170,87.083,91.162,95.174,99.082,100.888,103.412,105.897,108.446,111.007,113.656
BRED_1,1.569,2.305,2.991,3.633,4.225,4.860,6.635,8.799,11.215,13.885,16.614,19.389,22.517,25.770,29.166,32.102,35.872,39.693,43.700,47.884,51.117,54.198,56.737,59.234,61.665,62.790,64.359,65.907,67.492,69.087,70.735
BRFO_1;CLT03,4.870,7.154,9.282,11.275,13.110,15.080,21.512,28.530,36.362,45.021,53.870,61.479,71.397,81.711,92.478,101.789,109.217,120.850,133.050,145.788,155.632,157.562,164.943,172.201,179.271,182.539,181.550,185.914,190.388,194.884,199.535
BRID_P,0.164,0.242,0.313,0.381,0.443,0.509,0.892,1.183,1.507,1.866,2.233,2.689,3.123,3.574,4.045,4.452,4.840,5.355,5.896,6.460,6.896,6.997,7.325,7.647,7.961,8.107,8.002,8.195,8.392,8.590,8.795
BRIM_1,1.161,1.705,2.212,2.687,3.125,3.594,4.522,5.997,7.643,9.463,11.324,12.876,14.954,17.114,19.369,21.319,23.396,25.888,28.501,31.230,33.339,34.794,36.423,38.026,39.587,40.309,40.857,41.839,42.846,43.858,44.905
BROA_P,0.047,0.069,0.089,0.108,0.126,0.145,0.208,0.276,0.352,0.435,0.521,0.608,0.706,0.808,0.915,1.007,1.078,1.193,1.313,1.439,1.536,1.548,1.620,1.692,1.761,1.793,1.763,1.805,1.849,1.892,1.937
BROR_P,0.025,0.037,0.048,0.058,0.067,0.078,0.084,0.111,0.141,0.175,0.210,0.230,0.268,0.306,0.347,0.381,0.395,0.437,0.482,0.528,0.563,0.559,0.586,0.611,0.637,0.648,0.632,0.647,0.662,0.678,0.694
BROX,0.346,0.509,0.660,0.802,0.932,1.072,2.094,2.777,3.540,4.382,5.244,6.403,7.436,8.510,9.631,10.601,11.606,12.842,14.139,15.493,16.539,16.809,17.596,18.370,19.124,19.473,19.234,19.696,20.170,20.647,21.140
