Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,493.619,474.338,454.950,442.224,434.289,434.316,435.959,443.105,448.048,455.651,463.949,473.583,489.178,507.227,513.394,521.677,530.342,538.037,544.402,546.530,549.306,552.512,555.396,558.328,558.167,556.958,557.575,557.924,557.948,556.945
BLYTH132,56.530,55.087,53.977,53.876,54.673,56.667,58.861,62.017,64.955,68.200,72.382,76.909,82.250,87.830,91.591,95.785,99.972,103.553,106.660,107.972,109.420,111.052,112.426,113.628,113.068,111.757,111.708,111.528,111.255,110.527
BOAG_P,22.963,22.451,21.849,21.629,21.693,22.195,22.725,23.612,24.439,25.449,26.785,28.252,30.053,31.935,33.105,34.349,35.530,36.552,37.417,37.894,38.730,39.234,39.638,39.933,39.881,39.930,39.896,39.801,39.671,39.390
BOLN_1,813.580,789.476,769.558,762.861,766.923,780.170,802.901,837.315,868.199,902.845,935.111,980.004,1036.032,1095.997,1131.625,1159.361,1201.291,1237.332,1268.612,1280.197,1283.881,1299.965,1314.135,1327.812,1323.163,1308.331,1309.429,1309.376,1308.379,1303.252
BONN,59.651,57.842,56.560,56.375,57.108,59.483,61.807,65.144,68.301,71.833,77.200,82.219,88.124,94.305,98.553,104.093,109.221,113.622,117.499,119.257,123.368,125.794,127.874,129.801,129.459,129.402,129.735,129.879,129.979,129.386
BOTW_1,149.633,144.955,141.215,139.886,140.529,142.800,146.591,152.632,158.020,164.238,169.700,177.596,187.523,198.225,204.973,209.783,217.662,224.480,230.425,232.987,233.493,236.773,239.599,242.304,241.783,239.078,239.540,239.785,239.906,239.092
BRAC_P,27.090,26.661,26.360,26.434,26.732,27.382,28.603,30.324,31.974,33.812,36.554,39.198,42.258,45.427,47.689,50.646,53.245,55.478,57.436,58.408,60.676,61.910,62.937,63.833,63.687,63.853,63.982,64.006,64.004,63.624
BRAI_1,207.163,201.297,197.491,197.403,200.509,204.106,211.543,222.229,231.964,242.638,249.977,263.088,279.153,296.348,307.436,313.068,326.281,337.664,347.673,351.554,351.136,356.585,361.430,366.308,365.245,360.705,361.645,362.259,362.690,361.723
BRAP,30.009,29.300,28.704,28.567,28.731,29.485,30.501,31.981,33.342,34.880,37.123,39.161,41.662,44.345,46.091,48.471,50.846,52.904,54.739,55.511,57.409,58.624,59.724,60.867,60.854,60.892,61.269,61.574,61.875,61.866
BRAW_1,389.427,378.479,368.672,365.018,366.307,376.047,387.314,404.304,419.655,436.881,460.227,483.915,513.027,543.953,562.834,586.851,609.510,628.933,645.812,652.107,660.971,669.846,677.638,685.086,682.240,675.560,675.988,675.776,675.051,672.066
BRED_1,302.053,293.675,286.163,281.526,277.877,275.593,281.828,292.045,300.992,311.354,325.076,339.102,357.004,376.343,387.311,401.681,415.528,427.429,437.775,441.431,446.862,452.375,457.285,462.150,460.503,456.458,456.974,457.124,456.975,455.416
BRFO_1;CLT03,800.449,775.577,753.102,743.504,744.484,754.017,771.197,799.424,824.301,853.284,878.564,916.533,965.121,1017.313,1046.606,1065.698,1097.966,1125.792,1149.508,1158.933,1160.356,1171.888,1181.657,1190.208,1186.570,1176.859,1176.348,1174.790,1172.247,1166.416
