Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,142.510,143.110,146.454,149.112,151.771,153.828,155.715,156.487,157.173,159.230,160.945,162.660,164.718,166.433,167.719,168.663,169.263,169.606,169.949,170.206,170.978,171.749,172.607,173.207,173.636,174.236,174.750,175.179,175.608,175.779
BLYTH132,18.709,18.788,19.227,19.576,19.925,20.195,20.442,20.544,20.634,20.904,21.129,21.354,21.624,21.850,22.018,22.142,22.221,22.266,22.311,22.345,22.446,22.547,22.660,22.739,22.795,22.874,22.941,22.998,23.054,23.077
BOAG_P,5.080,5.102,5.221,5.316,5.411,5.484,5.551,5.579,5.603,5.677,5.738,5.799,5.872,5.933,5.979,6.013,6.034,6.046,6.059,6.068,6.095,6.123,6.153,6.175,6.190,6.211,6.230,6.245,6.260,6.267
BOLN_1,261.902,263.005,269.150,274.035,278.920,282.702,286.169,287.587,288.848,292.630,295.782,298.933,302.715,305.867,308.231,309.964,311.067,311.698,312.328,312.801,314.219,315.637,317.213,318.316,319.104,320.207,321.152,321.940,322.728,323.043
BONN,11.079,11.126,11.386,11.593,11.799,11.959,12.106,12.166,12.219,12.379,12.513,12.646,12.806,12.939,13.039,13.113,13.159,13.186,13.213,13.233,13.293,13.353,13.419,13.466,13.499,13.546,13.586,13.619,13.653,13.666
BOTW_1,45.536,45.728,46.797,47.646,48.496,49.153,49.756,50.002,50.222,50.879,51.427,51.975,52.633,53.181,53.592,53.893,54.085,54.194,54.304,54.386,54.633,54.879,55.153,55.345,55.482,55.674,55.838,55.975,56.112,56.167
BRAC_P,5.529,5.552,5.682,5.785,5.888,5.968,6.041,6.071,6.097,6.177,6.244,6.310,6.390,6.457,6.507,6.543,6.566,6.580,6.593,6.603,6.633,6.663,6.696,6.719,6.736,6.759,6.779,6.796,6.813,6.819
BRAI_1,66.713,66.994,68.560,69.804,71.049,72.012,72.895,73.256,73.578,74.541,75.344,76.147,77.110,77.913,78.515,78.956,79.237,79.398,79.558,79.679,80.040,80.401,80.803,81.084,81.284,81.565,81.806,82.007,82.208,82.288
BRAP,6.297,6.323,6.471,6.588,6.706,6.797,6.880,6.914,6.944,7.035,7.111,7.187,7.278,7.353,7.410,7.452,7.479,7.494,7.509,7.520,7.554,7.588,7.626,7.653,7.672,7.698,7.721,7.740,7.759,7.766
BRAW_1,128.236,128.776,131.785,134.177,136.569,138.420,140.118,140.812,141.429,143.281,144.824,146.368,148.219,149.762,150.920,151.769,152.309,152.617,152.926,153.157,153.852,154.546,155.318,155.858,156.244,156.784,157.247,157.633,158.018,158.173
BRED_1,87.366,87.734,89.785,91.414,93.044,94.305,95.462,95.935,96.355,97.617,98.668,99.720,100.981,102.033,102.821,103.399,103.767,103.978,104.188,104.346,104.819,105.292,105.818,106.185,106.448,106.816,107.132,107.395,107.657,107.762
BRFO_1;CLT03,256.599,257.680,263.701,268.487,273.273,276.978,280.375,281.765,282.999,286.705,289.792,292.881,296.586,299.674,301.989,303.688,304.769,305.386,306.004,306.467,307.856,309.246,310.790,311.871,312.643,313.723,314.649,315.422,316.194,316.502
BRID_P,5.625,5.649,5.781,5.886,5.991,6.072,6.146,6.177,6.204,6.285,6.353,6.420,6.502,6.569,6.620,6.657,6.681,6.695,6.708,6.718,6.749,6.779,6.813,6.837,6.854,6.877,6.898,6.915,6.931,6.938
BRIM_1,94.266,94.663,96.875,98.634,100.392,101.753,103.001,103.511,103.965,105.326,106.461,107.595,108.956,110.091,110.942,111.566,111.963,112.189,112.416,112.586,113.097,113.607,114.175,114.572,114.855,115.252,115.593,115.876,116.160,116.273
BROA_P,3.265,3.278,3.355,3.416,3.477,3.524,3.567,3.585,3.600,3.648,3.687,3.726,3.773,3.813,3.842,3.864,3.877,3.885,3.893,3.899,3.917,3.934,3.954,3.968,3.978,3.991,4.003,4.013,4.023,4.027
BROR_P,1.631,1.638,1.676,1.707,1.737,1.761,1.782,1.791,1.799,1.822,1.842,1.862,1.885,1.905,1.920,1.930,1.937,1.941,1.945,1.948,1.957,1.966,1.976,1.982,1.987,1.994,2.000,2.005,2.010,2.012
BROX,10.094,10.136,10.373,10.562,10.750,10.896,11.029,11.084,11.133,11.278,11.400,11.521,11.667,11.788,11.880,11.946,11.989,12.013,12.037,12.056,12.110,12.165,12.226,12.268,12.299,12.341,12.378,12.408,12.438,12.450
BRWA1,60.141,60.394,61.806,62.927,64.049,64.918,65.714,66.039,66.329,67.197,67.921,68.645,69.513,70.237,70.780,71.178,71.431,71.576,71.721,71.829,72.155,72.480,72.842,73.096,73.277,73.530,73.747,73.928,74.109,74.181
BUMU_P,8.705,8.741,8.946,9.108,9.270,9.396,9.511,9.558,9.600,9.726,9.831,9.935,10.061,10.166,10.244,10.302,10.339,10.360,10.381,10.396,10.443,10.491,10.543,10.580,10.606,10.642,10.674,10.700,10.726,10.737
BURM_1,97.345,97.755,100.040,101.855,103.671,105.077,106.365,106.892,107.361,108.767,109.938,111.110,112.515,113.687,114.565,115.210,115.620,115.854,116.088,116.264,116.791,117.318,117.904,118.314,118.607,119.017,119.368,119.661,119.954,120.071
BUSH_1,48.238,48.441,49.573,50.473,51.372,52.069,52.707,52.969,53.201,53.897,54.478,55.058,55.755,56.335,56.771,57.090,57.293,57.409,57.525,57.613,57.874,58.135,58.425,58.628,58.773,58.977,59.151,59.296,59.441,59.499
BUST_1,68.107,68.393,69.992,71.262,72.532,73.516,74.417,74.786,75.114,76.097,76.917,77.737,78.720,79.540,80.154,80.605,80.892,81.056,81.220,81.343,81.711,82.080,82.490,82.777,82.982,83.269,83.515,83.719,83.924,84.006
CAAD_P,4.053,4.070,4.165,4.240,4.316,4.375,4.428,4.450,4.470,4.528,4.577,4.626,4.684,4.733,4.770,4.796,4.814,4.823,4.833,4.840,4.862,4.884,4.909,4.926,4.938,4.955,4.970,4.982,4.994,4.999
CAMB_01,10.877,10.923,11.178,11.381,11.584,11.741,11.885,11.944,11.996,12.153,12.284,12.415,12.572,12.703,12.801,12.873,12.919,12.945,12.971,12.991,13.050,13.109,13.174,13.220,13.253,13.299,13.338,13.371,13.403,13.416
CANTN1;RICH1;RICH_J,65.893,66.171,67.717,68.946,70.175,71.127,71.999,72.356,72.673,73.625,74.417,75.210,76.162,76.955,77.550,77.986,78.263,78.422,78.580,78.699,79.056,79.413,79.809,80.087,80.285,80.563,80.801,80.999,81.197,81.276
CAPEA1,107.571,108.024,110.548,112.555,114.561,116.115,117.539,118.121,118.639,120.192,121.487,122.781,124.335,125.629,126.600,127.312,127.765,128.024,128.283,128.477,129.059,129.642,130.289,130.742,131.066,131.519,131.907,132.231,132.554,132.684
CARE_1,43.137,43.318,44.331,45.135,45.940,46.563,47.134,47.367,47.575,48.198,48.717,49.236,49.859,50.378,50.767,51.053,51.234,51.338,51.442,51.520,51.754,51.987,52.247,52.428,52.558,52.740,52.896,53.025,53.155,53.207
