Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,2.914,2.953,2.972,2.983,3.092,3.278,3.600,4.203,5.188,6.848,9.457,13.226,18.524,25.287,33.191,42.045,46.339,46.377,46.416,46.459,46.503,46.551,46.600,46.652,46.706,46.763,46.822,46.884,46.950,47.018
BLYTH132,0.000,0.000,0.000,0.000,0.075,0.208,0.454,0.929,1.740,3.105,5.247,8.340,12.692,18.266,24.862,32.044,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512,35.512
BOAG_P,0.148,0.150,0.151,0.152,0.180,0.234,0.331,0.516,0.830,1.358,2.188,3.386,5.071,7.228,9.776,12.563,13.909,13.911,13.913,13.915,13.918,13.920,13.923,13.925,13.928,13.931,13.934,13.937,13.940,13.944
BOLN_1,4.670,4.733,4.763,4.780,5.481,6.532,8.554,12.439,18.998,30.041,47.379,72.419,107.638,152.711,205.888,264.187,292.366,292.427,292.489,292.558,292.629,292.705,292.784,292.867,292.954,293.045,293.140,293.240,293.344,293.453
BONN,0.790,0.800,0.806,0.808,0.874,0.991,1.200,1.598,2.266,3.391,5.156,7.707,11.294,15.882,21.284,27.234,30.111,30.122,30.132,30.144,30.156,30.169,30.182,30.196,30.211,30.226,30.242,30.259,30.277,30.295
BOTW_1,0.002,0.002,0.002,0.002,0.115,0.301,0.654,1.337,2.502,4.464,7.543,11.990,18.246,26.258,35.739,46.063,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.047,51.048
BRAC_P,0.245,0.248,0.250,0.251,0.301,0.341,0.446,0.647,0.986,1.558,2.455,3.751,5.573,7.906,10.657,13.674,15.133,15.136,15.139,15.143,15.146,15.150,15.155,15.159,15.163,15.168,15.173,15.178,15.184,15.190
BRAI_1,0.418,0.424,0.426,0.428,0.550,0.756,1.138,1.876,3.129,5.238,8.550,13.331,20.058,28.670,38.847,49.963,55.334,55.339,55.345,55.351,55.357,55.364,55.371,55.378,55.386,55.394,55.403,55.412,55.421,55.431
BRAP,0.000,0.000,0.000,0.000,0.020,0.028,0.061,0.124,0.233,0.415,0.702,1.115,1.697,2.443,3.325,4.286,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749,4.749
BRAW_1,1.129,1.144,1.152,1.156,1.570,2.199,3.417,5.769,9.767,16.496,27.058,42.312,63.769,91.244,123.716,159.169,176.295,176.309,176.324,176.341,176.358,176.376,176.396,176.416,176.437,176.459,176.482,176.506,176.531,176.557
BRED_1,0.133,0.135,0.136,0.136,1.444,1.380,2.844,5.678,10.515,18.654,31.428,49.877,75.829,109.070,148.398,191.232,211.915,211.916,211.918,211.920,211.922,211.924,211.926,211.929,211.931,211.934,211.937,211.939,211.942,211.946
BRFO_1;CLT03,12.180,12.345,12.424,12.468,13.227,14.543,16.877,21.320,28.711,41.164,60.722,88.972,128.696,179.478,239.158,305.177,337.134,337.291,337.455,337.633,337.820,338.017,338.223,338.440,338.666,338.904,339.152,339.413,339.685,339.969
BRID_P,1.417,1.436,1.445,1.450,1.486,1.544,1.642,1.822,2.108,2.590,3.348,4.443,5.982,7.941,10.212,12.805,14.067,14.085,14.104,14.125,14.147,14.170,14.194,14.219,14.245,14.273,14.302,14.332,14.364,14.397
BRIM_1,1.631,1.653,1.663,1.669,2.006,2.400,3.246,4.874,7.627,12.263,19.540,30.050,44.832,63.754,86.089,110.547,122.366,122.388,122.409,122.433,122.458,122.485,122.512,122.541,122.572,122.603,122.637,122.671,122.708,122.746
BROA_P,0.002,0.002,0.002,0.002,0.009,0.024,0.051,0.102,0.189,0.336,0.566,0.899,1.367,1.966,2.675,3.448,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821,3.821
BROR_P,0.000,0.000,0.000,0.000,0.005,0.015,0.033,0.068,0.127,0.227,0.384,0.611,0.929,1.337,1.820,2.346,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600
BROX,0.566,0.574,0.577,0.579,0.647,0.748,0.941,1.312,1.937,2.988,4.639,7.024,10.378,14.669,19.727,25.283,27.969,27.977,27.984,27.992,28.001,28.010,28.020,28.030,28.040,28.052,28.063,28.075,28.088,28.101
BRWA1,4.986,5.053,5.086,5.103,5.406,5.908,6.810,8.526,11.376,16.179,23.722,34.618,49.938,69.520,92.524,117.996,130.328,130.393,130.460,130.533,130.609,130.690,130.774,130.863,130.955,131.053,131.154,131.261,131.372,131.489
BUMU_P,0.000,0.000,0.000,0.000,0.008,0.020,0.044,0.090,0.168,0.300,0.507,0.806,1.227,1.765,2.403,3.097,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432,3.432
BURM_1,0.854,0.865,0.871,0.874,1.061,1.341,1.884,2.929,4.700,7.682,12.362,19.121,28.629,40.800,55.173,70.896,78.493,78.504,78.515,78.528,78.541,78.555,78.569,78.584,78.600,78.617,78.634,78.652,78.671,78.691
BUSH_1,1.976,2.003,2.016,2.023,2.155,2.391,2.806,3.598,4.918,7.143,10.636,15.681,22.776,31.848,42.517,54.301,60.004,60.029,60.056,60.085,60.115,60.147,60.180,60.215,60.252,60.291,60.331,60.373,60.418,60.464
BUST_1,2.401,2.434,2.449,2.458,2.718,3.194,4.040,5.662,8.394,12.994,20.216,30.646,45.316,64.087,86.217,110.519,122.268,122.299,122.331,122.366,122.403,122.442,122.482,122.525,122.570,122.617,122.666,122.717,122.770,122.827
CAAD_P,0.000,0.000,0.000,0.000,0.039,0.118,0.256,0.524,0.982,1.752,2.961,4.708,7.164,10.310,14.033,18.087,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044,20.044
CAMB_01,0.151,0.153,0.154,0.155,0.186,0.244,0.347,0.547,0.884,1.453,2.346,3.635,5.448,7.769,10.511,13.509,14.958,14.960,14.962,14.964,14.966,14.969,14.971,14.974,14.977,14.980,14.983,14.986,14.989,14.993
CANTN1;RICH1;RICH_J,1.983,2.010,2.023,2.029,2.303,2.760,3.601,5.219,7.948,12.545,19.761,30.183,44.842,63.601,85.733,110.000,121.728,121.754,121.781,121.810,121.841,121.873,121.905,121.941,121.978,122.016,122.058,122.100,122.144,122.190
CAPEA1,0.897,0.909,0.915,0.918,1.036,1.247,1.627,2.357,3.590,5.665,8.922,13.626,20.243,28.711,38.701,49.655,54.950,54.961,54.973,54.986,55.000,55.015,55.030,55.046,55.062,55.080,55.098,55.117,55.137,55.158
CARE_1,0.005,0.005,0.005,0.005,0.117,0.320,0.691,1.410,2.637,4.701,7.941,12.620,19.203,27.634,37.610,48.473,53.718,53.719,53.719,53.719,53.719,53.719,53.719,53.719,53.719,53.719,53.719,53.719,53.720,53.720
CARR_1,0.002,0.002,0.002,0.002,0.182,0.484,1.052,2.152,4.029,7.189,12.148,19.310,29.385,42.290,57.560,74.187,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.215,82.216
CASS_P,0.000,0.000,0.000,0.000,0.009,0.027,0.058,0.119,0.224,0.399,0.674,1.071,1.631,2.347,3.194,4.117,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562,4.562
CATY,0.000,0.000,0.000,0.000,0.018,0.048,0.105,0.215,0.403,0.719,1.215,1.931,2.939,4.229,5.756,7.419,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222,8.222
CEAN_P,0.000,0.000,0.000,0.000,0.002,0.007,0.015,0.030,0.057,0.102,0.172,0.274,0.417,0.600,0.816,1.052,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166,1.166
CELL_1,3.649,3.698,3.722,3.735,4.236,5.142,6.767,9.890,15.163,24.042,37.981,58.113,86.429,122.669,165.427,212.295,234.949,234.996,235.045,235.098,235.154,235.213,235.275,235.340,235.408,235.479,235.553,235.631,235.713,235.798
CHAP,1.674,1.697,1.708,1.714,1.754,1.826,1.942,2.157,2.497,3.072,3.975,5.281,7.116,9.452,12.160,15.251,16.754,16.776,16.799,16.823,16.849,16.876,16.904,16.934,16.965,16.998,17.032,17.068,17.105,17.144
CHAR_P,0.000,0.000,0.000,0.000,0.013,0.032,0.069,0.142,0.266,0.474,0.801,1.274,1.938,2.790,3.797,4.894,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423,5.423
