Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,0.551,0.718,0.956,1.297,1.766,2.431,3.340,4.581,6.252,7.716,9.240,10.963,12.875,14.942,17.113,19.669,22.330,24.902,27.388,29.688,31.874,34.012,36.073,38.010,39.912,41.214,42.052,42.322,42.596,42.884
BLYTH132,0.511,0.664,0.879,1.182,1.595,2.173,2.954,4.012,5.423,6.692,8.014,9.509,11.167,12.960,14.843,17.060,19.367,21.599,23.755,25.750,27.645,29.500,31.288,32.967,34.617,35.747,36.473,36.708,36.945,37.195
BOAG_P,0.149,0.197,0.268,0.373,0.523,0.741,1.047,1.475,2.064,2.547,3.050,3.619,4.251,4.933,5.650,6.494,7.372,8.221,9.042,9.801,10.523,11.229,11.909,12.549,13.177,13.607,13.883,13.972,14.063,14.158
BOLN_1,5.804,7.382,9.440,12.137,15.498,19.825,25.149,31.724,39.720,49.019,58.700,69.647,81.794,94.929,108.721,124.957,141.860,158.202,173.995,188.610,202.492,216.079,229.172,241.476,253.560,261.834,267.153,268.871,270.613,272.444
BONN,0.362,0.476,0.642,0.887,1.231,1.729,2.422,3.385,4.701,5.801,6.947,8.242,9.680,11.234,12.866,14.788,16.788,18.722,20.591,22.321,23.963,25.571,27.121,28.577,30.007,30.986,31.615,31.819,32.025,32.242
BOTW_1,0.762,0.976,1.263,1.652,2.154,2.825,3.687,4.801,6.220,7.677,9.193,10.907,12.810,14.866,17.027,19.569,22.216,24.776,27.249,29.538,31.712,33.839,35.890,37.817,39.709,41.005,41.838,42.107,42.380,42.667
BRAC_P,0.939,1.169,1.441,1.758,2.089,2.431,2.724,2.918,2.927,3.612,4.325,5.132,6.027,6.995,8.011,9.208,10.453,11.658,12.821,13.898,14.921,15.922,16.887,17.794,18.684,19.294,19.686,19.813,19.941,20.076
BRAI_1,0.870,1.124,1.473,1.958,2.606,3.496,4.677,6.250,8.315,10.262,12.288,14.580,17.123,19.873,22.760,26.159,29.697,33.118,36.425,39.484,42.390,45.234,47.975,50.551,53.081,54.813,55.926,56.286,56.651,57.034
BRAP,0.290,0.358,0.436,0.521,0.600,0.667,0.697,0.664,0.529,0.653,0.782,0.927,1.089,1.264,1.448,1.664,1.889,2.107,2.317,2.512,2.696,2.878,3.052,3.216,3.376,3.487,3.558,3.580,3.604,3.628
BRAW_1,3.426,4.356,5.567,7.153,9.125,11.659,14.770,18.603,23.252,28.695,34.363,40.770,47.881,55.570,63.644,73.148,83.043,92.610,101.854,110.410,118.536,126.490,134.154,141.357,148.431,153.274,156.388,157.394,158.413,159.485
BRED_1,10.300,12.680,15.325,18.108,20.517,22.199,22.148,19.269,11.960,14.761,17.676,20.972,24.630,28.585,32.738,37.627,42.717,47.638,52.394,56.794,60.975,65.066,69.009,72.713,76.352,78.844,80.446,80.963,81.487,82.039
