Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,0.118,0.276,0.445,0.651,0.948,1.363,1.849,2.411,3.047,3.758,4.564,5.462,6.442,7.502,8.644,9.869,11.183,12.570,14.035,15.601,17.261,19.010,20.841,22.753,24.748,26.828,28.991,31.239,33.570,35.986
BLYTH132,0.034,0.079,0.127,0.186,0.271,0.390,0.529,0.690,0.872,1.075,1.306,1.563,1.843,2.147,2.473,2.824,3.200,3.596,4.016,4.464,4.939,5.439,5.963,6.510,7.081,7.676,8.295,8.938,9.605,10.296
BOAG_P,0.012,0.028,0.045,0.066,0.097,0.139,0.189,0.246,0.311,0.384,0.466,0.558,0.658,0.766,0.883,1.008,1.142,1.284,1.433,1.593,1.763,1.942,2.129,2.324,2.528,2.740,2.961,3.191,3.429,3.675
BOLN_1,0.312,0.732,1.182,1.727,2.516,3.617,4.908,6.400,8.089,9.976,12.113,14.498,17.098,19.912,22.942,26.193,29.682,33.363,37.252,41.410,45.815,50.456,55.317,60.391,65.687,71.207,76.949,82.915,89.103,95.514
BONN,0.018,0.042,0.067,0.098,0.143,0.206,0.280,0.365,0.461,0.568,0.690,0.826,0.974,1.134,1.307,1.492,1.691,1.901,2.122,2.359,2.610,2.875,3.152,3.441,3.743,4.057,4.384,4.724,5.077,5.442
BOTW_1,0.075,0.177,0.285,0.417,0.608,0.874,1.185,1.546,1.954,2.409,2.925,3.501,4.129,4.809,5.541,6.326,7.169,8.058,8.997,10.001,11.065,12.186,13.360,14.585,15.864,17.197,18.584,20.025,21.520,23.068
BRAC_P,0.030,0.071,0.115,0.168,0.244,0.351,0.476,0.621,0.785,0.968,1.176,1.407,1.660,1.933,2.227,2.543,2.882,3.239,3.617,4.020,4.448,4.898,5.370,5.863,6.377,6.913,7.470,8.049,8.650,9.273
BRAI_1,0.114,0.268,0.432,0.631,0.920,1.322,1.794,2.339,2.956,3.646,4.427,5.298,6.249,7.277,8.385,9.573,10.848,12.193,13.615,15.134,16.744,18.440,20.217,22.071,24.007,26.024,28.123,30.303,32.564,34.908
BRAP,0.009,0.021,0.034,0.049,0.072,0.103,0.140,0.183,0.231,0.285,0.346,0.414,0.488,0.568,0.654,0.747,0.847,0.952,1.063,1.181,1.307,1.439,1.578,1.723,1.874,2.031,2.195,2.365,2.542,2.724
BRAW_1,0.138,0.323,0.521,0.762,1.110,1.596,2.165,2.823,3.568,4.400,5.343,6.395,7.541,8.783,10.119,11.553,13.092,14.716,16.431,18.265,20.208,22.255,24.399,26.637,28.973,31.408,33.941,36.572,39.301,42.129
BRED_1,0.091,0.213,0.344,0.502,0.732,1.052,1.427,1.861,2.352,2.901,3.522,4.216,4.971,5.790,6.671,7.616,8.631,9.701,10.832,12.041,13.322,14.671,16.085,17.560,19.100,20.705,22.375,24.109,25.909,27.773
