Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,20.907,21.157,21.407,21.657,21.906,22.656,23.531,24.531,25.531,26.780,28.030,29.280,30.530,31.779,33.029,34.279,35.529,36.778,38.028,39.278,40.528,41.777,43.027,44.277,45.527,46.776,48.026,49.276,50.526,51.775
BLYTH132,5.982,6.053,6.125,6.196,6.268,6.483,6.733,7.019,7.305,7.663,8.020,8.378,8.735,9.093,9.450,9.808,10.166,10.523,10.881,11.238,11.596,11.954,12.311,12.669,13.026,13.384,13.741,14.099,14.457,14.814
BOAG_P,2.135,2.161,2.186,2.212,2.237,2.314,2.403,2.505,2.608,2.735,2.863,2.991,3.118,3.246,3.373,3.501,3.629,3.756,3.884,4.012,4.139,4.267,4.395,4.522,4.650,4.777,4.905,5.033,5.160,5.288
BOLN_1,55.491,56.155,56.818,57.482,58.145,60.135,62.457,65.111,67.765,71.082,74.399,77.716,81.033,84.350,87.667,90.984,94.301,97.619,100.936,104.253,107.570,110.887,114.204,117.521,120.838,124.155,127.472,130.790,134.107,137.424
BONN,3.162,3.199,3.237,3.275,3.313,3.426,3.558,3.710,3.861,4.050,4.239,4.428,4.617,4.806,4.995,5.184,5.373,5.562,5.751,5.940,6.129,6.318,6.507,6.696,6.885,7.074,7.263,7.452,7.641,7.830
BOTW_1,13.402,13.562,13.722,13.883,14.043,14.523,15.084,15.725,16.366,17.167,17.968,18.769,19.571,20.372,21.173,21.974,22.775,23.576,24.377,25.178,25.980,26.781,27.582,28.383,29.184,29.985,30.786,31.587,32.389,33.190
BRAC_P,5.387,5.452,5.516,5.580,5.645,5.838,6.063,6.321,6.579,6.901,7.223,7.545,7.867,8.189,8.511,8.833,9.155,9.477,9.799,10.121,10.443,10.765,11.087,11.409,11.731,12.053,12.375,12.697,13.019,13.341
BRAI_1,20.280,20.523,20.765,21.008,21.250,21.978,22.826,23.796,24.766,25.978,27.190,28.403,29.615,30.827,32.040,33.252,34.464,35.677,36.889,38.101,39.313,40.526,41.738,42.950,44.163,45.375,46.587,47.800,49.012,50.224
BRAP,1.583,1.602,1.621,1.640,1.659,1.715,1.782,1.857,1.933,2.028,2.122,2.217,2.311,2.406,2.501,2.595,2.690,2.785,2.879,2.974,3.068,3.163,3.258,3.352,3.447,3.541,3.636,3.731,3.825,3.920
BRAW_1,24.476,24.769,25.061,25.354,25.646,26.524,27.548,28.719,29.889,31.352,32.816,34.279,35.742,37.205,38.668,40.131,41.594,43.057,44.520,45.983,47.447,48.910,50.373,51.836,53.299,54.762,56.225,57.688,59.151,60.614
BRED_1,16.135,16.328,16.521,16.714,16.907,17.486,18.161,18.932,19.704,20.669,21.633,22.598,23.562,24.527,25.491,26.456,27.420,28.385,29.349,30.314,31.278,32.243,33.207,34.172,35.136,36.101,37.065,38.030,38.994,39.959
