Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,80.102,81.108,82.114,83.120,84.125,85.131,88.148,91.668,95.691,99.714,104.743,109.772,114.801,119.829,124.858,129.887,134.916,139.944,144.973,150.002,155.031,160.060,165.088,170.117,175.146,180.175,185.203,190.232,195.261,200.290,205.318
BLYTB1,19.907,20.157,20.407,20.657,20.907,21.157,21.906,22.781,23.781,24.781,26.031,27.280,28.530,29.780,31.030,32.279,33.529,34.779,36.029,37.278,38.528,39.778,41.027,42.277,43.527,44.777,46.026,47.276,48.526,49.776,51.025
BLYTH132,5.696,5.767,5.839,5.910,5.982,6.053,6.268,6.518,6.804,7.090,7.448,7.806,8.163,8.521,8.878,9.236,9.593,9.951,10.309,10.666,11.024,11.381,11.739,12.097,12.454,12.812,13.169,13.527,13.884,14.242,14.600
BOAG_P,2.033,2.059,2.084,2.110,2.135,2.161,2.237,2.327,2.429,2.531,2.659,2.786,2.914,3.042,3.169,3.297,3.424,3.552,3.680,3.807,3.935,4.063,4.190,4.318,4.446,4.573,4.701,4.829,4.956,5.084,5.211
BOLN_1,52.838,53.501,54.164,54.828,55.491,56.155,58.145,60.467,63.121,65.774,69.091,72.408,75.726,79.043,82.360,85.677,88.994,92.311,95.628,98.945,102.262,105.580,108.897,112.214,115.531,118.848,122.165,125.482,128.799,132.116,135.433
BONN,3.010,3.048,3.086,3.124,3.162,3.199,3.313,3.445,3.596,3.747,3.936,4.125,4.314,4.503,4.692,4.881,5.070,5.259,5.448,5.637,5.826,6.015,6.204,6.393,6.582,6.771,6.960,7.149,7.338,7.527,7.716
BOTW_1,12.761,12.921,13.081,13.242,13.402,13.562,14.043,14.604,15.245,15.885,16.687,17.488,18.289,19.090,19.891,20.692,21.493,22.294,23.096,23.897,24.698,25.499,26.300,27.101,27.902,28.703,29.505,30.306,31.107,31.908,32.709
BRAC_P,5.130,5.194,5.258,5.323,5.387,5.452,5.645,5.870,6.128,6.385,6.708,7.030,7.352,7.674,7.996,8.318,8.640,8.962,9.284,9.606,9.928,10.250,10.572,10.894,11.216,11.538,11.860,12.182,12.504,12.826,13.148
BRAI_1,19.311,19.553,19.795,20.038,20.280,20.523,21.250,22.099,23.069,24.038,25.251,26.463,27.675,28.888,30.100,31.312,32.525,33.737,34.949,36.161,37.374,38.586,39.798,41.011,42.223,43.435,44.648,45.860,47.072,48.284,49.497
BRAP,1.507,1.526,1.545,1.564,1.583,1.602,1.659,1.725,1.800,1.876,1.971,2.065,2.160,2.255,2.349,2.444,2.539,2.633,2.728,2.822,2.917,3.012,3.106,3.201,3.295,3.390,3.485,3.579,3.674,3.769,3.863
