Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,1.657,2.154,2.674,3.148,3.645,4.554,5.375,6.395,7.589,9.008,10.873,12.485,14.280,16.231,18.260,20.389,22.944,25.812,29.097,32.277,35.128,38.164,41.043,43.768,46.051,47.139,49.578,52.424,55.576,58.955
BLYTH132,1.081,1.405,1.745,2.053,2.377,2.970,3.506,4.171,4.951,5.876,7.092,8.144,9.315,10.588,11.911,13.300,14.966,16.837,18.980,21.055,22.915,24.895,26.773,28.550,30.039,30.749,32.341,34.197,36.253,38.457
BOAG_P,0.229,0.298,0.370,0.436,0.505,0.624,0.736,0.876,1.040,1.234,1.432,1.645,1.881,2.138,2.406,2.554,2.874,3.233,3.645,4.043,4.109,4.464,4.801,5.119,5.386,5.239,5.511,5.827,6.177,6.553
BOLN_1,11.299,14.689,18.240,21.469,24.858,28.078,33.141,39.432,46.796,55.542,61.622,70.762,80.934,91.991,103.490,114.747,129.127,145.268,163.757,181.659,199.183,216.395,232.724,248.170,261.115,276.455,290.762,307.454,325.934,345.755
BONN,1.151,1.496,1.857,2.186,2.531,3.650,4.309,5.127,6.084,7.221,9.191,10.554,12.071,13.720,15.435,17.369,19.546,21.989,24.788,27.497,29.165,31.685,34.076,36.338,38.233,38.185,40.162,42.467,45.020,47.757
BOTW_1,1.915,2.489,3.091,3.638,4.213,4.653,5.492,6.535,7.756,9.205,10.148,11.654,13.329,15.150,17.043,19.058,21.447,24.128,27.198,30.172,33.307,36.185,38.915,41.498,43.663,46.473,48.878,51.684,54.791,58.123
BRAC_P,0.573,0.744,0.924,1.088,1.260,1.721,2.031,2.417,2.868,3.404,4.210,4.834,5.529,6.284,7.070,7.820,8.800,9.900,11.160,12.380,12.981,14.103,15.167,16.174,17.017,16.883,17.757,18.776,19.905,21.115
BRAI_1,4.634,6.024,7.480,8.804,10.194,11.720,13.833,16.459,19.533,23.184,25.522,29.307,33.520,38.099,42.861,44.956,50.589,56.913,64.156,71.170,75.269,81.773,87.943,93.780,98.672,101.521,106.775,112.904,119.691,126.970
BRAP,0.612,0.796,0.988,1.163,1.346,1.937,2.287,2.721,3.229,3.832,4.871,5.593,6.397,7.271,8.180,9.197,10.349,11.643,13.125,14.559,15.432,16.765,18.030,19.227,20.230,20.195,21.240,22.460,23.810,25.257
BRAW_1,5.352,6.958,8.640,10.169,11.775,13.852,16.350,19.453,23.087,27.401,32.735,37.591,42.994,48.868,54.976,64.239,72.289,81.326,91.676,101.698,114.612,124.515,133.911,142.799,150.248,158.011,166.188,175.729,186.291,197.620
BRED_1,3.494,4.542,5.640,6.638,7.686,8.798,10.384,12.355,14.663,17.403,20.381,23.404,26.768,30.425,34.228,39.529,44.483,50.043,56.413,62.580,70.026,76.077,81.818,87.248,91.800,96.152,101.128,106.933,113.361,120.254
BRFO_1;CLT03,9.225,11.993,14.892,17.528,20.296,23.280,27.478,32.694,38.800,46.052,50.576,58.077,66.426,75.500,84.938,89.555,100.779,113.376,127.805,141.777,149.967,162.926,175.219,186.848,196.596,202.359,212.831,225.049,238.577,253.086
BRID_P,0.491,0.639,0.793,0.933,1.081,1.476,1.743,2.073,2.461,2.921,3.612,4.148,4.744,5.392,6.066,6.709,7.550,8.493,9.574,10.621,11.137,12.100,13.013,13.876,14.600,14.485,15.235,16.109,17.077,18.116
BRIM_1,2.025,2.632,3.268,3.847,4.454,4.860,5.736,6.825,8.099,9.613,10.606,12.180,13.930,15.834,17.813,20.252,22.789,25.638,28.901,32.061,35.830,38.926,41.864,44.642,46.971,50.467,53.078,56.126,59.499,63.117
BROA_P,0.138,0.180,0.223,0.263,0.304,0.376,0.444,0.528,0.627,0.744,0.864,0.992,1.135,1.290,1.451,1.540,1.733,1.950,2.198,2.439,2.478,2.692,2.895,3.087,3.249,3.160,3.324,3.514,3.726,3.952
