Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,0.126,0.252,0.396,0.557,0.719,0.758,0.830,0.939,1.083,1.264,1.409,1.605,1.855,2.140,2.604,2.889,3.390,3.841,4.275,4.659,4.816,5.209,5.540,5.823,6.028,5.886,6.049,6.198,6.376,6.436
BLYTH132,0.084,0.167,0.263,0.370,0.478,0.504,0.552,0.624,0.720,0.840,0.936,1.067,1.233,1.422,1.730,1.920,2.253,2.552,2.841,3.096,3.200,3.461,3.681,3.869,4.005,3.911,4.020,4.118,4.237,4.276
BOAG_P,0.015,0.030,0.047,0.066,0.085,0.126,0.138,0.156,0.180,0.210,0.298,0.339,0.392,0.452,0.550,0.887,1.041,1.179,1.312,1.430,1.864,2.016,2.144,2.254,2.333,2.704,2.779,2.847,2.929,2.956
BOLN_1,0.321,0.642,1.009,1.422,1.835,1.847,2.023,2.287,2.639,3.079,3.383,3.855,4.454,5.139,6.253,7.080,8.308,9.413,10.477,11.418,12.129,13.120,13.953,14.666,15.182,15.166,15.587,15.970,16.430,16.583
BONN,0.069,0.139,0.218,0.307,0.396,0.586,0.642,0.726,0.838,0.977,1.444,1.646,1.901,2.194,2.669,4.483,5.261,5.960,6.634,7.230,9.618,10.404,11.064,11.630,12.039,14.106,14.498,14.854,15.282,15.424
BOTW_1,0.386,0.773,1.214,1.711,2.207,2.275,2.491,2.816,3.250,3.791,4.133,4.708,5.440,6.277,7.637,8.530,10.009,11.340,12.622,13.756,14.397,15.573,16.561,17.408,18.019,17.974,18.473,18.927,19.471,19.653
BRAC_P,0.042,0.085,0.133,0.188,0.242,0.365,0.399,0.451,0.521,0.608,0.900,1.025,1.185,1.367,1.664,2.788,3.272,3.707,4.126,4.497,5.980,6.468,6.879,7.230,7.484,8.774,9.018,9.239,9.505,9.594
BRAI_1,0.605,1.210,1.902,2.680,3.458,3.447,3.775,4.268,4.924,5.745,6.189,7.051,8.147,9.401,11.438,12.537,14.711,16.668,18.552,20.219,21.005,22.721,24.163,25.399,26.291,26.130,26.856,27.516,28.307,28.571
BRAP,0.032,0.065,0.101,0.143,0.184,0.268,0.293,0.332,0.383,0.446,0.654,0.745,0.861,0.993,1.209,2.016,2.366,2.681,2.984,3.252,4.312,4.664,4.960,5.214,5.397,6.311,6.487,6.646,6.837,6.901
BRAW_1,0.240,0.479,0.753,1.061,1.369,1.528,1.674,1.892,2.183,2.547,2.912,3.317,3.833,4.423,5.381,6.223,7.302,8.273,9.208,10.036,10.539,11.400,12.124,12.744,13.191,12.909,13.267,13.593,13.984,14.115
BRED_1,0.159,0.318,0.499,0.703,0.907,1.041,1.140,1.288,1.487,1.734,1.985,2.262,2.613,3.015,3.669,4.274,5.015,5.682,6.325,6.893,7.218,7.808,8.303,8.728,9.034,8.846,9.092,9.315,9.583,9.673
