Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BISW_1,4.869,6.795,10.322,14.320,18.743,22.512,26.263,32.445,39.098,46.441,52.441,57.282,65.604,75.301,86.494,95.533,95.738,113.901,131.408,148.237,159.676,167.765,181.655,195.754,209.791,218.115,222.613,232.664,241.826,250.049,257.401
BLYTB1,0.634,0.884,1.343,1.863,2.439,2.929,3.716,4.591,5.532,6.571,7.420,8.419,9.642,11.067,12.712,14.041,14.925,17.756,20.485,23.109,24.892,26.625,28.829,31.066,33.294,34.615,35.718,37.331,38.801,40.120,41.300
BLYTH132,0.520,0.726,1.103,1.531,2.003,2.406,3.052,3.771,4.544,5.398,6.095,6.916,7.921,9.091,10.443,11.534,12.260,14.586,16.828,18.983,20.448,21.871,23.682,25.520,27.349,28.435,29.341,30.665,31.873,32.957,33.926
BOAG_P,0.094,0.132,0.200,0.278,0.364,0.437,0.482,0.595,0.717,0.851,0.961,1.016,1.163,1.335,1.534,1.694,1.602,1.906,2.199,2.480,2.671,2.725,2.950,3.179,3.407,3.542,3.567,3.728,3.875,4.007,4.125
BOLN_1,5.936,8.284,12.584,17.459,22.851,27.447,31.149,38.481,46.372,55.081,62.198,67.962,77.835,89.339,102.619,113.344,114.935,136.740,157.757,177.961,191.694,203.303,220.136,237.221,254.231,264.319,270.804,283.031,294.177,304.179,313.124
BONN,0.541,0.755,1.147,1.591,2.083,2.502,3.026,3.738,4.505,5.351,6.042,6.827,7.819,8.974,10.308,11.386,11.512,13.696,15.801,17.825,19.201,20.163,21.832,23.527,25.214,26.214,26.683,27.887,28.985,29.971,30.852
BOTW_1,1.000,1.396,2.120,2.941,3.850,4.624,5.194,6.416,7.732,9.184,10.371,11.447,13.111,15.048,17.285,19.092,19.717,23.458,27.063,30.529,32.885,35.268,38.188,41.152,44.103,45.853,47.191,49.322,51.264,53.007,54.566
BRAC_P,0.252,0.352,0.534,0.741,0.970,1.165,1.387,1.714,2.065,2.453,2.770,3.080,3.527,4.048,4.650,5.136,5.101,6.069,7.002,7.898,8.508,8.846,9.578,10.321,11.061,11.500,11.655,12.181,12.661,13.091,13.476
BRAI_1,2.743,3.827,5.814,8.066,10.558,12.681,14.353,17.732,21.368,25.381,28.661,29.751,34.073,39.110,44.923,49.618,46.440,55.251,63.743,71.906,77.455,78.412,84.904,91.493,98.054,101.945,102.570,107.200,111.422,115.211,118.598
BRAP,0.287,0.400,0.608,0.844,1.105,1.327,1.599,1.975,2.380,2.827,3.192,3.601,4.124,4.733,5.437,6.005,6.067,7.218,8.328,9.394,10.119,10.629,11.509,12.402,13.291,13.819,14.069,14.704,15.284,15.803,16.268
BRAW_1,1.884,2.629,3.994,5.541,7.252,8.711,11.482,14.185,17.093,20.304,22.927,28.106,32.190,36.947,42.439,46.874,54.528,64.872,74.843,84.428,90.944,101.611,110.024,118.563,127.065,132.107,138.173,144.411,150.098,155.202,159.765
BRED_1,1.186,1.655,2.513,3.487,4.564,5.482,7.114,8.789,10.591,12.580,14.205,17.239,19.743,22.661,26.030,28.750,33.215,39.516,45.590,51.428,55.397,61.676,66.782,71.965,77.125,80.186,83.699,87.477,90.922,94.014,96.778
BRFO_1;CLT03,5.407,7.545,11.462,15.902,20.813,24.999,27.918,34.490,41.562,49.369,55.747,57.923,66.338,76.142,87.461,96.601,91.106,108.390,125.050,141.065,151.951,154.877,167.701,180.716,193.674,201.360,203.208,212.382,220.746,228.252,234.964
BRID_P,0.211,0.295,0.448,0.621,0.813,0.976,1.162,1.436,1.730,2.055,2.321,2.580,2.955,3.391,3.896,4.303,4.273,5.084,5.866,6.617,7.127,7.410,8.024,8.647,9.267,9.634,9.764,10.205,10.607,10.967,11.290
BRIM_1,0.986,1.376,2.091,2.901,3.797,4.560,5.183,6.403,7.716,9.166,10.350,11.639,13.330,15.300,17.574,19.411,20.516,24.409,28.160,31.767,34.218,37.062,40.131,43.245,46.346,48.185,49.749,51.995,54.042,55.880,57.523
BROA_P,0.057,0.080,0.121,0.168,0.219,0.263,0.290,0.359,0.432,0.514,0.580,0.613,0.702,0.805,0.925,1.022,0.966,1.149,1.326,1.496,1.611,1.643,1.779,1.917,2.055,2.137,2.151,2.249,2.337,2.417,2.488
BROR_P,0.027,0.038,0.058,0.081,0.106,0.127,0.123,0.152,0.183,0.217,0.245,0.234,0.268,0.308,0.354,0.391,0.330,0.392,0.453,0.511,0.550,0.535,0.580,0.625,0.670,0.696,0.690,0.722,0.750,0.775,0.798
BROX,0.500,0.698,1.060,1.471,1.926,2.313,2.787,3.442,4.148,4.927,5.564,6.276,7.188,8.251,9.477,10.467,10.576,12.582,14.516,16.375,17.639,18.527,20.060,21.617,23.168,24.087,24.524,25.631,26.640,27.546,28.356
BRWA1,2.343,3.269,4.967,6.891,9.019,10.832,12.285,15.177,18.289,21.724,24.531,25.212,28.875,33.143,38.069,42.047,38.697,46.038,53.114,59.917,64.540,64.648,70.001,75.434,80.843,84.051,84.222,88.024,91.491,94.601,97.383
BUMU_P,0.449,0.627,0.952,1.321,1.729,2.077,2.472,3.054,3.680,4.372,4.936,5.488,6.285,7.214,8.286,9.152,9.090,10.815,12.477,14.075,15.161,15.763,17.068,18.393,19.712,20.494,20.769,21.707,22.562,23.329,24.015
