Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRAW_1,,,,,,,,,,,,,,,,,,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100,37.100
BRED_1,,,,,,,,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000
BRFO_1;CLT03,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400,69.400
BUMU_P,,,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000
BURM_1,,,,,,,,,,,,,,,,,,,,,,,28.500,28.500,28.500,28.500,28.500,28.500,28.500,28.500,28.500
CAPEA1,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000,44.000
CELL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.000,20.000,20.000,20.000
CHIC_1,,,,,,,,,,,,,,,,,,,,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500,3.500
CHTE_1,8.000,8.000,8.000,28.000,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,78.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800,98.800
CLYM,,,,,,,,,,,,,,,,,,,,,,,,,29.900,29.900,29.900,29.900,29.900,29.900,29.900
CONQA1;SASA,,,,,,,,,,,,,,,,,,,,,,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
COVE_1,,,,,,,,,,,,,,,,,,,,,50.000,50.000,54.000,59.000,59.000,59.000,59.000,59.000,59.000,59.000,59.000
COWL_1;ECLA_H,,,,,,,,,,,,,,,,11.000,11.000,11.000,11.000,11.000,11.000,11.000,11.000,61.000,61.000,61.000,61.000,61.000,61.000,61.000,61.000
CREB_1,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,49.900,99.900,149.900,149.900,149.900,149.900,149.900,149.900,149.900,149.900,149.900,149.900,149.900
DALM3,,,,,,,,,,,,,,,,,,,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900,29.900
DRAK_1,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,9.500,59.400,59.400,59.400,59.400,59.400,59.400,59.400,59.400,59.400,59.400,59.400
DRCR,29.900,29.900,29.900,29.900,29.900,29.900,29.900,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800,59.800
